source,amount_k,fy,basis,doc_id,page,notes
Other Revenue From Local Sources,28028,2022-23,actual-budgetary,budget-fy2024-25-vol1,99,
Revenue - Intermediate Sources (2000),8977,2022-23,actual-budgetary,budget-fy2024-25-vol1,99,
Revenue From State Sources (3000),272033,2022-23,actual-budgetary,budget-fy2024-25-vol1,99,
Revenue From Federal Sources (4000),21,2022-23,actual-budgetary,budget-fy2024-25-vol1,99,
All Other Budget Resources,1024,2022-23,actual-budgetary,budget-fy2024-25-vol1,99,
Total Resources,830038,2022-23,actual-budgetary,budget-fy2024-25-vol1,99,
Beginning Fund Balance,94984,2023-24,adopted,budget-fy2024-25-vol1,99,"2023-24 budget columns are from the 2023-24 Adopted Budget (p78)"
Current Year Property Taxes Other Than Local Option,329746,2023-24,adopted,budget-fy2024-25-vol1,99,
Current Year Local Option Property Taxes,114676,2023-24,adopted,budget-fy2024-25-vol1,99,
Other Revenue From Local Sources,22603,2023-24,adopted,budget-fy2024-25-vol1,99,
Revenue - Intermediate Sources (2000),10019,2023-24,adopted,budget-fy2024-25-vol1,99,
Revenue From State Sources (3000),259931,2023-24,adopted,budget-fy2024-25-vol1,99,
Revenue From Federal Sources (4000),15,2023-24,adopted,budget-fy2024-25-vol1,99,
All Other Budget Resources,1800,2023-24,adopted,budget-fy2024-25-vol1,99,
Total Resources,833774,2023-24,adopted,budget-fy2024-25-vol1,99,
Beginning Fund Balance,84205,2024-25,proposed,budget-fy2024-25-vol1,99,
Current Year Property Taxes Other Than Local Option,351964,2024-25,proposed,budget-fy2024-25-vol1,99,
Current Year Local Option Property Taxes,104608,2024-25,proposed,budget-fy2024-25-vol1,99,
Other Revenue From Local Sources,26749,2024-25,proposed,budget-fy2024-25-vol1,99,
Revenue - Intermediate Sources (2000),12306,2024-25,proposed,budget-fy2024-25-vol1,99,
Revenue From State Sources (3000),271565,2024-25,proposed,budget-fy2024-25-vol1,99,
Revenue From Federal Sources (4000),15,2024-25,proposed,budget-fy2024-25-vol1,99,
All Other Budget Resources,1700,2024-25,proposed,budget-fy2024-25-vol1,99,
Total Resources,853111,2024-25,proposed,budget-fy2024-25-vol1,99,
Beginning Fund Balance,87138,2024-25,approved,budget-fy2024-25-vol1,99,
Current Year Property Taxes Other Than Local Option,351964,2024-25,approved,budget-fy2024-25-vol1,99,
Current Year Local Option Property Taxes,104608,2024-25,approved,budget-fy2024-25-vol1,99,
Other Revenue From Local Sources,26749,2024-25,approved,budget-fy2024-25-vol1,99,
Revenue - Intermediate Sources (2000),12306,2024-25,approved,budget-fy2024-25-vol1,99,
Revenue From State Sources (3000),271565,2024-25,approved,budget-fy2024-25-vol1,99,
Revenue From Federal Sources (4000),15,2024-25,approved,budget-fy2024-25-vol1,99,
All Other Budget Resources,50,2024-25,approved,budget-fy2024-25-vol1,99,
Total Resources,854394,2024-25,approved,budget-fy2024-25-vol1,99,
Beginning Fund Balance,87138,2024-25,adopted,budget-fy2024-25-vol1,99,"also Attachment A p303"
Current Year Property Taxes Other Than Local Option,351964,2024-25,adopted,budget-fy2024-25-vol1,99,
Current Year Local Option Property Taxes,104608,2024-25,adopted,budget-fy2024-25-vol1,99,
Other Revenue From Local Sources,26749,2024-25,adopted,budget-fy2024-25-vol1,99,
Revenue - Intermediate Sources (2000),12306,2024-25,adopted,budget-fy2024-25-vol1,99,
Revenue From State Sources (3000),271565,2024-25,adopted,budget-fy2024-25-vol1,99,"detail p103: 431010 SSF General Support 265522; 431030 Common School Fund 6042"
Revenue From Federal Sources (4000),15,2024-25,adopted,budget-fy2024-25-vol1,99,
All Other Budget Resources,50,2024-25,adopted,budget-fy2024-25-vol1,99,
Total Resources,854394,2024-25,adopted,budget-fy2024-25-vol1,99,
