enrollment,admr,admw,fy,basis,doc_id,page,notes
,1031,1220,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,102,district: Corbett SD 39
,1048,1234,2023-24,actual-budgetary,tscc-annual-report-2024-25-summaries,102,district: Corbett SD 39
,1065,1252,2024-25,actual-budgetary,tscc-annual-report-2024-25-summaries,102,district: Corbett SD 39
,8697,11045,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,106,district: David Douglas SD 40; latest May estimates from ODE per table footnote
,8583,11038,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,106,district: David Douglas SD 40
,8597,11099,2023-24,actual-budgetary,tscc-annual-report-2024-25-summaries,106,district: David Douglas SD 40
,8525,11020,2024-25,actual-budgetary,tscc-annual-report-2024-25-summaries,106,district: David Douglas SD 40
,538,680,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,111,district: Riverdale SD 51J; latest May estimates from ODE per table footnote
,506,645,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,111,district: Riverdale SD 51J
,480,623,2023-24,actual-budgetary,tscc-annual-report-2024-25-summaries,111,district: Riverdale SD 51J
,484,629,2024-25,actual-budgetary,tscc-annual-report-2024-25-summaries,111,district: Riverdale SD 51J
