group,fte,fy,basis,doc_id,page,notes
Total - all functions (district FTE),712,2022-23,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Centennial SD 28J; countywide Staffing Levels table (FY22-FY25 columns)
Total - all functions (district FTE),706,2023-24,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Centennial SD 28J; countywide Staffing Levels table (FY22-FY25 columns)
Total - all functions (district FTE),680,2024-25,adopted,tscc-annual-report-2024-25-general,28,district: Centennial SD 28J; countywide Staffing Levels table (FY22-FY25 columns); FY25 = budgeted positions
Total - all functions (district FTE),133,2021-22,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Corbett SD 39; countywide Staffing Levels table (FY22-FY25 columns)
Total - all functions (district FTE),107,2022-23,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Corbett SD 39; countywide Staffing Levels table (FY22-FY25 columns)
Total - all functions (district FTE),113,2023-24,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Corbett SD 39; countywide Staffing Levels table (FY22-FY25 columns)
Total - all functions (district FTE),124,2024-25,adopted,tscc-annual-report-2024-25-general,28,district: Corbett SD 39; countywide Staffing Levels table (FY22-FY25 columns); FY25 = budgeted positions
Total - all functions (district FTE),1493,2021-22,actual-budgetary,tscc-annual-report-2024-25-general,28,district: David Douglas SD 40; countywide Staffing Levels table (FY22-FY25 columns)
Total - all functions (district FTE),1518,2022-23,actual-budgetary,tscc-annual-report-2024-25-general,28,district: David Douglas SD 40; countywide Staffing Levels table (FY22-FY25 columns)
Total - all functions (district FTE),1610,2023-24,actual-budgetary,tscc-annual-report-2024-25-general,28,district: David Douglas SD 40; countywide Staffing Levels table (FY22-FY25 columns)
Total - all functions (district FTE),1579,2024-25,adopted,tscc-annual-report-2024-25-general,28,district: David Douglas SD 40; countywide Staffing Levels table (FY22-FY25 columns); FY25 = budgeted positions
Total - all functions (district FTE),75,2021-22,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Riverdale SD 51J; countywide Staffing Levels table (FY22-FY25 columns)
Total - all functions (district FTE),74,2022-23,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Riverdale SD 51J; countywide Staffing Levels table (FY22-FY25 columns)
Total - all functions (district FTE),70,2023-24,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Riverdale SD 51J; countywide Staffing Levels table (FY22-FY25 columns)
Total - all functions (district FTE),69,2024-25,adopted,tscc-annual-report-2024-25-general,28,district: Riverdale SD 51J; countywide Staffing Levels table (FY22-FY25 columns); FY25 = budgeted positions
Total - all functions (district FTE),12101,2021-22,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Subtotal K-12; countywide Staffing Levels table (FY22-FY25 columns)
Total - all functions (district FTE),12408,2022-23,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Subtotal K-12; countywide Staffing Levels table (FY22-FY25 columns)
Total - all functions (district FTE),12316,2023-24,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Subtotal K-12; countywide Staffing Levels table (FY22-FY25 columns)
Total - all functions (district FTE),12056,2024-25,adopted,tscc-annual-report-2024-25-general,28,district: Subtotal K-12; countywide Staffing Levels table (FY22-FY25 columns); FY25 = budgeted positions
Total - all functions (district FTE),712,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,79,district: Multnomah ESD; district General Information page; CONFLICTS with general p.28 for FY22-24 (641/676/710)
Total - all functions (district FTE),746,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,79,district: Multnomah ESD; district General Information page; CONFLICTS with general p.28 for FY22-24 (641/676/710)
Total - all functions (district FTE),778,2023-24,actual-budgetary,tscc-annual-report-2024-25-summaries,79,district: Multnomah ESD; district General Information page; CONFLICTS with general p.28 for FY22-24 (641/676/710)
Total - all functions (district FTE),784,2024-25,adopted,tscc-annual-report-2024-25-summaries,79,district: Multnomah ESD; district General Information page; CONFLICTS with general p.28 for FY22-24 (641/676/710)
