fund_name,resources_k,requirements_k,fy,basis,doc_id,page,notes
GRAND TOTAL ALL FUNDS,2351973,2351973,2022-23,actual-budgetary,tscc-review-fy2026,19,"grand total row; p.6/p.16 print 2,035,118 for 2025-26 (rounding)"
GRAND TOTAL ALL FUNDS,2179703,2179703,2023-24,actual-budgetary,tscc-review-fy2026,19,"grand total row; p.6/p.16 print 2,035,118 for 2025-26 (rounding)"
GRAND TOTAL ALL FUNDS,2393879,2393879,2024-25,revised,tscc-review-fy2026,19,"grand total row; p.6/p.16 print 2,035,118 for 2025-26 (rounding)"
GRAND TOTAL ALL FUNDS,2035117,2035117,2025-26,approved,tscc-review-fy2026,19,"grand total row; p.6/p.16 print 2,035,118 for 2025-26 (rounding)"
General Fund,1188261,1188261,2021-22,actual-budgetary,tscc-review-fy2025,18,SUMMARY OF BUDGET - BY FUND; single total printed per fund (resources=requirements); native whole dollars
General Fund,830038,830038,2022-23,actual-budgetary,tscc-review-fy2025,18,
General Fund,833773,833773,2023-24,revised,tscc-review-fy2025,18,
General Fund,854395,854395,2024-25,approved,tscc-review-fy2025,18,
Special Revenue Fund,216693,216693,2021-22,actual-budgetary,tscc-review-fy2025,18,"2022-23 actual printed 249,169 (CONFLICT: 249,354 FY26 review; 249,357 annual report)"
Special Revenue Fund,249169,249169,2022-23,actual-budgetary,tscc-review-fy2025,18,"2022-23 actual printed 249,169 (CONFLICT: 249,354 FY26 review; 249,357 annual report)"
Special Revenue Fund,247477,247477,2023-24,revised,tscc-review-fy2025,18,"2022-23 actual printed 249,169 (CONFLICT: 249,354 FY26 review; 249,357 annual report)"
Special Revenue Fund,224317,224317,2024-25,approved,tscc-review-fy2025,18,"2022-23 actual printed 249,169 (CONFLICT: 249,354 FY26 review; 249,357 annual report)"
Debt Service Fund,79499,79499,2021-22,actual-budgetary,tscc-review-fy2025,18,"2022-23 printed 84,467 (FY26 review prints 84,474)"
Debt Service Fund,84467,84467,2022-23,actual-budgetary,tscc-review-fy2025,18,"2022-23 printed 84,467 (FY26 review prints 84,474)"
Debt Service Fund,86446,86446,2023-24,revised,tscc-review-fy2025,18,"2022-23 printed 84,467 (FY26 review prints 84,474)"
Debt Service Fund,88729,88729,2024-25,approved,tscc-review-fy2025,18,"2022-23 printed 84,467 (FY26 review prints 84,474)"
GO Bonds Debt Service Fund,152606,152606,2021-22,actual-budgetary,tscc-review-fy2025,18,
GO Bonds Debt Service Fund,160569,160569,2022-23,actual-budgetary,tscc-review-fy2025,18,
GO Bonds Debt Service Fund,171257,171257,2023-24,revised,tscc-review-fy2025,18,
GO Bonds Debt Service Fund,170535,170535,2024-25,approved,tscc-review-fy2025,18,
Capital Projects Fund,780621,780621,2021-22,actual-budgetary,tscc-review-fy2025,18,
Capital Projects Fund,1020044,1020044,2022-23,actual-budgetary,tscc-review-fy2025,18,
Capital Projects Fund,834106,834106,2023-24,revised,tscc-review-fy2025,18,
Capital Projects Fund,1030394,1030394,2024-25,approved,tscc-review-fy2025,18,
Internal Service Fund,7693,7693,2021-22,actual-budgetary,tscc-review-fy2025,18,FY2024-25 adds Property & Liability Insurance and Unemployment sub-funds within Internal Service Fund (p.4)
Internal Service Fund,7494,7494,2022-23,actual-budgetary,tscc-review-fy2025,18,FY2024-25 adds Property & Liability Insurance and Unemployment sub-funds within Internal Service Fund (p.4)
Internal Service Fund,8998,8998,2023-24,revised,tscc-review-fy2025,18,FY2024-25 adds Property & Liability Insurance and Unemployment sub-funds within Internal Service Fund (p.4)
Internal Service Fund,25509,25509,2024-25,approved,tscc-review-fy2025,18,FY2024-25 adds Property & Liability Insurance and Unemployment sub-funds within Internal Service Fund (p.4)
GRAND TOTAL ALL FUNDS,2425373,2425373,2021-22,actual-budgetary,tscc-review-fy2025,18,"grand total row; 2022-23 total 2,351,781 conflicts with 2,351,973 (FY26 review) and 2,351,969 (annual report/by-object)"
GRAND TOTAL ALL FUNDS,2351781,2351781,2022-23,actual-budgetary,tscc-review-fy2025,18,"grand total row; 2022-23 total 2,351,781 conflicts with 2,351,973 (FY26 review) and 2,351,969 (annual report/by-object)"
GRAND TOTAL ALL FUNDS,2182057,2182057,2023-24,revised,tscc-review-fy2025,18,"grand total row; 2022-23 total 2,351,781 conflicts with 2,351,973 (FY26 review) and 2,351,969 (annual report/by-object)"
GRAND TOTAL ALL FUNDS,2393879,2393879,2024-25,approved,tscc-review-fy2025,18,"grand total row; 2022-23 total 2,351,781 conflicts with 2,351,973 (FY26 review) and 2,351,969 (annual report/by-object)"
General Fund,744589,744589,2020-21,actual-budgetary,tscc-review-fy2024,18,SUMMARY OF BUDGET - BY FUND; single total printed per fund (resources=requirements); native whole dollars
General Fund,1188261,1188261,2021-22,actual-budgetary,tscc-review-fy2024,18,
General Fund,804062,804062,2022-23,revised,tscc-review-fy2024,18,
General Fund,833773,833773,2023-24,approved,tscc-review-fy2024,18,
Special Revenue Fund,155931,155931,2020-21,actual-budgetary,tscc-review-fy2024,18,
Special Revenue Fund,216693,216693,2021-22,actual-budgetary,tscc-review-fy2024,18,
Special Revenue Fund,311278,311278,2022-23,revised,tscc-review-fy2024,18,
Special Revenue Fund,247477,247477,2023-24,approved,tscc-review-fy2024,18,
Debt Service Fund,57422,57422,2020-21,actual-budgetary,tscc-review-fy2024,18,"2023-24 printed 86,445 (FY25 review prints 86,446)"
Debt Service Fund,79499,79499,2021-22,actual-budgetary,tscc-review-fy2024,18,"2023-24 printed 86,445 (FY25 review prints 86,446)"
Debt Service Fund,83047,83047,2022-23,revised,tscc-review-fy2024,18,"2023-24 printed 86,445 (FY25 review prints 86,446)"
Debt Service Fund,86445,86445,2023-24,approved,tscc-review-fy2024,18,"2023-24 printed 86,445 (FY25 review prints 86,446)"
GO Bonds Debt Service Fund,201070,201070,2020-21,actual-budgetary,tscc-review-fy2024,18,
GO Bonds Debt Service Fund,152606,152606,2021-22,actual-budgetary,tscc-review-fy2024,18,
GO Bonds Debt Service Fund,159363,159363,2022-23,revised,tscc-review-fy2024,18,
GO Bonds Debt Service Fund,171257,171257,2023-24,approved,tscc-review-fy2024,18,
Capital Projects Fund,1066674,1066674,2020-21,actual-budgetary,tscc-review-fy2024,18,"2023-24 printed 834,105 (p.15 Other Funds table prints 834,107); FY2023-24 adds Harriet Tubman MS Relocation Fund ($122.5M state grant, p.4)"
Capital Projects Fund,780621,780621,2021-22,actual-budgetary,tscc-review-fy2024,18,"2023-24 printed 834,105 (p.15 Other Funds table prints 834,107); FY2023-24 adds Harriet Tubman MS Relocation Fund ($122.5M state grant, p.4)"
Capital Projects Fund,516864,516864,2022-23,revised,tscc-review-fy2024,18,"2023-24 printed 834,105 (p.15 Other Funds table prints 834,107); FY2023-24 adds Harriet Tubman MS Relocation Fund ($122.5M state grant, p.4)"
Capital Projects Fund,834105,834105,2023-24,approved,tscc-review-fy2024,18,"2023-24 printed 834,105 (p.15 Other Funds table prints 834,107); FY2023-24 adds Harriet Tubman MS Relocation Fund ($122.5M state grant, p.4)"
Internal Service Fund,7673,7673,2020-21,actual-budgetary,tscc-review-fy2024,18,
Internal Service Fund,7693,7693,2021-22,actual-budgetary,tscc-review-fy2024,18,
Internal Service Fund,8645,8645,2022-23,revised,tscc-review-fy2024,18,
Internal Service Fund,8998,8998,2023-24,approved,tscc-review-fy2024,18,
GRAND TOTAL ALL FUNDS,2233359,2233359,2020-21,actual-budgetary,tscc-review-fy2024,18,"grand total row; 2023-24 printed 2,182,055 here vs 2,182,057 elsewhere in same doc"
GRAND TOTAL ALL FUNDS,2425373,2425373,2021-22,actual-budgetary,tscc-review-fy2024,18,"grand total row; 2023-24 printed 2,182,055 here vs 2,182,057 elsewhere in same doc"
GRAND TOTAL ALL FUNDS,1883259,1883259,2022-23,revised,tscc-review-fy2024,18,"grand total row; 2023-24 printed 2,182,055 here vs 2,182,057 elsewhere in same doc"
GRAND TOTAL ALL FUNDS,2182055,2182055,2023-24,approved,tscc-review-fy2024,18,"grand total row; 2023-24 printed 2,182,055 here vs 2,182,057 elsewhere in same doc"
General Fund,1188261,1188261,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,84,PPS Budget Summary (annual report); SUMMARY OF BUDGET - BY FUND; single total printed per fund (resources=requirements); native whole dollars
General Fund,830038,830038,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,84,
General Fund,833773,833773,2023-24,revised,tscc-annual-report-2024-25-summaries,84,
General Fund,854395,854395,2024-25,adopted,tscc-annual-report-2024-25-summaries,84,
Special Revenue Fund,216693,216693,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,84,"2022-23 actual printed 249,357 (third variant across docs)"
Special Revenue Fund,249357,249357,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,84,"2022-23 actual printed 249,357 (third variant across docs)"
Special Revenue Fund,247477,247477,2023-24,revised,tscc-annual-report-2024-25-summaries,84,"2022-23 actual printed 249,357 (third variant across docs)"
Special Revenue Fund,224317,224317,2024-25,adopted,tscc-annual-report-2024-25-summaries,84,"2022-23 actual printed 249,357 (third variant across docs)"
Debt Service Fund,79499,79499,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,84,
Debt Service Fund,84467,84467,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,84,
Debt Service Fund,86446,86446,2023-24,revised,tscc-annual-report-2024-25-summaries,84,
Debt Service Fund,88729,88729,2024-25,adopted,tscc-annual-report-2024-25-summaries,84,
GO Bonds Debt Service Fund,152606,152606,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,84,
GO Bonds Debt Service Fund,160569,160569,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,84,
GO Bonds Debt Service Fund,171257,171257,2023-24,revised,tscc-annual-report-2024-25-summaries,84,
GO Bonds Debt Service Fund,170535,170535,2024-25,adopted,tscc-annual-report-2024-25-summaries,84,
Capital Projects Fund,780621,780621,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,84,
Capital Projects Fund,1020044,1020044,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,84,
Capital Projects Fund,834106,834106,2023-24,revised,tscc-annual-report-2024-25-summaries,84,
Capital Projects Fund,1030394,1030394,2024-25,adopted,tscc-annual-report-2024-25-summaries,84,
Internal Service Fund,7693,7693,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,84,
Internal Service Fund,7494,7494,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,84,
Internal Service Fund,8998,8998,2023-24,revised,tscc-annual-report-2024-25-summaries,84,
Internal Service Fund,25509,25509,2024-25,adopted,tscc-annual-report-2024-25-summaries,84,
GRAND TOTAL ALL FUNDS,2425373,2425373,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,84,grand total row; PPS Budget Summary in FY24-25 TSCC Annual Report; 2024-25 column labeled Adopted
GRAND TOTAL ALL FUNDS,2351969,2351969,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,84,grand total row; PPS Budget Summary in FY24-25 TSCC Annual Report; 2024-25 column labeled Adopted
GRAND TOTAL ALL FUNDS,2182057,2182057,2023-24,revised,tscc-annual-report-2024-25-summaries,84,grand total row; PPS Budget Summary in FY24-25 TSCC Annual Report; 2024-25 column labeled Adopted
GRAND TOTAL ALL FUNDS,2393879,2393879,2024-25,adopted,tscc-annual-report-2024-25-summaries,84,grand total row; PPS Budget Summary in FY24-25 TSCC Annual Report; 2024-25 column labeled Adopted
