permanent_rate,gap_rate,local_option_rate,bond_rate,av_billions,rmv_billions,compression_loss_k,fy,basis,doc_id,page,notes
4.4626,,,1.4714,7.505,15.293,110.1,2023-24,actual-budgetary,tscc-annual-report-2024-25-summaries,90,district: Reynolds SD 7
4.4626,,,1.4152,7.877,15.902,140.9,2024-25,actual-budgetary,tscc-annual-report-2024-25-summaries,90,district: Reynolds SD 7
4.5268,,,2.8889,7.381,12.510,236.6,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,94,"district: Gresham-Barlow SD 10J; from district General Information table; M5 impact native whole dollars; outstanding debt 6-30-24 $270,380,268"
4.5268,,,2.8202,7.755,14.301,239.5,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,94,district: Gresham-Barlow SD 10J
4.5268,,,2.8048,8.009,15.098,263.5,2023-24,actual-budgetary,tscc-annual-report-2024-25-summaries,94,district: Gresham-Barlow SD 10J
4.5268,,,2.7138,8.495,15.500,292.4,2024-25,actual-budgetary,tscc-annual-report-2024-25-summaries,94,district: Gresham-Barlow SD 10J
4.7448,,,1.5106,3.205,5.763,70.9,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,98,"district: Centennial SD 28J; from district General Information table; M5 impact native whole dollars; 2024-25 M5 impact printed '$-68.927' (period; read as $68,927); ADMw labeled 'Weighted Enrollment Extended-ADMw'; outstanding debt 6-30-24 $63,139,440"
4.7448,,,0.9373,3.343,6.553,68.7,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,98,district: Centennial SD 28J
4.7448,,,1.0841,3.508,6.862,69.5,2023-24,actual-budgetary,tscc-annual-report-2024-25-summaries,98,district: Centennial SD 28J
4.7448,,,1.1138,3.642,7.066,68.9,2024-25,actual-budgetary,tscc-annual-report-2024-25-summaries,98,district: Centennial SD 28J
4.5941,,,0.8268,0.4480,0.7821,19.1,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,102,"district: Corbett SD 39; from district General Information table; M5 impact native whole dollars; AV/RMV printed in MILLIONS (448.0/782.1 etc.), converted to billions; outstanding debt 6-30-24 $5,160,465"
4.5941,,,0.8618,0.4645,0.9205,20.5,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,102,district: Corbett SD 39
4.5941,,,1.0641,0.4680,0.9199,16.2,2023-24,actual-budgetary,tscc-annual-report-2024-25-summaries,102,district: Corbett SD 39
4.5941,,,1.4152,0.4853,0.8993,13.6,2024-25,actual-budgetary,tscc-annual-report-2024-25-summaries,102,district: Corbett SD 39
4.6394,,,1.3430,3.698,8.235,,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,106,"district: David Douglas SD 40; M5 impact printed '$-27' - appears truncated/garbled in source, omitted; withdrawn from TSCC jurisdiction; outstanding debt 6-30-24 $179,978,097"
4.6394,,,1.3515,3.807,9.219,,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,106,"district: David Douglas SD 40; M5 printed '$-32', omitted as garbled"
4.6394,,,2.1636,3.899,9.318,,2023-24,actual-budgetary,tscc-annual-report-2024-25-summaries,106,"district: David Douglas SD 40; M5 printed '$-34', omitted as garbled"
4.6394,,,2.2271,4.396,9.366,56.1,2024-25,actual-budgetary,tscc-annual-report-2024-25-summaries,106,"district: David Douglas SD 40; M5 impact -56,092"
3.8149,,1.3700,2.2510,0.7819,1.1397,58.4,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,111,"district: Riverdale SD 51J; AV/RMV printed in MILLIONS, converted to billions; local option $1.3700 (renewed Nov 2020, first year 2016-17); M5 -58,392; outstanding debt 6-30-24 $9,286,882"
3.8149,,1.3700,2.4321,0.8063,1.1793,70.0,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,111,"district: Riverdale SD 51J; M5 -70,027"
3.8149,,1.3700,2.4227,0.8349,1.2533,58.2,2023-24,actual-budgetary,tscc-annual-report-2024-25-summaries,111,"district: Riverdale SD 51J; M5 -58,172"
3.8149,,1.3700,2.5357,0.8614,1.4028,29.4,2024-25,actual-budgetary,tscc-annual-report-2024-25-summaries,111,"district: Riverdale SD 51J; M5 -29,350"
