source,amount_k,fy,basis,doc_id,page,notes
TOTAL FUND RESOURCES,868580,2025-26,approved,tscc-review-fy2026,19,
Beginning Fund Balance,88691,2021-22,actual-budgetary,tscc-review-fy2025,18,DETAIL OF GENERAL FUND - RESOURCES (Budget Summary); native whole dollars
Beginning Fund Balance,98804,2022-23,actual-budgetary,tscc-review-fy2025,18,
Beginning Fund Balance,94984,2023-24,revised,tscc-review-fy2025,18,
Beginning Fund Balance,87138,2024-25,approved,tscc-review-fy2025,18,
Property Tax,411055,2021-22,actual-budgetary,tscc-review-fy2025,18,
Property Tax,428705,2022-23,actual-budgetary,tscc-review-fy2025,18,
Property Tax,450854,2023-24,revised,tscc-review-fy2025,18,
Property Tax,463157,2024-25,approved,tscc-review-fy2025,18,
Federal Revenue,21,2021-22,actual-budgetary,tscc-review-fy2025,18,2022-23 actual printed 21 here vs 28 in FY26 review p.19
Federal Revenue,21,2022-23,actual-budgetary,tscc-review-fy2025,18,2022-23 actual printed 21 here vs 28 in FY26 review p.19
Federal Revenue,15,2023-24,revised,tscc-review-fy2025,18,2022-23 actual printed 21 here vs 28 in FY26 review p.19
Federal Revenue,15,2024-25,approved,tscc-review-fy2025,18,2022-23 actual printed 21 here vs 28 in FY26 review p.19
State Revenue,265008,2021-22,actual-budgetary,tscc-review-fy2025,18,
State Revenue,272033,2022-23,actual-budgetary,tscc-review-fy2025,18,
State Revenue,259931,2023-24,revised,tscc-review-fy2025,18,
State Revenue,271565,2024-25,approved,tscc-review-fy2025,18,
Local Revenue,13582,2021-22,actual-budgetary,tscc-review-fy2025,18,
Local Revenue,9947,2022-23,actual-budgetary,tscc-review-fy2025,18,
Local Revenue,10019,2023-24,revised,tscc-review-fy2025,18,
Local Revenue,12965,2024-25,approved,tscc-review-fy2025,18,
Fees and Charges,7687,2021-22,actual-budgetary,tscc-review-fy2025,18,
Fees and Charges,8365,2022-23,actual-budgetary,tscc-review-fy2025,18,
Fees and Charges,8000,2023-24,revised,tscc-review-fy2025,18,
Fees and Charges,7865,2024-25,approved,tscc-review-fy2025,18,
Other Income,1378,2021-22,actual-budgetary,tscc-review-fy2025,18,
Other Income,12163,2022-23,actual-budgetary,tscc-review-fy2025,18,
Other Income,8221,2023-24,revised,tscc-review-fy2025,18,
Other Income,11689,2024-25,approved,tscc-review-fy2025,18,
Debt Proceeds,400839,2021-22,actual-budgetary,tscc-review-fy2025,18,"2021-22 400,839 = POB-related; GASB lease debt proceeds in later years"
Debt Proceeds,0,2022-23,actual-budgetary,tscc-review-fy2025,18,"2021-22 400,839 = POB-related; GASB lease debt proceeds in later years"
Debt Proceeds,1750,2023-24,revised,tscc-review-fy2025,18,"2021-22 400,839 = POB-related; GASB lease debt proceeds in later years"
Debt Proceeds,0,2024-25,approved,tscc-review-fy2025,18,"2021-22 400,839 = POB-related; GASB lease debt proceeds in later years"
Transfers In,0,2021-22,actual-budgetary,tscc-review-fy2025,18,
Transfers In,0,2022-23,actual-budgetary,tscc-review-fy2025,18,
Transfers In,0,2023-24,revised,tscc-review-fy2025,18,
Transfers In,0,2024-25,approved,tscc-review-fy2025,18,
TOTAL FUND RESOURCES,1188261,2021-22,actual-budgetary,tscc-review-fy2025,18,
TOTAL FUND RESOURCES,830038,2022-23,actual-budgetary,tscc-review-fy2025,18,
TOTAL FUND RESOURCES,833774,2023-24,revised,tscc-review-fy2025,18,
TOTAL FUND RESOURCES,854394,2024-25,approved,tscc-review-fy2025,18,
Beginning Fund Balance,64474,2020-21,actual-budgetary,tscc-review-fy2024,19,DETAIL OF GENERAL FUND - RESOURCES (Budget Summary); native whole dollars
Beginning Fund Balance,88691,2021-22,actual-budgetary,tscc-review-fy2024,19,
Beginning Fund Balance,99978,2022-23,revised,tscc-review-fy2024,19,
Beginning Fund Balance,94984,2023-24,approved,tscc-review-fy2024,19,
Property Tax,388447,2020-21,actual-budgetary,tscc-review-fy2024,19,
Property Tax,411055,2021-22,actual-budgetary,tscc-review-fy2024,19,
Property Tax,430305,2022-23,revised,tscc-review-fy2024,19,
Property Tax,450854,2023-24,approved,tscc-review-fy2024,19,
Federal Revenue,18,2020-21,actual-budgetary,tscc-review-fy2024,19,
Federal Revenue,21,2021-22,actual-budgetary,tscc-review-fy2024,19,
Federal Revenue,15,2022-23,revised,tscc-review-fy2024,19,
Federal Revenue,15,2023-24,approved,tscc-review-fy2024,19,
State Revenue,269250,2020-21,actual-budgetary,tscc-review-fy2024,19,
State Revenue,265008,2021-22,actual-budgetary,tscc-review-fy2024,19,
State Revenue,247407,2022-23,revised,tscc-review-fy2024,19,
State Revenue,259931,2023-24,approved,tscc-review-fy2024,19,
Local Revenue,14381,2020-21,actual-budgetary,tscc-review-fy2024,19,
Local Revenue,13582,2021-22,actual-budgetary,tscc-review-fy2024,19,
Local Revenue,12101,2022-23,revised,tscc-review-fy2024,19,
Local Revenue,10019,2023-24,approved,tscc-review-fy2024,19,
Fees and Charges,4821,2020-21,actual-budgetary,tscc-review-fy2024,19,
Fees and Charges,7687,2021-22,actual-budgetary,tscc-review-fy2024,19,
Fees and Charges,8864,2022-23,revised,tscc-review-fy2024,19,
Fees and Charges,8000,2023-24,approved,tscc-review-fy2024,19,
Other Income,3198,2020-21,actual-budgetary,tscc-review-fy2024,19,
Other Income,1378,2021-22,actual-budgetary,tscc-review-fy2024,19,
Other Income,3992,2022-23,revised,tscc-review-fy2024,19,
Other Income,8221,2023-24,approved,tscc-review-fy2024,19,
Debt Proceeds,0,2020-21,actual-budgetary,tscc-review-fy2024,19,
Debt Proceeds,400839,2021-22,actual-budgetary,tscc-review-fy2024,19,
Debt Proceeds,1400,2022-23,revised,tscc-review-fy2024,19,
Debt Proceeds,1750,2023-24,approved,tscc-review-fy2024,19,
Transfers In,0,2020-21,actual-budgetary,tscc-review-fy2024,19,
Transfers In,0,2021-22,actual-budgetary,tscc-review-fy2024,19,
Transfers In,0,2022-23,revised,tscc-review-fy2024,19,
Transfers In,0,2023-24,approved,tscc-review-fy2024,19,
TOTAL FUND RESOURCES,744589,2020-21,actual-budgetary,tscc-review-fy2024,19,
TOTAL FUND RESOURCES,1188261,2021-22,actual-budgetary,tscc-review-fy2024,19,
TOTAL FUND RESOURCES,804062,2022-23,revised,tscc-review-fy2024,19,
TOTAL FUND RESOURCES,833774,2023-24,approved,tscc-review-fy2024,19,
Beginning Fund Balance,88691,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,85,PPS Budget Summary (annual report); DETAIL OF GENERAL FUND - RESOURCES (Budget Summary); native whole dollars; BFB and Property Tax rows print on p.84; remaining rows p.85
Beginning Fund Balance,98804,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,85,BFB and Property Tax rows print on p.84; remaining rows p.85
Beginning Fund Balance,94984,2023-24,revised,tscc-annual-report-2024-25-summaries,85,BFB and Property Tax rows print on p.84; remaining rows p.85
Beginning Fund Balance,87138,2024-25,adopted,tscc-annual-report-2024-25-summaries,85,BFB and Property Tax rows print on p.84; remaining rows p.85
Property Tax,411055,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,85,
Property Tax,428705,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,85,
Property Tax,450854,2023-24,revised,tscc-annual-report-2024-25-summaries,85,
Property Tax,463157,2024-25,adopted,tscc-annual-report-2024-25-summaries,85,
Federal Revenue,21,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,85,
Federal Revenue,21,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,85,
Federal Revenue,15,2023-24,revised,tscc-annual-report-2024-25-summaries,85,
Federal Revenue,15,2024-25,adopted,tscc-annual-report-2024-25-summaries,85,
State Revenue,265008,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,85,
State Revenue,272033,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,85,
State Revenue,259931,2023-24,revised,tscc-annual-report-2024-25-summaries,85,
State Revenue,271565,2024-25,adopted,tscc-annual-report-2024-25-summaries,85,
Local Revenue,13582,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,85,
Local Revenue,9947,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,85,
Local Revenue,10019,2023-24,revised,tscc-annual-report-2024-25-summaries,85,
Local Revenue,12965,2024-25,adopted,tscc-annual-report-2024-25-summaries,85,
Fees and Charges,7687,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,85,
Fees and Charges,8365,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,85,
Fees and Charges,8000,2023-24,revised,tscc-annual-report-2024-25-summaries,85,
Fees and Charges,7865,2024-25,adopted,tscc-annual-report-2024-25-summaries,85,
Other Income,1378,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,85,
Other Income,12163,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,85,
Other Income,8221,2023-24,revised,tscc-annual-report-2024-25-summaries,85,
Other Income,11689,2024-25,adopted,tscc-annual-report-2024-25-summaries,85,
Debt Proceeds,400839,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,85,
Debt Proceeds,0,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,85,
Debt Proceeds,1750,2023-24,revised,tscc-annual-report-2024-25-summaries,85,
Debt Proceeds,0,2024-25,adopted,tscc-annual-report-2024-25-summaries,85,
Transfers In,0,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,85,
Transfers In,0,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,85,
Transfers In,0,2023-24,revised,tscc-annual-report-2024-25-summaries,85,
Transfers In,0,2024-25,adopted,tscc-annual-report-2024-25-summaries,85,
TOTAL FUND RESOURCES,1188261,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,85,
TOTAL FUND RESOURCES,830038,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,85,
TOTAL FUND RESOURCES,833774,2023-24,revised,tscc-annual-report-2024-25-summaries,85,
TOTAL FUND RESOURCES,854394,2024-25,adopted,tscc-annual-report-2024-25-summaries,85,
