source,amount_k,fy,basis,doc_id,page,notes
2000 - REVENUE - INTERMEDIATE SOURCES,13357,2019-20,adopted,budget-fy2019-20-book,82,
3000 - REVENUE FROM STATE SOURCES,217063,2015-16,actual-budgetary,budget-fy2019-20-book,82,
3000 - REVENUE FROM STATE SOURCES,213688,2016-17,actual-budgetary,budget-fy2019-20-book,82,
3000 - REVENUE FROM STATE SOURCES,244959,2017-18,actual-budgetary,budget-fy2019-20-book,82,
3000 - REVENUE FROM STATE SOURCES,238207,2018-19,revised,budget-fy2019-20-book,82,
3000 - REVENUE FROM STATE SOURCES,255238,2019-20,proposed,budget-fy2019-20-book,82,
3000 - REVENUE FROM STATE SOURCES,259360,2019-20,approved,budget-fy2019-20-book,82,
3000 - REVENUE FROM STATE SOURCES,259360,2019-20,adopted,budget-fy2019-20-book,82,
4000 - REVENUE FROM FEDERAL SOURCES,25,2015-16,actual-budgetary,budget-fy2019-20-book,82,
4000 - REVENUE FROM FEDERAL SOURCES,7,2016-17,actual-budgetary,budget-fy2019-20-book,82,
4000 - REVENUE FROM FEDERAL SOURCES,22,2017-18,actual-budgetary,budget-fy2019-20-book,82,
4000 - REVENUE FROM FEDERAL SOURCES,0,2018-19,revised,budget-fy2019-20-book,82,
4000 - REVENUE FROM FEDERAL SOURCES,0,2019-20,proposed,budget-fy2019-20-book,82,
4000 - REVENUE FROM FEDERAL SOURCES,0,2019-20,approved,budget-fy2019-20-book,82,
4000 - REVENUE FROM FEDERAL SOURCES,0,2019-20,adopted,budget-fy2019-20-book,82,
5200 - INTERFUND TRANSFERS,0,2015-16,actual-budgetary,budget-fy2019-20-book,82,
5200 - INTERFUND TRANSFERS,0,2016-17,actual-budgetary,budget-fy2019-20-book,82,
5200 - INTERFUND TRANSFERS,1006,2017-18,actual-budgetary,budget-fy2019-20-book,82,
5200 - INTERFUND TRANSFERS,50,2018-19,revised,budget-fy2019-20-book,82,
5200 - INTERFUND TRANSFERS,2000,2019-20,proposed,budget-fy2019-20-book,82,
5200 - INTERFUND TRANSFERS,2000,2019-20,approved,budget-fy2019-20-book,82,
5200 - INTERFUND TRANSFERS,2000,2019-20,adopted,budget-fy2019-20-book,82,
ALL OTHER BUDGET RESOURCES,117,2015-16,actual-budgetary,budget-fy2019-20-book,82,
ALL OTHER BUDGET RESOURCES,25,2016-17,actual-budgetary,budget-fy2019-20-book,82,
ALL OTHER BUDGET RESOURCES,41,2017-18,actual-budgetary,budget-fy2019-20-book,82,
ALL OTHER BUDGET RESOURCES,0,2018-19,revised,budget-fy2019-20-book,82,
ALL OTHER BUDGET RESOURCES,50,2019-20,proposed,budget-fy2019-20-book,82,
ALL OTHER BUDGET RESOURCES,50,2019-20,approved,budget-fy2019-20-book,82,
ALL OTHER BUDGET RESOURCES,50,2019-20,adopted,budget-fy2019-20-book,82,
Total Resources,583732,2015-16,actual-budgetary,budget-fy2019-20-book,82,
Total Resources,600301,2016-17,actual-budgetary,budget-fy2019-20-book,82,
Total Resources,633966,2017-18,actual-budgetary,budget-fy2019-20-book,82,
Total Resources,655002,2018-19,revised,budget-fy2019-20-book,82,
Total Resources,686647,2019-20,proposed,budget-fy2019-20-book,82,
Total Resources,691769,2019-20,approved,budget-fy2019-20-book,82,
Total Resources,691769,2019-20,adopted,budget-fy2019-20-book,82,
