name,holder,kind,geometry,coverage,url,access,verified,notes,verification_stage
ODF Smoke Management Annual Reports 2020-2025,ODF Smoke Management,PDF,tabular,2016-2025 statewide tables,https://www.oregon.gov/odf/fire/Documents/smr2025.pdf,public,2026-09-10,"Replace year in filename (smr2020..smr2025). District, ownership, burn type, month, intrusion tables. No unit-level rows.",discovered
ODF Smoke Sensitive Receptor Areas,ODF,ArcGIS FeatureServer,polygon,current,https://utility.arcgis.com/usrsvcs/servers/bd5f2746f50c47f1922cbc3972c6d615/rest/services/Hosted/Fire_Smoke_Sensitive_Areas/FeatureServer/1,public (proxied),2026-09-10,SSRAs from the Smoke Management Plan.,queried
ODF Prescribed Fire Liability Program enrollment map,ODF,ArcGIS Experience,app,2024-,https://experience.arcgis.com/experience/79e14d6fbce649c2adbdadc9ef670244/,public,2026-09-10 (link only),HB 4016 pilot; enrolled prescribed and cultural burns.,discovered
ODF Certified Burn Manager directory,ODF,Google Sheet,tabular,2026,https://docs.google.com/spreadsheets/d/e/2PACX-1vSh74UdVSQFMfQbU0SDRnPNsx4kd3EEUPZuAOJw51CntuQEWFlx7k4XclCjfdgx96ILZSMSejgQ3AV_/pub?gid=301832331&single=true&output=csv,public,2026-09-10,23 people. Saved as cbm-directory.csv.,discovered
ODF Fire Occurrence 1960-2024,ODF,ArcGIS FeatureServer,point,1960-2024 ODF-protected lands,https://services.arcgis.com/uUvqNMGPm7axC2dD/arcgis/rest/services/ODF_Fire/FeatureServer/1,public,2026-09-10,"69,744 fires. Cause (general/specific/comments/investigator/certainty), TRS and lat-long, ignition/discovery/report/attack/control times, size at attack, final acres, fuel, slope, aspect, elevation, protection agency, land class.",queried
ODF Fire Occurrence on data.oregon.gov,ODF,Socrata,tabular,2000-2025,https://data.oregon.gov/Natural-Resources/ODF-Fire-Occurrence-2000-2025/fa7z-shhx,public,2026-09-10 (link only),Same data with Socrata API.,discovered
ODF 2020 Labor Day Fires,ODF,ArcGIS FeatureServer,polygon,2020,https://services.arcgis.com/uUvqNMGPm7axC2dD/arcgis/rest/services/2020_Oregon_Labor_Day_Fires_View/FeatureServer,public,2026-09-10 (listed),,discovered
ODF Forest Protection District boundaries,ODF,ArcGIS FeatureServer,polygon,current,https://utility.arcgis.com/usrsvcs/servers/f811e4cf59b6416392013ee9e88a55dd/rest/services/Hosted/Boundary_Forest_Protection/FeatureServer/1,public (proxied),2026-09-10,Also District_Boundaries at services.arcgis.com/uUvqNMGPm7axC2dD.,queried
ODF 20-Year Strategy Priority Geographies,ODF,ArcGIS FeatureServer,polygon,current,https://services.arcgis.com/uUvqNMGPm7axC2dD/arcgis/rest/services/20_Year_Strategy_Priority_Geographies/FeatureServer,public,2026-09-10 (listed),Landscape-scale answer to why here.,discovered
ODF Fire Danger Level,ODF,ArcGIS FeatureServer,polygon,live,https://gis.odf.oregon.gov/odfags/rest/services/Hosted/Fire_Danger_Level_View/FeatureServer,public,2026-09-10 (listed),Also Fire_Industrial_Fire_Precaution_Level_View and Fire_Regulated_Use_Area_View and Fire_Significant_Fire_Potential in same folder.,discovered
ODF Ownership / Land Management,ODF,ArcGIS FeatureServer,polygon,current,https://services.arcgis.com/uUvqNMGPm7axC2dD/arcgis/rest/services/Ownership_Land_Management/FeatureServer,public,2026-09-10 (listed),,discovered
USFS PNW Planned Rx Polygon (R6 tracker),USFS Region 6,ArcGIS FeatureServer,polygon,current planning seasons OR+WA,https://services1.arcgis.com/gGHDlz6USftL5Pau/arcgis/rest/services/PNW_Planned_Rx_Polygon_Public/FeatureServer/1,public,2026-09-10,"1,117 units. ACTIVITY_UNIT_NAME BURN_STATUS NBR_UNITS_PLANNED DATE_COMPLETED NBR_UNITS_ACCOMPLISHED AGENCY_NAME DISTRICT_NAME CONTACT_NAME CONTACT_PHONE CONTACT_EMAIL COMMENTS ACTIVITY Season Dateplanned. Regional status counts include 123 completed and 13 monitoring. In Progress is ambiguous. Not all records are future burns.",queried
USFS Pacific Northwest Prescribed Fire Tracker,USFS Region 6,ArcGIS Experience,app,current,https://experience.arcgis.com/experience/55ce8bfdea4345b6a06ae81d67e7d411,public,2026-09-10,Front end for the layer above.,discovered
USFS FACTS Hazardous Fuel Treatments - Fire,USFS EDW,ArcGIS MapServer,polygon,historic to present (national),https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_HazardousFuelsTreatments_01/MapServer/3,public,2026-09-10,"20,531 Oregon records in the Fire sublayer (state_abbr='OR'). nepa_project_id nepa_doc_name purpose_code treatment_type date_completed fiscal_year_completed gis_acres iswui cwpp implementation_project fund_code method equipment. Download at data-usfs.hub.arcgis.com. September 11: 364 Oregon records are planned treatments consumed by wildfire; 16,476 pile-burning records. Some records have missing geometry; retain unlocated records for review.",queried
USFS FACTS Hazardous Fuel Treatment Reduction: Polygon (download),USFS EDW,ArcGIS Hub,polygon,national,https://data-usfs.hub.arcgis.com/datasets/usfs::hazardous-fuel-treatment-reduction-polygon-feature-layer,public,2026-09-10,"Metadata contact SM.FS.data@usda.gov; metadata pubdate 2026-08-28. September 11: 364 Oregon records are planned treatments consumed by wildfire; 16,476 pile-burning records. Some records have missing geometry; retain unlocated records for review.",discovered
USFS National Fire Occurrence and Perimeters (FIRESTAT),USFS EDW,ArcGIS MapServer,point+polygon,historic,https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_FireOccurrenceAndPerimeter_01/MapServer,public,2026-09-10 (listed),Fires on national forests.,discovered
BLM OR Prescribed Fire Treatments Polygon,BLM OR/WA,ArcGIS FeatureServer,polygon,1970s to present OR+WA,https://services1.arcgis.com/KbxwQRRfWyEYLgp4/arcgis/rest/services/BLM_OR_Prescribed_Fire_Treatments_Polygon_Hub/FeatureServer/1,public,2026-09-10,"36,966 OR/WA treatment records: 36,965 completed and one active. 33,558 missing/placeholder PLANID values. TRT_NAME PROJ_NAME BURN_TYPE TRT_STATUS TRT_DATE TRT_FY REASON REASON2 INITIATIVE PLANID (NEPA) TRT_ACRES GIS_ACRES CONTRACTOR NFPORS_TRTID. Shapefile/GDB at gbp-blm-egis.hub.arcgis.com. Steward sjeronimo@blm.gov. Updated 2026-09-04.",queried
BLM OR/WA planned prescribed fire page,BLM OR/WA,web page,text,current season,https://www.blm.gov/programs/fire/regional-info/oregon-washington/prescribed-fire,public,2026-09-10,Planned burns by district with acres and windows; narrative only.,discovered
NIFC WFIGS Incident Locations Year-to-Date,NIFC / IRWIN,ArcGIS FeatureServer,point,current year all agencies,https://services3.arcgis.com/T4QMspbfLg3qTGWY/arcgis/rest/services/WFIGS_Incident_Locations_YearToDate/FeatureServer/0,public,2026-09-10,"2026 Oregon so far: 1,802 WF and 159 RX records (POOState='US-OR'). IncidentTypeCategory WF/RX/CX, cause, discovery/containment/control/out dates, acres, jurisdiction, TRS, IrwinID.",queried
NIFC WFIGS Wildland Fire Locations Full History,NIFC / IRWIN,ArcGIS Hub,point,2014ish to present,https://data-nifc.opendata.arcgis.com/,public,2026-09-10 (hub only),Search the hub for 'Wildland Fire Locations Full History'. Includes RX.,discovered
NIFC WFIGS Interagency Fire Perimeters (all),NIFC,ArcGIS FeatureServer,polygon,2021-present,https://services3.arcgis.com/T4QMspbfLg3qTGWY/arcgis/rest/services/WFIGS_Interagency_Perimeters/FeatureServer,public,2026-09-10,Joins to locations on IrwinID. Also _YearToDate and _Current and _Certified variants.,discovered
NIFC InterAgencyFirePerimeterHistory All Years,NIFC,ArcGIS Hub,polygon,1900s-2024,https://data-nifc.opendata.arcgis.com/datasets/nifc::interagencyfireperimeterhistory-all-years-view/about,public,2026-09-10 (hub page),Includes prescribed burns from WFIGS NPS and CAL FIRE.,discovered
NWCC Fire History,NWCC (Portland GACC),ArcGIS FeatureServer,polygon,2000-present OR+WA large fires,https://services3.arcgis.com/T4QMspbfLg3qTGWY/arcgis/rest/services/NWCC_Fire_History/FeatureServer/0,public,2026-09-10,"3,045 perimeters. FIRE_NM FIRE_YEAR START_DATE CAUSE PERIM_ACRES RPTD_ACRES CNTRL_DATE CNTN_DATE IRWIN_ID FIRE_CODE.",queried
NWCC Northwest Large Fire map and situation reports,NWCC,web,app,current season,https://gacc.nifc.gov/nwcc/,public,2026-09-10 (link only),Daily ICS-209 based summaries; GIS page at gacc.nifc.gov/nwcc/predict/gis.aspx.,discovered
Oregon Wildfire Perimeter History (through 2025),OSU INR / Oregon Explorer,ArcGIS FeatureServer,polygon,pre-2000 and 2000-2025,https://services1.arcgis.com/CD5mKowwN6nIaqd8/arcgis/rest/services/library_env_or_wildfire_perimeter_history/FeatureServer,public,2026-09-10,"4,608 recent perimeters (layer 0) plus historic pre-2000 (layer 1); NIFC data cleaned by INR April 2026.",discovered
MTBS burned area boundaries and severity,USGS/USFS,download,polygon+raster,1984-2024 fires over 1000 ac,https://www.mtbs.gov/,public,2026-09-10,Version 12.0 April 2025; includes prescribed fires that meet the size threshold.,discovered
FPA FOD v7 wildfire occurrence,USFS RMRS (Karen Short),download,point,1992–2024 national; Oregon extract,https://www.fs.usda.gov/rds/archive/catalog/RDS-2013-0009.7,public,2026-09-11,Edition-seven SQLite downloaded with catalog SHA256 verification. Map-service link still serves v6. Historical occurrence baseline; not additive to ODF or WFIGS counts.,downloaded
OSFM wildfire map,Oregon State Fire Marshal,ArcGIS app,point,fires over 100 ac current,https://osfminfo.org/,public,2026-09-10 (link only),Sources WFIGS/IRWIN OEM NWS ALERTWest. Structural task force deployments.,discovered
Public RAPTOR,Oregon Dept of Emergency Management,ArcGIS Experience,app,live,https://experience.arcgis.com/experience/de78333b0d2544f7a320142174aa20ae,public,2026-09-10 (link only),Fires evacuations shelters road closures weather. OEM hub: oregon-oem-geo.hub.arcgis.com.,discovered
Genasys Protect evacuation zones,Counties/tribes via ODHS contract,web app,polygon,live,https://protect.genasys.com/,public viewing,2026-09-10 (link only),Ask OEM for a statewide zone layer.,discovered
ALERTWest camera network,UO Oregon Hazards Lab,web,imagery,live plus archive,https://www.alertwest.live/,public viewing; credentials via wildfirehelp@uoregon.edu,2026-09-10,70 Oregon cameras; panoramas every 2 minutes.,discovered
DEQ Air Quality Index and hourly monitoring,Oregon DEQ,web,tabular,live and reports,https://aqi.oregon.gov/,public; history by records request or EPA AQS,2026-09-10 (link only),,discovered
Oregon smoke blog,DEQ with ODF OHA USFS NWS,web,text,current,https://www.oregonsmoke.org/,public,2026-09-10,Aggregates ODF daily plans and regional Rx maps.,discovered
Central Oregon Fire Info prescribed fire plans,Deschutes/Ochoco NF + Prineville BLM + ODF,web + map,app,current season,https://centraloregonfire.org/prescribed-fire-smoke-plans/,public,2026-09-10,Best regional example of per-burn narrative with reasons.,discovered
Oregon PUC wildfire mitigation dockets,Oregon PUC,PDF dockets,text,2021-2028 plans,https://www.oregon.gov/puc/safety/pages/wildfire-mitigation.aspx,public,2026-09-10,UM 2207 (Pacific Power) UM 2208 (PGE) UM 2209 (Idaho Power) AR 638 rules OAR 860-300. PSPS annual reports due Dec 31.,discovered
Oregon CWPP planning tool,OSU INR / Oregon Explorer,web,app,current,https://hub.oregonexplorer.info/content/oregon-cwpp-planning-tool,public,2026-09-10 (link only),County CWPPs list priority treatment areas.,discovered
Oregon Statewide Wildfire Hazard Map (2025),OSU College of Forestry,web + data,raster/polygon,2025 final,https://hazardmap.forestry.oregonstate.edu/,public,2026-09-10,Regulatory use repealed by SB 83 (2025); data remains useful context.,discovered
Oregon Wildfire Risk Explorer,OSU INR,web,app,under reconstruction,https://oregonexplorer.info/topics/wildfire-risk,public,2026-09-10,Expected update was early 2026; check current state.,discovered
LANDFIRE,USGS/USFS,download,raster,national,https://www.landfire.gov/getdata.php,public,2026-09-10 (link only),Fuels vegetation fire regime disturbance.,discovered
ODA Willamette Valley field burning,Oregon Dept of Agriculture,none public found,tabular,annual up to 15000 ac,https://www.oregon.gov/oda/agriculture-services/smoke-burning/pages/field-burning.aspx,records request,2026-09-10,Registration due April 1; daily burn decisions with ODF meteorologists. Program phone 503-986-4701.,discovered
DEQ ecological burn permits,DEQ,permit records,diagrams / unknown,Habitat and wetland restoration,https://www.oregon.gov/deq/aq/pages/burning-101.aspx,public documentation; extraction pending,2026-09-11,"Request index, applications, justification, recommendations, conditions and actual completions.",discovered
LRAPA Rivers to Ridges,LRAPA / partners,public permit-unit map,polygon,Lane County ecological burns,https://www.lrapa-or.gov/air-quality-protection/community-center/prescribed-burns/,public documentation; extraction pending,2026-09-11,"Request underlying GIS, annual permits, schedules and confirmed burn dates/acres; permitted units are not completed burns.",discovered
USGS Land Treatment Digital Library,USGS,data release,tabular / spatial,Oregon subset to evaluate,https://www.usgs.gov/data/usgs-land-treatment-digital-library-data-release-a-centralized-archive-land-treatment-tabular,public documentation; extraction pending,2026-09-11,Use release first; Justin Welty for supporting documents and BLM crosswalk.,discovered
USFWS refuge fire history,USFWS,program / records,unit polygons requested,Willamette Valley and other Oregon refuges,https://www.fws.gov/refuge/william-l-finley/what-we-do,public documentation; extraction pending,2026-09-11,"Request ecological unit histories, objectives and monitoring.",discovered
NPS Crater Lake fire management,NPS,program / records,unit polygons requested,Crater Lake and other Oregon parks,https://www.nps.gov/crla/learn/nature/fire-management.htm,public documentation; extraction pending,2026-09-11,"Request unit histories, objectives, plans and monitoring.",discovered
EPA AQS historical measurements,EPA,API / download,monitor points,Historical air-quality observations,https://www.epa.gov/aqs/obtaining-aqs-data,public documentation; extraction pending,2026-09-11,Access documentation checked; measurements alone do not identify responsible burn.,discovered
NOAA HMS smoke,NOAA,GIS products,smoke polygons,Daily smoke analysis,https://www.ospo.noaa.gov/products/land/hms.html,public documentation; extraction pending,2026-09-11,Separate smoke transport from burn attribution; data extraction untested.,discovered
Woodpecker explanatory story,OSU College of Forestry,published account,unverified; do not map,October 2025 McDonald-Dunn burns,https://www.forestry.oregonstate.edu/news/fire-purpose,public documentation; extraction pending,2026-09-11,Site selection and outcomes documented; obtain geometry before adding map pin.,discovered
