bond,project,original_budget_k,current_estimate_k,spent_k,as_of,doc_id,page,notes
2017,Environmental Health & Safety - Asbestos,,5030.43,4330.927,2021-03-11,budget-fy2021-22-vol1,262,EH&S lines carry no original budget
2017,Environmental Health & Safety - Fire Alarm / Sprinklers,,12994.293,12143.409,2021-03-11,budget-fy2021-22-vol1,262,
2017,Environmental Health & Safety - Lead Based Paint,,11963.004,2855.913,2021-03-11,budget-fy2021-22-vol1,262,
2017,Environmental Health & Safety - Radon,,194.2,181.767,2021-03-11,budget-fy2021-22-vol1,262,
2017,Environmental Health & Safety - Roofs,,79548.887,73399.104,2021-03-11,budget-fy2021-22-vol1,262,"Budget FY22 18,281,267"
2017,Environmental Health & Safety - Security,,9005.952,7022.054,2021-03-11,budget-fy2021-22-vol1,262,
2017,Environmental Health & Safety - ADA,,12.855,12.855,2021-03-11,budget-fy2021-22-vol1,262,
2020,2017 Bond Balance,152000.0,152000.0,0.0,2021-03-11,budget-fy2021-22-vol1,263,2020 bond funding to complete 2017 bond scope
2020,MPG Building,64000.0,64000.0,0.0,2021-03-11,budget-fy2021-22-vol1,263,"Budget FY22 38,600,000; Multiple Pathways to Graduation building on Benson campus"
2020,Center for Black Student Excellence,60000.0,60000.0,0.0,2021-03-11,budget-fy2021-22-vol1,263,"Budget FY22 6,352,501"
2020,Jefferson High School Modernization,311000.0,311000.0,0.0,2021-03-11,budget-fy2021-22-vol1,263,"Budget FY22 2,730,001"
2020,Roosevelt Phase V,2000.0,2000.0,0.0,2021-03-11,budget-fy2021-22-vol1,263,
2020,Cleveland High School Modernization - Planning & Design,20000.0,20000.0,0.0,2021-03-11,budget-fy2021-22-vol1,263,
2020,Wilson High School Modernization - Planning & Design,20000.0,20000.0,0.0,2021-03-11,budget-fy2021-22-vol1,263,school renamed Ida B Wells HS (p.260)
2020,Capacity,10000.0,10000.0,0.0,2021-03-11,budget-fy2021-22-vol1,263,
2020,Accessibility - ADA,33800.0,33800.0,0.0,2021-03-11,budget-fy2021-22-vol1,263,"printed 'Accessibitly' (sic); Budget FY22 2,200,380"
2020,Special Education Improvements,13400.0,13400.0,0.0,2021-03-11,budget-fy2021-22-vol1,263,"Budget FY22 872,340"
2020,Roofing,65700.0,65700.0,0.0,2021-03-11,budget-fy2021-22-vol1,263,"Budget FY22 3,486,768"
2020,Mechanical,75000.0,75000.0,0.0,2021-03-11,budget-fy2021-22-vol1,263,"Budget FY22 1,986,768"
2020,Security,25900.0,25900.0,0.0,2021-03-11,budget-fy2021-22-vol1,263,"Budget FY22 1,604,505"
2020,Seismic,17200.0,17200.0,0.0,2021-03-11,budget-fy2021-22-vol1,263,"Budget FY22 5,018,583"
2020,2020 Bond Program (program admin),156356.0,156362.168,4281.333,2021-03-11,budget-fy2021-22-vol1,263,"Budget FY22 9,824,691"
2020,2020 Technology subtotal,128200.0,128200.0,0.0,2021-03-11,budget-fy2021-22-vol1,263,"Budget FY22 58,804,376; components: Device Replacement 31,006,443; Classroom Modernization 24,780,325; Infrastructure and Security 38,041,500; ERP Replacement Planning 11,107,080; Technology Program Administration 23,264,652"
2020,2020 Curriculum subtotal,53444.0,53444.0,0.0,2021-03-11,budget-fy2021-22-vol1,263,"Budget FY22 16,604,000; nine subject-area lines printed"
2020,2020 Bond TOTAL,1208000.0,1208006.168,4281.333,2021-03-11,budget-fy2021-22-vol1,263,actuals approved shown only on program-admin line
all,Total Bond (2012+2017+2020),2480000.0,2705288.684,1018949.592,2021-03-11,budget-fy2021-22-vol1,263,"Budget FY22 404,720,553"
