fy,compression_loss_k,basis,cite,notes
2020-21,20308,adopted,budget-fy2020-21-vol1 p238,"2020-21 values projected; AV 55,314,305K estimated p.236; resolution p.319 imposes $5.2781 operations + $1.9900 local op"
2020-21,22990,actual-budgetary,budget-fy2022-23-vol1 p272,
2020-21,22990,actual-budgetary,tscc-review-fy2024 p3,PPS
2020-21,22990,actual-budgetary,tscc-review-fy2025 p3,"PPS; M5 impact printed -22,989,685; operations rate printed is combined permanent+gap ($5.2781); TSCC does not split (pe"
2020-21,22990,actual-budgetary,budget-fy2024-25-vol1 p27,Revenue Factors table; Operations rate 5.28 INCLUDES the 0.5038 gap component; AV is Total Net Assessed Value; compressi
2021-22,23000,adopted,budget-fy2021-22-vol1 p55,"Revenue Factors table; Measure 5 adjustment printed in whole dollars, divided by 1000; rate columns on this page print r"
2021-22,24819,actual-budgetary,budget-fy2025-26-vol1 p27,"Revenue Factors table; compression = 'Less Measure 5 Adjustments' printed in whole dollars, normalized to K; operations "
2021-22,413,actual-budgetary,tscc-annual-report-2024-25-summaries p79,district: Multnomah ESD; from district General Information table; M5 impact native whole dollars; education service dist
2021-22,58,actual-budgetary,tscc-annual-report-2024-25-summaries p111,"district: Riverdale SD 51J; AV/RMV printed in MILLIONS, converted to billions; local option $1.3700 (renewed Nov 2020, f"
2021-22,118,actual-budgetary,tscc-annual-report-2024-25-summaries p90,district: Reynolds SD 7; from district General Information table; M5 impact native whole dollars; limited member of TSCC
2021-22,237,actual-budgetary,tscc-annual-report-2024-25-summaries p94,district: Gresham-Barlow SD 10J; from district General Information table; M5 impact native whole dollars; outstanding de
2021-22,19,actual-budgetary,tscc-annual-report-2024-25-summaries p102,district: Corbett SD 39; from district General Information table; M5 impact native whole dollars; AV/RMV printed in MILL
2021-22,71,actual-budgetary,tscc-annual-report-2024-25-summaries p98,district: Centennial SD 28J; from district General Information table; M5 impact native whole dollars; 2024-25 M5 impact 
2021-22,24819,actual-budgetary,budget-fy2023-24-vol1 p210,
2021-22,24819,actual-budgetary,budget-fy2022-23-vol1 p272,"p272 2021-22 column (headed Actual) prints bond rate 2.4890 / total 9.7571, identical to 2018-19; p34 prints 2021-22 tot"
2021-22,1159,actual-budgetary,tscc-annual-report-2024-25-summaries p86,district: Parkrose SD 3; from district General Information table; M5 impact native whole dollars; withdrawn from TSCC ju
2021-22,24819,actual-budgetary,tscc-annual-report-2024-25-summaries p83,PPS; operations rate printed is combined permanent+gap ($5.2781); TSCC does not split (permanent 4.7743 + gap 0.5038 per
2021-22,24819,actual-budgetary,tscc-measure-26-259-review p3,PPS; operations rate printed is combined permanent+gap ($5.2781); TSCC does not split (permanent 4.7743 + gap 0.5038 per
2021-22,24819,actual-budgetary,tscc-review-fy2024 p3,PPS
2021-22,24819,actual-budgetary,tscc-review-fy2025 p3,PPS
2021-22,24819,actual-budgetary,tscc-review-fy2026 p3,operations rate printed is combined permanent+gap ($5.2781); TSCC does not split (permanent 4.7743 + gap 0.5038 per dist
2021-22,24819,actual-budgetary,budget-fy2024-25-vol1 p27,compression printed 24819007
2022-23,25192,actual-budgetary,budget-fy2025-26-vol1 p27,
2022-23,443,actual-budgetary,tscc-annual-report-2024-25-summaries p79,district: Multnomah ESD
2022-23,70,actual-budgetary,tscc-annual-report-2024-25-summaries p111,"district: Riverdale SD 51J; M5 -70,027"
2022-23,126,actual-budgetary,tscc-annual-report-2024-25-summaries p90,district: Reynolds SD 7
2022-23,240,actual-budgetary,tscc-annual-report-2024-25-summaries p94,district: Gresham-Barlow SD 10J
2022-23,20,actual-budgetary,tscc-annual-report-2024-25-summaries p102,district: Corbett SD 39
2022-23,69,actual-budgetary,tscc-annual-report-2024-25-summaries p98,district: Centennial SD 28J
2022-23,25192,actual-budgetary,budget-fy2026-27-vol1 p28;226,"rates from Budget's Effect on Average Homeowner (p.226, printed 219); AV/RMV/compression from Revenue Factors table (p.2"
2022-23,23000,actual-budgetary,budget-fy2023-24-vol1 p210,compression marked projected on p27
2022-23,23000,adopted,budget-fy2022-23-vol1 p272,bond rate and compression marked projected; p270 prints 2023 est. AV 62725000 thousand (62.7B) vs 62.60B on p34; Resolut
2022-23,1116,actual-budgetary,tscc-annual-report-2024-25-summaries p86,district: Parkrose SD 3
2022-23,25192,actual-budgetary,tscc-annual-report-2024-25-summaries p83,PPS
2022-23,25192,actual-budgetary,tscc-measure-26-259-review p3,PPS
2022-23,25192,actual-budgetary,tscc-review-fy2024 p3,PPS
2022-23,25192,actual-budgetary,tscc-review-fy2025 p3,PPS
2022-23,25192,actual-budgetary,tscc-review-fy2026 p3,"PPS; M5 impact printed -25,191,648"
2022-23,25155,actual-budgetary,budget-fy2024-25-vol1 p27,compression printed 25154736
2023-24,35811,revised,budget-fy2025-26-vol1 p27,marked latest estimate from ODE/TSCC (fn2)
2023-24,719,actual-budgetary,tscc-annual-report-2024-25-summaries p79,district: Multnomah ESD
2023-24,58,actual-budgetary,tscc-annual-report-2024-25-summaries p111,"district: Riverdale SD 51J; M5 -58,172"
2023-24,110,actual-budgetary,tscc-annual-report-2024-25-summaries p90,district: Reynolds SD 7
2023-24,264,actual-budgetary,tscc-annual-report-2024-25-summaries p94,district: Gresham-Barlow SD 10J
2023-24,16,actual-budgetary,tscc-annual-report-2024-25-summaries p102,district: Corbett SD 39
2023-24,70,actual-budgetary,tscc-annual-report-2024-25-summaries p98,district: Centennial SD 28J
2023-24,35716,actual-budgetary,budget-fy2026-27-vol1 p28;226,
2023-24,27000,adopted,budget-fy2023-24-vol1 p210,rates and compression printed as Projected in adopted book
2023-24,1133,actual-budgetary,tscc-annual-report-2024-25-summaries p86,district: Parkrose SD 3
2023-24,35716,actual-budgetary,tscc-annual-report-2024-25-summaries p83,PPS
2023-24,35716,actual-budgetary,tscc-measure-26-259-review p3,PPS
2023-24,35716,actual-budgetary,tscc-review-fy2025 p3,PPS
2023-24,35716,actual-budgetary,tscc-review-fy2026 p3,"PPS; M5 impact printed -35,716,191"
2023-24,35762,actual-budgetary,budget-fy2024-25-vol1 p27,compression printed 35762128; p212 table prints 2023-24 bond rate as 2.5000 and total 9.7681 - conflicts with this page 
2024-25,29,actual-budgetary,tscc-annual-report-2024-25-general p50,"district: Riverdale SD 51J; local option compression: extended 1,126,127, loss 29,350 (3%), effective rate 1.3343"
2024-25,42631,revised,budget-fy2025-26-vol1 p27,marked latest estimate from ODE/TSCC (fn2)
2024-25,34215,actual-budgetary,tscc-annual-report-2024-25-general p50,"PPS; LOCAL OPTION LEVY compression only (not total M5 loss): extended 143,107,389, compression loss 34,215,122 (24% redu"
2024-25,894,actual-budgetary,tscc-annual-report-2024-25-summaries p79,district: Multnomah ESD
2024-25,29,actual-budgetary,tscc-annual-report-2024-25-summaries p111,"district: Riverdale SD 51J; M5 -29,350"
2024-25,141,actual-budgetary,tscc-annual-report-2024-25-summaries p90,district: Reynolds SD 7
2024-25,292,actual-budgetary,tscc-annual-report-2024-25-summaries p94,district: Gresham-Barlow SD 10J
2024-25,14,actual-budgetary,tscc-annual-report-2024-25-summaries p102,district: Corbett SD 39
2024-25,56,actual-budgetary,tscc-annual-report-2024-25-summaries p106,"district: David Douglas SD 40; M5 impact -56,092"
2024-25,69,actual-budgetary,tscc-annual-report-2024-25-summaries p98,district: Centennial SD 28J
2024-25,42564,actual-budgetary,budget-fy2026-27-vol1 p28;226,
2024-25,1246,actual-budgetary,tscc-annual-report-2024-25-summaries p86,district: Parkrose SD 3
2024-25,42564,actual-budgetary,tscc-measure-26-259-review p3,PPS; debt service rate 2.3338
2024-25,42564,actual-budgetary,tscc-review-fy2026 p3,"PPS; M5 impact printed -42,563,967; debt service rate 2.3338 here and in 26-259 review but 2.3838 in annual report summa"
2024-25,42564,actual-budgetary,tscc-annual-report-2024-25-summaries p83,PPS; debt service rate printed 2.3838 (CONFLICT: 2.3338 in tscc-review-fy2026 p.3 and tscc-measure-26-259 p.3)
2024-25,40000,adopted,budget-fy2024-25-vol1 p27,projected column in adopted book; compression printed 40000000; total rate printed 9.77
2025-26,42845,adopted,budget-fy2025-26-vol1 p27,projected (fn3)
2025-26,47090,actual-budgetary,budget-fy2026-27-vol1 p28;226,2025-26 labeled Actual in Budget's Effect table; AV/compression are latest ODE/TSCC estimates per Revenue Factors footno
2026-27,53414,adopted,budget-fy2026-27-vol1 p28;226,"projected rates; adopted resolution (RES 7326, p.318) imposes permanent rate levy $5.2781/$1,000 (= 4.7743 permanent + 0"
