source,amount_k,fy,basis,doc_id,page,notes
Extracurricular activities,5727,2023,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
Investment earnings,28748,2023,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
Other,21032,2023,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
Total revenues,1207304,2023,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
Property and other taxes,452027,2022,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
State School Fund,259314,2022,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
State Common School Fund,5693,2022,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
Federal and state support,175128,2022,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
Local option taxes,106124,2022,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
County and intermediate sources,15566,2022,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
Charges for services,78343,2022,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
Extracurricular activities,4020,2022,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
Investment earnings,969,2022,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
Other,17540,2022,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
Total revenues,1114724,2022,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
Property and other taxes,421602,2021,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
State School Fund,263622,2021,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
State Common School Fund,5628,2021,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Federal and state support,108683,2021,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Local option taxes,102417,2021,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
County and intermediate sources,17185,2021,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Charges for services,57059,2021,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Extracurricular activities,1237,2021,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Investment earnings,3018,2021,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Other,14628,2021,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Total revenues,995079,2021,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Property and other taxes,403864,2020,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
State School Fund,266607,2020,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
State Common School Fund,5012,2020,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Federal and state support,90493,2020,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Local option taxes,98789,2020,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
County and intermediate sources,19072,2020,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Charges for services,59597,2020,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Extracurricular activities,4914,2020,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Investment earnings,12400,2020,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Other,12717,2020,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Total revenues,973465,2020,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Property and other taxes,398930,2019,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
State School Fund,225135,2019,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
State Common School Fund,5493,2019,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Federal and state support,81482,2019,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Local option taxes,97188,2019,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
County and intermediate sources,17362,2019,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Charges for services,56311,2019,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Extracurricular activities,7191,2019,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Investment earnings,19954,2019,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Other,13074,2019,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Total revenues,922120,2019,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Property and other taxes,377578,2018,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
State School Fund,239804,2018,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
State Common School Fund,5155,2018,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Federal and state support,69771,2018,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Local option taxes,89663,2018,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
County and intermediate sources,17663,2018,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Charges for services,56836,2018,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Extracurricular activities,7304,2018,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Investment earnings,3392,2018,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Other,15471,2018,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Total revenues,882637,2018,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Property and other taxes,298114,2017,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
State School Fund,207182,2017,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
State Common School Fund,6191,2017,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Federal and state support,70667,2017,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Local option taxes,84106,2017,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
County and intermediate sources,17270,2017,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Charges for services,52953,2017,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Extracurricular activities,7489,2017,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Investment earnings,3930,2017,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Other,22414,2017,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Total revenues,770316,2017,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Property and other taxes,287036,2016,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
State School Fund,211253,2016,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
State Common School Fund,5810,2016,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Federal and state support,71022,2016,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Local option taxes,76593,2016,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
County and intermediate sources,15772,2016,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Charges for services,49312,2016,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Extracurricular activities,7905,2016,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Investment earnings,3097,2016,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Other,16214,2016,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Total revenues,744013,2016,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only"
Property and other taxes,196044,2011,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
State School Fund,139229,2011,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
State Common School Fund,4461,2011,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
Federal and state support,79034,2011,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
Local option taxes,38603,2011,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
County and intermediate sources,9544,2011,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
Federal stimulus,28991,2011,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
Charges for services,11814,2011,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
Extracurricular activities,7563,2011,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
Investment earnings,649,2011,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
Other,11991,2011,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
Total revenues,527923,2011,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
Property and other taxes,200716,2012,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
State School Fund,149031,2012,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
State Common School Fund,4138,2012,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
Federal and state support,84704,2012,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
Local option taxes,53099,2012,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
County and intermediate sources,9588,2012,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
Federal stimulus,4591,2012,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
Charges for services,45953,2012,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
Extracurricular activities,7355,2012,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
Investment earnings,579,2012,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
Other,15127,2012,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
Total revenues,574881,2012,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
Property and other taxes,208434,2013,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
State School Fund,151369,2013,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
State Common School Fund,4608,2013,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
Federal and state support,71942,2013,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
Local option taxes,51720,2013,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
County and intermediate sources,14560,2013,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
Federal stimulus,1920,2013,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
Charges for services,48674,2013,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
Extracurricular activities,7867,2013,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
Investment earnings,632,2013,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
Other,16315,2013,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
Total revenues,578041,2013,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
Property and other taxes,260872,2014,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
State School Fund,184690,2014,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
State Common School Fund,4427,2014,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
Federal and state support,65231,2014,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
Local option taxes,56013,2014,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
County and intermediate sources,15736,2014,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
Federal stimulus,155,2014,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
Charges for services,51874,2014,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
Extracurricular activities,8308,2014,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
Investment earnings,757,2014,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
Other,13138,2014,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
Total revenues,661201,2014,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only"
Property and other taxes,274219,2015,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
State School Fund,179505,2015,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
State Common School Fund,4721,2015,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Federal and state support,75793,2015,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Local option taxes,63274,2015,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
County and intermediate sources,15201,2015,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Federal stimulus,0,2015,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only; printed as dash (zero)"
Charges for services,54233,2015,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Extracurricular activities,8276,2015,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Investment earnings,1255,2015,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Other,15414,2015,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Total revenues,691891,2015,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Property and other taxes,287035,2016,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
State School Fund,211253,2016,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
State Common School Fund,5810,2016,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Federal and state support,71024,2016,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Local option taxes,76593,2016,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
County and intermediate sources,15771,2016,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Federal stimulus,0,2016,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only; printed as dash (zero)"
Charges for services,49312,2016,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Extracurricular activities,7904,2016,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Investment earnings,3096,2016,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Other,16215,2016,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Total revenues,744013,2016,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Property and other taxes,298114,2017,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
State School Fund,207182,2017,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
State Common School Fund,6191,2017,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Federal and state support,70667,2017,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Local option taxes,84106,2017,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
County and intermediate sources,17270,2017,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Federal stimulus,0,2017,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only; printed as dash (zero)"
Charges for services,52953,2017,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Extracurricular activities,7489,2017,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Investment earnings,3930,2017,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Other,22414,2017,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Total revenues,770316,2017,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Property and other taxes,377578,2018,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
State School Fund,239804,2018,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
State Common School Fund,5155,2018,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Federal and state support,69771,2018,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Local option taxes,89663,2018,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
County and intermediate sources,17663,2018,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Federal stimulus,0,2018,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only; printed as dash (zero)"
Charges for services,56836,2018,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Extracurricular activities,7304,2018,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Investment earnings,3392,2018,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Other,15471,2018,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Total revenues,882637,2018,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Property and other taxes,398930,2019,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
State School Fund,225135,2019,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
State Common School Fund,5493,2019,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Federal and state support,81482,2019,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Local option taxes,97188,2019,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
County and intermediate sources,17362,2019,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Federal stimulus,0,2019,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only; printed as dash (zero)"
Charges for services,56311,2019,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Extracurricular activities,7191,2019,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Investment earnings,19954,2019,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Other,13074,2019,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Total revenues,922120,2019,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Property and other taxes,403864,2020,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
State School Fund,266607,2020,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
State Common School Fund,5012,2020,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Federal and state support,90493,2020,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Local option taxes,98789,2020,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
County and intermediate sources,19072,2020,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Federal stimulus,0,2020,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only; printed as dash (zero)"
Charges for services,59597,2020,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Extracurricular activities,4914,2020,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Investment earnings,12400,2020,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Other,12717,2020,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
Total revenues,973465,2020,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only"
