contingency_k,ending_fund_balance_k,fy,basis,doc_id,page,notes,fragment
441253.979,25791.602,2017-18,adopted,budget-fy2017-18-book,73,all funds,fy2017-18
441253.979,25791.602,2017-18,approved,budget-fy2017-18-book,73,all funds,fy2017-18
442658.594,25791.602,2017-18,proposed,budget-fy2017-18-book,73,all funds,fy2017-18
,38282,2018,actual-acfr,acfr-fy2020,120,"GF classifications: nonspendable 343, assigned 37939",acfr-statistical
,38282,2018,actual-acfr,acfr-fy2025,127,"GF classifications: nonspendable 343, assigned 37939",acfr-statistical
0,39887,2018-19,actual-budgetary,budget-fy2021-22-vol1,153,"General Fund (100) scope; contingency = object 581000, ending fund balance = 376520 Budgeted Ending Fund Balance",fy2021-22
0,427192,2018-19,actual-budgetary,budget-fy2021-22-vol1,144,"All Funds scope; contingency = 581000 Operating Contingency, ending fund balance = 376520 Budgeted Ending Fund Balance; p.143 narrative: 2021-22 unappropriated EFB budgeted in capital, special revenue and debt service funds",fy2021-22
0,427192,2018-19,actual-budgetary,budget-fy2022-23-vol1,141,"all-funds figures: 6000 Contingencies and 7000 Unappropriated Fund Balance rows of requirements-by-function table; actual-year EFB is actual ending fund balance; contingency 0 = printed dash; 2021-22 column printed as 'Budget', recorded as adopted; GF adopted contingency 50768 (p150); 3-year forecast p42 misprints adopted EFB as 46563",fy2022-23
23789.826,0.000,2018-19,proposed,budget-fy2018-19-book,74,General Fund only,fy2018-19
25252,0,2018-19,revised,budget-fy2019-20-book,83,General Fund scope,fy2019-20
25252.055,0.000,2018-19,adopted,budget-fy2018-19-book,74,General Fund only,fy2018-19
25252.055,0.000,2018-19,approved,budget-fy2018-19-book,74,General Fund only,fy2018-19
325144.011,26650.353,2018-19,proposed,budget-fy2018-19-book,69,all funds combined,fy2018-19
326491.640,27145.569,2018-19,adopted,budget-fy2018-19-book,69,all funds combined,fy2018-19
326491.640,27145.569,2018-19,approved,budget-fy2018-19-book,69,all funds combined,fy2018-19
326492,27146,2018-19,revised,budget-fy2019-20-book,74,All Funds scope,fy2019-20
,39887,2019,actual-acfr,acfr-fy2020,120,"GF classifications: nonspendable 570, assigned 39317",acfr-statistical
,39887,2019,actual-acfr,acfr-fy2025,127,"GF classifications: nonspendable 570, assigned 39317",acfr-statistical
0,64474,2019-20,actual-budgetary,budget-fy2021-22-vol1,153,"General Fund (100) scope; contingency = object 581000, ending fund balance = 376520 Budgeted Ending Fund Balance",fy2021-22
0,782951,2019-20,actual-budgetary,budget-fy2021-22-vol1,144,"All Funds scope; contingency = 581000 Operating Contingency, ending fund balance = 376520 Budgeted Ending Fund Balance; p.143 narrative: 2021-22 unappropriated EFB budgeted in capital, special revenue and debt service funds; p.143 by-function table prints 7000 Unappropriated as 782,953 for 2019-20 vs 782,951 here - does not foot",fy2021-22
0,782952,2019-20,actual-budgetary,budget-fy2022-23-vol1,141,,fy2022-23
0,782952,2019-20,actual-budgetary,budget-fy2023-24-vol1,87,"all-funds figures: 6000 Contingencies and 7000 Unappropriated Fund Balance rows of requirements-by-function table; actual-year EFB is actual ending fund balance; 2022-23 column printed as 'Budget'; matches FY2022-23 book adopted total, so basis=adopted",fy2023-24
26682,0,2019-20,adopted,budget-fy2019-20-book,83,GF budgets no unappropriated ending fund balance in 2019-20,fy2019-20
26682,0,2019-20,approved,budget-fy2019-20-book,83,General Fund scope,fy2019-20
26682,0,2019-20,proposed,budget-fy2019-20-book,83,General Fund scope,fy2019-20
26682,0,2019-20,revised,budget-fy2020-21-vol1,118,General Fund,fy2020-21
77939,40754,2019-20,adopted,budget-fy2019-20-book,74,"by-account view p75 prints contingency 77,940 (rounding)",fy2019-20
77939,40754,2019-20,approved,budget-fy2019-20-book,74,All Funds scope,fy2019-20
77939,42265,2019-20,proposed,budget-fy2019-20-book,74,All Funds scope,fy2019-20
77940,40754,2019-20,revised,budget-fy2020-21-vol1,109,All Funds,fy2020-21
,64474,2020,actual-acfr,acfr-fy2020,120,"GF classifications: nonspendable 511, assigned 63963",acfr-statistical
,64474,2020,actual-acfr,acfr-fy2025,127,"GF classifications: nonspendable 511, assigned 63963",acfr-statistical
0,88691,2020-21,actual-budgetary,tscc-review-fy2024,19,General Fund only,tscc
0,906725,2020-21,actual-budgetary,budget-fy2022-23-vol1,141,,fy2022-23
0,906725,2020-21,actual-budgetary,budget-fy2023-24-vol1,87,,fy2023-24
0,906725,2020-21,actual-budgetary,tscc-review-fy2024,18,"All funds; by-object rows; by-function table prints EFB 906,738 for same column (internal conflict)",tscc
40946,0,2020-21,adopted,budget-fy2020-21-vol1,118,General Fund; native unit thousands; GF budgets no unappropriated (7000) balance in 2020-21 - reserve held as 6000 contingency (Board Policy 8.10.025 targets 5-10% of GF revenues),fy2020-21
40946,0,2020-21,revised,budget-fy2021-22-vol1,153,"General Fund (100) scope; contingency = object 581000, ending fund balance = 376520 Budgeted Ending Fund Balance",fy2021-22
45715,211151,2020-21,adopted,budget-fy2020-21-vol1,109,All Funds; ending_fund_balance_k = 7000 Unappropriated Fund Balance; increase driven by planned GO bond sale,fy2020-21
45715,211151,2020-21,revised,budget-fy2021-22-vol1,144,"All Funds scope; contingency = 581000 Operating Contingency, ending fund balance = 376520 Budgeted Ending Fund Balance; p.143 narrative: 2021-22 unappropriated EFB budgeted in capital, special revenue and debt service funds",fy2021-22
,88691,2021,actual-acfr,acfr-fy2025,127,"GF classifications: nonspendable 945, assigned 87746",acfr-statistical
0,672720,2021-22,actual-budgetary,budget-fy2023-24-vol1,87,,fy2023-24
0,672720,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,84,All funds; annual report by-object rows,tscc
0,672720,2021-22,actual-budgetary,tscc-review-fy2024,18,All funds,tscc
0,672720,2021-22,actual-budgetary,tscc-review-fy2025,17,All funds; requirements-by-object rows (contingencies/EFB continue on p.18),tscc
0,98804,2021-22,actual-budgetary,tscc-review-fy2024,19,General Fund only,tscc
0,98804,2021-22,actual-budgetary,tscc-review-fy2025,18,General Fund only,tscc
47500,0,2021-22,proposed,budget-fy2021-22-vol1,153,"General Fund (100) scope; contingency = object 581000, ending fund balance = 376520 Budgeted Ending Fund Balance",fy2021-22
51896,0,2021-22,adopted,budget-fy2021-22-vol1,153,"General Fund (100) scope; contingency = object 581000, ending fund balance = 376520 Budgeted Ending Fund Balance",fy2021-22
51896,0,2021-22,approved,budget-fy2021-22-vol1,153,"General Fund (100) scope; contingency = object 581000, ending fund balance = 376520 Budgeted Ending Fund Balance",fy2021-22
57185,358955,2021-22,proposed,budget-fy2021-22-vol1,144,"All Funds scope; contingency = 581000 Operating Contingency, ending fund balance = 376520 Budgeted Ending Fund Balance; p.143 narrative: 2021-22 unappropriated EFB budgeted in capital, special revenue and debt service funds",fy2021-22
61586,365183,2021-22,adopted,budget-fy2021-22-vol1,144,"All Funds scope; contingency = 581000 Operating Contingency, ending fund balance = 376520 Budgeted Ending Fund Balance; p.143 narrative: 2021-22 unappropriated EFB budgeted in capital, special revenue and debt service funds",fy2021-22
61586,365183,2021-22,adopted,budget-fy2022-23-vol1,141,,fy2022-23
61586,365183,2021-22,approved,budget-fy2021-22-vol1,144,"All Funds scope; contingency = 581000 Operating Contingency, ending fund balance = 376520 Budgeted Ending Fund Balance; p.143 narrative: 2021-22 unappropriated EFB budgeted in capital, special revenue and debt service funds",fy2021-22
,98804,2022,actual-acfr,acfr-fy2025,126,"GF classifications: nonspendable 2589, assigned 96215",acfr-statistical
0,105497,2022-23,actual-budgetary,budget-fy2026-27-vol1,109,"General Fund; actual years show reserves as 7000 unappropriated ending fund balance (contingency unspent prints as dash, recorded 0)",fy2026-27
0,105497,2022-23,actual-budgetary,tscc-review-fy2025,18,General Fund only,tscc
0,105497,2022-23,actual-budgetary,tscc-review-fy2026,19,General Fund only; from GF detail (Budget Summary); native whole dollars,tscc
0,895164,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,84,All funds,tscc
0,895164,2022-23,actual-budgetary,tscc-review-fy2025,17,All funds,tscc
0,895164,2022-23,actual-budgetary,tscc-review-fy2026,18,All funds; contingency+EFB from SUMMARY OF ALL FUNDS (by object rows; EFB row prints on p.19),tscc
50768,0,2022-23,revised,tscc-review-fy2024,19,General Fund only,tscc
56024,46536,2022-23,adopted,budget-fy2022-23-vol1,141,,fy2022-23
56024,46536,2022-23,adopted,budget-fy2023-24-vol1,87,,fy2023-24
56024,46536,2022-23,revised,tscc-review-fy2024,18,All funds,tscc
56024,50591,2022-23,approved,budget-fy2022-23-vol1,141,,fy2022-23
59248,50591,2022-23,proposed,budget-fy2022-23-vol1,141,requirements-by-object table p142 prints proposed contingency 59247 (rounding),fy2022-23
,105497,2023,actual-acfr,acfr-fy2025,126,"GF classifications: nonspendable 886, assigned 94984, unassigned 9627",acfr-statistical
0,624938,2023-24,actual-budgetary,tscc-review-fy2026,18,All funds,tscc
0,86078,2023-24,actual-budgetary,budget-fy2026-27-vol1,109,General Fund,fy2026-27
0,86078,2023-24,actual-budgetary,tscc-review-fy2026,19,"General Fund only; GF summary table p.15 prints EFB 86,078 for 2023-24 actual (annual report prints 105,497 for 2022-23)",tscc
43063,0,2023-24,adopted,budget-fy2024-25-vol1,100,"GENERAL FUND scope; from 2023-24 Adopted Budget columns",fy2024-25
43063,0,2023-24,approved,tscc-review-fy2024,19,General Fund only,tscc
43063,0,2023-24,revised,tscc-annual-report-2024-25-summaries,85,General Fund only; annual report PPS Budget Summary,tscc
43063,0,2023-24,revised,tscc-review-fy2025,18,General Fund only,tscc
48414,26313,2023-24,adopted,budget-fy2023-24-vol1,87,General Fund share of contingency 43063 (p95); GF budgets no unappropriated EFB,fy2023-24
48414,26313,2023-24,adopted,budget-fy2024-25-vol1,92,"ALL FUNDS scope; 6000 Contingencies and 7000 Unappropriated Fund Balance rows; 2023-24 columns are from the 2023-24 Adopted Budget (p78)",fy2024-25
48414,26313,2023-24,approved,budget-fy2023-24-vol1,87,,fy2023-24
48414,26313,2023-24,approved,tscc-review-fy2024,18,All funds,tscc
48414,26313,2023-24,proposed,budget-fy2023-24-vol1,87,,fy2023-24
48414,26313,2023-24,revised,tscc-annual-report-2024-25-summaries,84,All funds,tscc
48414,26313,2023-24,revised,tscc-review-fy2025,18,All funds; by-object rows,tscc
,86078,2024,actual-acfr,acfr-fy2025,126,"GF classifications: nonspendable 666, assigned 85412",acfr-statistical
0,44323,2024-25,actual-budgetary,budget-fy2026-27-vol1,109,General Fund,fy2026-27
40856,0,2024-25,adopted,budget-fy2024-25-vol1,100,"GENERAL FUND scope; budgeted UEFB printed as dash; narrative (p98) states ending GF balance would be 40.9M (meeting 5 percent Board minimum) if contingency remains unspent",fy2024-25
40856,0,2024-25,adopted,tscc-annual-report-2024-25-summaries,85,General Fund only; post-amendment adopted,tscc
40856,0,2024-25,revised,budget-fy2025-26-vol1,99,General Fund only; native unit thousands; column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book); 7000 unappropriated EFB not budgeted in GF 2024-25,fy2025-26
40856,0,2024-25,revised,tscc-review-fy2026,19,General Fund only,tscc
42520,22423,2024-25,adopted,budget-fy2024-25-vol1,92,"ALL FUNDS scope; by-fund contingency components per Attachment A (p303-304): GF 40856 + Debt Service 165 + Internal Service 1500 = 42521 vs printed 42520 (rounding); UEFB 22423 is entirely in Special Revenue Funds",fy2024-25
42520,22423,2024-25,revised,budget-fy2025-26-vol1,90,All funds; ending_fund_balance is 7000 Unappropriated Fund Balance,fy2025-26
42656,0,2024-25,approved,tscc-review-fy2025,18,"General Fund only; PRE-amendment; $1.8M moved to instruction at approval reduced reserve to 4.8% of resources (below 5% board policy, p.14); adopted contingency 40,856",tscc
44156,22423,2024-25,proposed,budget-fy2024-25-vol1,92,"ALL FUNDS scope",fy2024-25
44738,22423,2024-25,adopted,tscc-annual-report-2024-25-summaries,84,"All funds; 22,423 EFB = PERS Rate Stabilization Fund balance (per FY26 review p.10)",tscc
44738,22423,2024-25,approved,tscc-review-fy2025,18,"All funds; by-object rows; NOTE requirements-BY-FUNCTION table p.17 prints contingencies 44,321 for same column (internal conflict)",tscc
44738,22423,2024-25,revised,tscc-review-fy2026,18,"All funds; FY24-25 Adopted had erroneous $165K contingency in Debt Service Fund, to be fixed by supplemental budget (p.17)",tscc
,44323,2025,actual-acfr,acfr-fy2025,126,"GF classifications: nonspendable 712, assigned 43611; Sch 3; native unit thousands",acfr-statistical
41179,0,2025-26,adopted,budget-fy2025-26-vol1,99,General Fund only; no unappropriated/budgeted EFB; narrative (p.97) projects $41.2M ending balance if contingency unspent (meets 5% minimum),fy2025-26
41179,0,2025-26,adopted,budget-fy2026-27-vol1,109,"General Fund; budgeted EFB 0 - PPS budgets reserves as contingency, not unappropriated EFB (policy explained p.36)",fy2026-27
41179,0,2025-26,approved,tscc-review-fy2026,19,General Fund only; contingency = 5.2% of GF revenues (p.15 narrative); board policy reserve 5-10% (2019),tscc
41679,0,2025-26,adopted,budget-fy2025-26-vol1,90,All funds; no EFB budgeted in 2025-26 to account for PERS Rate Stabilization Reserve (Fund 225) utilization,fy2025-26
41679,0,2025-26,adopted,budget-fy2026-27-vol1,92,All funds ($500K of contingency sat outside the GF in 2025-26),fy2026-27
41679,0,2025-26,approved,tscc-review-fy2026,18,"All funds; contingency in GF (41,179) + Internal Service (500 per p.10 narrative: $0.5M); no EFB budgeted in any fund (PERS Rate Stabilization balance transferred to GF)",tscc
41056,0,2026-27,adopted,budget-fy2026-27-vol1,109,General Fund; contingency meets minimum 5% requirement ($41.1M); resulting ending GF balance will be $41.1M if unspent (p.36); board reserve target 5-10% of revenues (p.22),fy2026-27
41056,0,2026-27,adopted,budget-fy2026-27-vol1,92,All funds (all contingency in GF in 2026-27; budgeted ending fund balance 0),fy2026-27
