enrollment,admr,admw,fy,basis,doc_id,page,notes,fragment
45005,,,2021-22,actual-budgetary,tscc-review-fy2024,4,"PPS; enrollment chart, Actual",tscc
45497,,55688,2022,actual-acfr,acfr-fy2025,146,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation",acfr-statistical
,1031,1220,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,102,district: Corbett SD 39,tscc
,11337,13815,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,95,district: Gresham-Barlow SD 10J,tscc
,2813,3562,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,86,district: Parkrose SD 3,tscc
,44348,53058,2022-23,actual-budgetary,budget-fy2023-24-vol1,27,ADMw Extended 53398,fy2023-24
,44518,53518,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,83,"PPS; ADMw printed 53,518 (CONFLICT: 53,581 in tscc-review-fy2026 p.4 and 26-259 p.3; likely transposition)",tscc
,44518,53581,2022-23,actual-budgetary,budget-fy2025-26-vol1,27,ADMw Extended 53500,fy2025-26
,44518,53581,2022-23,actual-budgetary,budget-fy2026-27-vol1,28,"Revenue Factors table; enrollment (October headcount) not printed as a number anywhere in this book (chart only, p.249) - column left empty; admw = 'Weighted Enrollment - ADMw' row, Extended ADMw in notes; ADMw Extended 53,500",fy2026-27
,44518,53581,2022-23,actual-budgetary,tscc-measure-26-259-review,3,PPS,tscc
,44518,53581,2022-23,actual-budgetary,tscc-review-fy2026,4,"PPS; ADMw 53,581 here and in 26-259 p.3 but 53,518 in annual report summaries p.83",tscc
,44548,53414,2022-23,actual-budgetary,budget-fy2024-25-vol1,27,"marked ** latest estimates from ODE and TSCC; ADMw Extended 53500",fy2024-25
,44582,53244,2022-23,adopted,budget-fy2022-23-vol1,34,ADMw Extended 54241; marked latest estimates from ODE website / TSCC (**); budget assumption p32 also states projected ADMw 53244,fy2022-23
,506,645,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,111,district: Riverdale SD 51J,tscc
,5426,6885,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,98,district: Centennial SD 28J,tscc
,8583,11038,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,106,district: David Douglas SD 40,tscc
,9656,12827,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,90,district: Reynolds SD 7,tscc
44548,,,2022-23,actual-budgetary,tscc-review-fy2025,4,"PPS; enrollment chart, Actual",tscc
44609,,,2022-23,actual-budgetary,tscc-review-fy2026,4,"PPS; Portland Public Schools Enrollment chart, chart 'Actual'",tscc
44799,,,2022-23,revised,tscc-review-fy2024,4,"PPS; enrollment chart, Forecast",tscc
52380,,53581,2023,actual-acfr,acfr-fy2025,146,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation; ANOMALY: printed Total All 52380 inconsistent with series (2022=45497, 2024=44771); elementary rows Irvington 2514 and Kelly 2830 appear misprinted in source, inflating totals; verify against acfr-fy2023",acfr-statistical
,1048,1234,2023-24,actual-budgetary,tscc-annual-report-2024-25-summaries,102,district: Corbett SD 39,tscc
,11240,13688,2023-24,actual-budgetary,tscc-annual-report-2024-25-summaries,95,district: Gresham-Barlow SD 10J,tscc
,2829,3592,2023-24,actual-budgetary,tscc-annual-report-2024-25-summaries,86,district: Parkrose SD 3,tscc
,43514,52232,2023-24,actual-budgetary,budget-fy2024-25-vol1,27,"marked ** latest estimates from ODE and TSCC; ADMw Extended 53414",fy2024-25
,43514,52232,2023-24,actual-budgetary,tscc-annual-report-2024-25-summaries,83,PPS,tscc
,43514,52232,2023-24,actual-budgetary,tscc-measure-26-259-review,3,PPS,tscc
,43514,52232,2023-24,actual-budgetary,tscc-review-fy2026,4,PPS,tscc
,43882,52869,2023-24,revised,budget-fy2025-26-vol1,27,ADMw Extended 53581; latest ODE/TSCC estimate (fn2),fy2025-26
,43882,52999,2023-24,actual-budgetary,budget-fy2026-27-vol1,28,"ADMw Extended 53,581",fy2026-27
,44050,52720,2023-24,adopted,budget-fy2023-24-vol1,27,ADMw Extended 53352; marked latest estimates from ODE/TSCC; ODE Extended ADMw 53351.68 per MESD plan p204,fy2023-24
,480,623,2023-24,actual-budgetary,tscc-annual-report-2024-25-summaries,111,district: Riverdale SD 51J,tscc
,5423,6938,2023-24,actual-budgetary,tscc-annual-report-2024-25-summaries,98,district: Centennial SD 28J,tscc
,8597,11099,2023-24,actual-budgetary,tscc-annual-report-2024-25-summaries,106,district: David Douglas SD 40,tscc
,9370,12546,2023-24,actual-budgetary,tscc-annual-report-2024-25-summaries,90,district: Reynolds SD 7,tscc
43514,,,2023-24,revised,tscc-review-fy2025,4,"PPS; enrollment chart, Forecast",tscc
44005,,,2023-24,actual-budgetary,tscc-review-fy2026,4,"PPS; Portland Public Schools Enrollment chart, chart 'Actual'",tscc
44288,,,2023-24,approved,tscc-review-fy2024,4,"PPS; enrollment chart, Forecast (FY24 budget year)",tscc
44771,,52232,2024,actual-acfr,acfr-fy2025,146,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation; ADMw preliminary (most recent two years)",acfr-statistical
,10510,13275,2024-25,actual-budgetary,tscc-annual-report-2024-25-summaries,95,district: Gresham-Barlow SD 10J,tscc
,1065,1252,2024-25,actual-budgetary,tscc-annual-report-2024-25-summaries,102,district: Corbett SD 39,tscc
,2761,3500,2024-25,actual-budgetary,tscc-annual-report-2024-25-summaries,86,district: Parkrose SD 3,tscc
,43201,52392,2024-25,revised,budget-fy2026-27-vol1,28,"ADMw Extended 52,999; latest ODE/TSCC estimates per table footnote",fy2026-27
,43281,52324,2024-25,revised,budget-fy2025-26-vol1,27,ADMw Extended 52869; latest ODE/TSCC estimate (fn2),fy2025-26
,43302,51940,2024-25,adopted,budget-fy2024-25-vol1,27,"marked * projected; ADMw Extended 52232; exec summary assumption (p26) says Extended ADMw projected 52213; MESD service plan sheet (p205) shows ODE Extended ADMw 52231.82",fy2024-25
,43302,52114,2024-25,actual-budgetary,tscc-annual-report-2024-25-summaries,83,PPS,tscc
,43302,52114,2024-25,actual-budgetary,tscc-measure-26-259-review,3,PPS,tscc
,43302,52114,2024-25,actual-budgetary,tscc-review-fy2026,4,PPS,tscc
,484,629,2024-25,actual-budgetary,tscc-annual-report-2024-25-summaries,111,district: Riverdale SD 51J,tscc
,5412,6944,2024-25,actual-budgetary,tscc-annual-report-2024-25-summaries,98,district: Centennial SD 28J,tscc
,8525,11020,2024-25,actual-budgetary,tscc-annual-report-2024-25-summaries,106,district: David Douglas SD 40,tscc
,9257,12336,2024-25,actual-budgetary,tscc-annual-report-2024-25-summaries,90,district: Reynolds SD 7,tscc
43302,,,2024-25,approved,tscc-review-fy2025,4,"PPS; enrollment chart, Forecast (FY25 budget year)",tscc
43375,,,2024-25,approved,tscc-review-fy2026,4,"PPS; Portland Public Schools Enrollment chart, chart 'Forecast'",tscc
43826,,,2024-25,approved,tscc-review-fy2024,4,"PPS; enrollment chart, Forecast",tscc
44086,,52441,2025,actual-acfr,acfr-fy2025,146,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation; ADMw preliminary (most recent two years)",acfr-statistical
,42281,51182,2025-26,adopted,budget-fy2025-26-vol1,27,"ADMw Extended 52324; projected (fn3); SSF estimate based on Extended ADMw 52,324 (p.26)",fy2025-26
,42467,51390,2025-26,revised,budget-fy2026-27-vol1,28,"ADMw Extended 52,392; latest ODE/TSCC estimates per table footnote",fy2026-27
42304,,,2025-26,approved,tscc-review-fy2025,4,"PPS; enrollment chart, Forecast",tscc
42471,,,2025-26,approved,tscc-review-fy2026,4,"PPS; Portland Public Schools Enrollment chart, chart 'Forecast' (FY26 budget year)",tscc
42950,,,2025-26,approved,tscc-review-fy2024,4,"PPS; enrollment chart, Forecast",tscc
,41661,50396,2026-27,adopted,budget-fy2026-27-vol1,28,"ADMw Extended 51,390 (the funded count; SSF pays on higher of current/prior-year ADMw); projected",fy2026-27
41341,,,2026-27,approved,tscc-review-fy2025,4,"PPS; enrollment chart, Forecast",tscc
41450,,,2026-27,approved,tscc-review-fy2026,4,"PPS; Portland Public Schools Enrollment chart, chart 'Forecast'",tscc
40597,,,2027-28,approved,tscc-review-fy2026,4,"PPS; Portland Public Schools Enrollment chart, chart 'Forecast'",tscc
39945,,,2028-29,approved,tscc-review-fy2026,4,"PPS; Portland Public Schools Enrollment chart, chart 'Forecast'",tscc
