go_outstanding_k,pob_outstanding_k,debt_service_k,fy,basis,doc_id,page,notes,fragment
,,140826,2021-22,actual-budgetary,tscc-review-fy2025,19,PPS; GO fund only,tscc
,,200307,2021-22,adopted,budget-fy2021-22-vol1,287,"Payments by Debt Service Fund 2021-22: Fund 308 PERS UAL 57,699; Fund 320 FF&C 1,783; Fund 350 GO 140,825; adopted resolution Attachment A (p.375) appropriates 5100 debt service 200,309 in Fund 300 plus 1,223 in GF",fy2021-22
1105125,314159,,2021-22,adopted,budget-fy2021-22-vol1,286,"native unit thousands; outstanding @ June 30 2021 (projected); Full Faith & Credit obligations 8,819 additional; total all debt 1,428,103; 2021-22 principal payments 118,836 and interest payments 81,471 printed by issue",fy2021-22
1011460,679186,220566,2022,actual-acfr,acfr-fy2025,136,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 129626 + interest 90940 (Sch 4 p128); net GO 1117665; FFC 3613; recovery zone 607; QZAB 3000; POB jump reflects Oct 2021 399390k pension bond issuance,acfr-statistical
,,145053,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,85,PPS; GO fund only,tscc
,,145053,2022-23,actual-budgetary,tscc-review-fy2025,19,PPS; GO fund only,tscc
,,145053,2022-23,actual-budgetary,tscc-review-fy2026,19,"PPS; GO BONDS DEBT SERVICE FUND ONLY (Detail of General Obligation Debt Service Fund, 'Debt Services' row); native whole dollars; excludes pension-bond Debt Service Fund and GASB-87 leases",tscc
,,145053,2022-23,revised,tscc-review-fy2024,19,PPS; GO fund only,tscc
1011460,679186,226738,2022-23,adopted,budget-fy2022-23-vol1,278,"outstanding at June 30 2022 (Bonded and Other Debt table); excludes 7221 Full Faith & Credit obligations (total outstanding 1697867); debt_service = FY2022-23 payments by debt service funds, total printed on PDF p279 (principal 147389 + interest 79350 per p278 sums to 226739 - rounding); all-funds 5100 Debt Service & PERS UAL function adopted 228298 (p141) additionally includes GF 783",fy2022-23
1323490,640890,227925,2023,actual-acfr,acfr-fy2025,136,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 148555 + interest 79370 (Sch 4 p128); net GO 1464030; FFC 3298; QZAB 2800; leases+subscriptions 2585,acfr-statistical
,,165570,2023-24,actual-budgetary,tscc-review-fy2026,19,"PPS; GO fund only; printed 165,570 (FY25 review and annual report print 165,571 for the 2023-24 revised column)",tscc
,,165571,2023-24,approved,tscc-review-fy2024,19,PPS; GO fund only,tscc
,,165571,2023-24,revised,tscc-annual-report-2024-25-summaries,85,PPS; GO fund only,tscc
,,165571,2023-24,revised,tscc-review-fy2025,19,PPS; GO fund only,tscc
,,250900,2023-24,approved,tscc-review-fy2024,16,"PPS; per district debt schedule ($250.9M); budgeted by-object 252,744 (GASB 87); GO bonds 65.9% of budgeted; outstanding debt estimated $1.97B as of June 20 2023 (p.15)",tscc
1323490,640890,250869,2023-24,adopted,budget-fy2023-24-vol1,216,outstanding at June 30 2023 (Bonded and Other Debt table); debt_service = FY2023-24 principal 174015 + interest 76854; total 250869 printed on PDF p217 payments-by-fund table; excludes 6098 Full Faith & Credit obligations (QZAB 2800 + FF&C 2016 3298) from outstanding columns,fy2023-24
1212240,578650,253165,2024,actual-acfr,acfr-fy2025,136,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 176254 + interest 76911 (Sch 4 p128); net GO 1346486; FFC 2973; QZAB 2600; leases+subscriptions 3373,acfr-statistical
,,170535,2024-25,adopted,tscc-annual-report-2024-25-summaries,85,PPS; GO fund only,tscc
,,170535,2024-25,approved,tscc-review-fy2025,19,PPS; GO fund only,tscc
,,170535,2024-25,revised,tscc-review-fy2026,19,PPS; GO fund only,tscc
,,259100,2024-25,approved,tscc-review-fy2025,16,"PPS; per district debt schedule ($259.1M); budgeted by-object debt service 296,376 (GASB 87 long-term leases included); GO bonds 65.8% of budgeted; outstanding debt estimated $1.8B 'as of June 20, 2023' (p.15 - date appears stale, likely copied from prior-year review)",tscc
1212240,578650,259099,2024-25,adopted,budget-fy2024-25-vol1,219,"Outstanding as of June 30 2024 per Long Term Debt schedule; POB figure is the printed LTD Tax Pension & Refunding principal total; GO figure is the SUM of six printed per-series principal totals (2015B 97090 + 2017 169745 + 2020 267390 + 2020B 267255 + 2020C 47545 + 2023 363215) - no single GO subtotal is printed; remaining 5573 is QZAB 2600 + FF&C 2016 2973; grand total principal outstanding printed 1796463 (also p218); debt_service_k is 2024-25 Payments by Debt Service Fund total (funds 308/322/323/350); 2024-25 principal 193170 + interest 65927 per p218 (p219 prints interest 65929); exec overview (p22) rounds projected outstanding debt to 1.80B at 6/30/2024 and 1.60B at 6/30/2025",fy2024-25
1270000,,,2024-25,actual-budgetary,tscc-measure-26-259-review,6,"PPS; 'approximately $1.8 billion in debt remains from prior bond issuance; $1.27 billion (over 67%) of this is general obligation debt' (review dated May 2025); cf. annual report: PPS total long-term debt outstanding $1,433,611,215 at 6-30-24 (summaries p.82); $1,434M at 6/30/24, $1,970M at 6/30/23, $588M at 6/30/14 (general p.79, all debt types, $ millions)",tscc
1167405,510330,261382,2025,actual-acfr,acfr-fy2025,136,native unit thousands; go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 195347 + interest 66035 (Sch 4 p128); net GO outstanding incl premium less amts available 1298946; FFC 2638; QZAB 2400; leases+subscriptions 2164,acfr-statistical
,,178851,2025-26,approved,tscc-review-fy2026,19,"PPS; GO fund only; funded by GO debt property taxes 173,708 + BFB 3,242 + interest 1,901",tscc
,,272690,2025-26,approved,tscc-review-fy2026,9,"PPS; debt service by FUNCTION (2025-26 Requirements by Function chart); p.16 narrative: total debt service FY25-26 $272.7M, GO bonds 65.6% of budgeted; by-OBJECT debt service is 308,953 (p.10, incl GASB-87 leases/internal service); total outstanding debt estimated $1.7B as of June 20 2025 (p.16, no exact figure printed)",tscc
1167540,510330,272672,2025-26,adopted,budget-fy2025-26-vol1,229,"outstanding principal at June 30, 2025; pob_outstanding = printed 'LTD Tax Pension & Refunding' principal total; go_outstanding DERIVED as sum of printed per-series GO principal totals (2015B 89,425 + 2017B 166,400 + 2020 223,250 + 2020B 267,255 + 2020C 43,250 + May-2025 sale 79,615 + 2023 298,345) - no GO subtotal printed; debt_service = printed total of 2025-26 Payments by Debt Service Fund (Fund 308 93,202 + 322 200 + 323 419 + 350 178,851); total all-debt principal outstanding printed 1,682,908 (also p.228); Fund 300 total requirements 272,690 (p.149); narrative p.147 says outstanding debt at 6/30/2025 projected $1.78B - conflicts with printed 1,682,908",fy2025-26
1692720,433575,278569,2026-27,adopted,budget-fy2026-27-vol1,232,"outstanding @ June 30 2026; go_outstanding_k = sum of printed GO series outstanding (2015B 81,035 + 2017B 163,095 + 2020 196,620 + 2020B 267,255 + 2020C 38,715 + 2023 286,000 + 2026 660,000); pob_outstanding_k = Limited Tax Pension Obligation Bonds (2002B 40,900 + 2003B 59,940 + 2021 332,735; printed as 'LTD Tax Pension & Refunding' principal total 433,575 on p.233); FF&C/QZAB 4,493 excluded from both; grand total outstanding printed 2,130,788; debt_service_k = total 2026-27 P&I payments (principal 185,880 + interest 92,689); GO Series 2026 = Feb 24 2026 sale of $660M ($90M under 2020 authorization + $570M under May 2025 $1.83B authorization, p.230)",fy2026-27
