permanent_rate,gap_rate,local_option_rate,bond_rate,av_billions,rmv_billions,compression_loss_k,fy,basis,doc_id,page,notes,fragment
5.2781,0.5038,1.9900,,,,,2016-17,adopted,budget-fy2016-17-book,211,"rates per $1,000 AV; gap rate is the $0.5038 portion of the permanent rate excluded from SSF offset (in-formula portion $4.7743, p68); bonded debt levied as dollar amount $50,778,368 (50778.368K), not a rate (Resolution 5290; ED-50 p215); AV, RMV, and compression loss $ not printed in this book (compression discussed as ~21%% loss in 2015/16, p65)",fy2016-17
5.2781,,1.99,1.0623,47.3449,,,2017,actual-acfr,acfr-fy2020,125,rates Sch 6 p125; total direct rate 8.3304; av_billions = Total NET Assessed Value Sch 5 p124; gap rate not levied in these years; reduction+adjustments 7687k,acfr-statistical
5.2781,,1.99,1.0623,47.3449,,,2017,actual-acfr,acfr-fy2025,132,rates Sch 6 p132; total direct rate 8.3304; av_billions = Total NET Assessed Value (after URA excess/nonprofit housing) Sch 5 p131; gap rate not levied in these years; reduction+adjustments 7687k,acfr-statistical
,,,,49.71,121.65,20401.124,2017-18,actual-budgetary,budget-fy2021-22-vol1,55,"Revenue Factors table; Measure 5 adjustment printed in whole dollars, divided by 1000; rate columns on this page print rounded (5.28 operations incl gap, 1.99 local option) - see p.280 rows for precise rates",fy2021-22
4.7743,0.5038,1.99,2.4182,,,,2017-18,actual-budgetary,budget-fy2021-22-vol1,280,"rates per $1,000 AV; total rate extended 9.6863; permanent+gap = 5.2781 statutory rate (resolution p.373, ED-50 p.378)",fy2021-22
4.7743,0.5038,1.99,2.4182,49.71,121.65,20506,2017-18,actual-budgetary,budget-fy2020-21-vol1,238,,fy2020-21
4.7743,0.5038,1.9900,2.4182,49.706,121.648,20506,2017-18,actual-budgetary,budget-fy2019-20-book,176,,fy2019-20
5.2781,0.5038,1.9900,,,,,2017-18,adopted,budget-fy2017-18-book,209,"rates per $1,000 AV from Resolution 5467 (PDF p209; also PDF pp67,206,212); gap rate is the portion of the permanent rate excluded from SSF offset ($4.7743 is the SSF 'local revenue' portion, PDF p67); bonded debt levied as a dollar amount $124,300,000 not a rate (bond_rate left empty); AV, RMV and compression loss are not printed anywhere in this book",fy2017-18
5.2781,,1.99,2.4182,49.7056,,,2018,actual-acfr,acfr-fy2020,125,rates Sch 6 p125; total direct rate 9.6863; av_billions = Total NET Assessed Value Sch 5 p124; gap rate not levied in these years; reduction+adjustments 4666k,acfr-statistical
5.2781,,1.99,2.4182,49.7056,,,2018,actual-acfr,acfr-fy2025,132,rates Sch 6 p132; total direct rate 9.6863; av_billions = Total NET Assessed Value (after URA excess/nonprofit housing) Sch 5 p131; gap rate not levied in these years; reduction+adjustments 4666k,acfr-statistical
,,,,51.11,131.74,18829.623,2018-19,actual-budgetary,budget-fy2021-22-vol1,55,"Revenue Factors table; Measure 5 adjustment printed in whole dollars, divided by 1000; rate columns on this page print rounded (5.28 operations incl gap, 1.99 local option) - see p.280 rows for precise rates",fy2021-22
4.7743,0.5038,1.99,2.489,,,,2018-19,actual-budgetary,budget-fy2021-22-vol1,280,"total rate extended 9.7571; permanent+gap = 5.2781 statutory rate (resolution p.373, ED-50 p.378)",fy2021-22
4.7743,0.5038,1.99,2.489,51.11,131.74,18830,2018-19,actual-budgetary,budget-fy2020-21-vol1,238,,fy2020-21
4.7743,0.5038,1.9900,2.4890,51.11,131.74,18830,2018-19,actual-budgetary,budget-fy2022-23-vol1,272,"rates per $1000 AV from PDF p272; av_billions/rmv_billions/compression_loss_k from Revenue Factors table PDF p34; compression = 'Less Measure 5 Adjustments', native whole dollars divided by 1000 and rounded to nearest k; combined operations permanent rate 5.2781 = permanent 4.7743 + gap 0.5038",fy2022-23
4.7743,0.5038,1.9900,2.4890,51.112,131.735,18830,2018-19,revised,budget-fy2019-20-book,176,2018-19 shown as estimate on p176,fy2019-20
5.2781,0.5038,1.9900,,,,,2018-19,adopted,budget-fy2018-19-book,208,"gap rate $0.5038 is the portion of the permanent rate excluded from SSF/urban-renewal division of tax (Res. 5668); bonded debt levied as a dollar amount of $128,700,000 (no bond rate printed; also on Form ED-50 p.212); book prints no AV, RMV, or compression figures",fy2018-19
5.2781,,1.99,2.489,51.1125,,,2019,actual-acfr,acfr-fy2020,125,rates Sch 6 p125; total direct rate 9.7571; av_billions = Total NET Assessed Value Sch 5 p124; gap rate not levied in these years; reduction+adjustments 3065k,acfr-statistical
5.2781,,1.99,2.489,51.1125,,,2019,actual-acfr,acfr-fy2025,132,rates Sch 6 p132; total direct rate 9.7571; av_billions = Total NET Assessed Value (after URA excess/nonprofit housing) Sch 5 p131; gap rate not levied in these years; reduction+adjustments 3065k,acfr-statistical
,,,,53.7,134.59,20910.923,2019-20,actual-budgetary,budget-fy2021-22-vol1,55,"Revenue Factors table; Measure 5 adjustment printed in whole dollars, divided by 1000; rate columns on this page print rounded (5.28 operations incl gap, 1.99 local option) - see p.280 rows for precise rates",fy2021-22
4.7743,0.5038,1.99,2.4053,,,,2019-20,actual-budgetary,budget-fy2021-22-vol1,280,"total rate extended 9.6734; permanent+gap = 5.2781 statutory rate (resolution p.373, ED-50 p.378)",fy2021-22
4.7743,0.5038,1.99,2.4053,53.7,134.59,20911,2019-20,actual-budgetary,budget-fy2020-21-vol1,238,p.238 labels 2019-20 column Actual,fy2020-21
4.7743,0.5038,1.99,2.4053,53.7,134.59,20911,2019-20,actual-budgetary,budget-fy2023-24-vol1,210,"rates from PDF p210 (per $1000 AV); av_billions/rmv_billions/compression_loss_k from Revenue Factors table PDF p27; compression = Less Measure 5 Adjustments, native whole dollars divided by 1000; p40 prints combined operations permanent rate 5.2781 = permanent 4.7743 + gap 0.5038",fy2023-24
4.7743,0.5038,1.9900,2.4053,53.70,134.59,20911,2019-20,actual-budgetary,budget-fy2022-23-vol1,272,,fy2022-23
4.7743,0.5038,1.9900,2.4890,52.645,147.094,19772,2019-20,adopted,budget-fy2019-20-book,176,"2019-20 AV/RMV/M5 marked projected on p21; adopted levy: $5.2781 operations + $1.9900 local option rates and $130,575,000 bonded debt amount per Resolution 5913 p413-414",fy2019-20
5.2771,,1.9900,2.4053,,,,2019-20,actual-budgetary,tscc-measure-26-215-review,4,PPS; FY20 Property Tax Rates box; permanent printed 5.2771 (LIKELY TYPO for 5.2781 used everywhere else); total printed 9.6724 in box but 9.6742 in adjacent text (internally inconsistent),tscc
5.2781,,1.9900,2.4053,53.703,134.586,20911,2019-20,actual-budgetary,tscc-review-fy2024,3,"PPS; M5 loss printed -20,910,923; operations rate printed is combined permanent+gap ($5.2781); TSCC does not split (permanent 4.7743 + gap 0.5038 per district budget books); compression_loss = 'Measure 5 Impact' (total M5 loss, native whole dollars)",tscc
5.2781,,1.99,2.4053,53.7032,,,2020,actual-acfr,acfr-fy2025,132,rates Sch 6 p132; total direct rate 9.6734; av_billions = Total NET Assessed Value (after URA excess/nonprofit housing) Sch 5 p131; gap rate not levied in these years; reduction+adjustments 4575k; Sch 10 p137 prints net AV 53703299 for 2020 - 90k discrepancy vs Sch 5 p131,acfr-statistical
5.2781,,1.99,2.4053,53.7032,134.5754,,2020,actual-acfr,acfr-fy2020,125,rates Sch 6 p125; total direct rate 9.6734; av_billions = Total NET Assessed Value Sch 5 p124; gap rate not levied in these years; RMV 134575411k from Sch 12 p132; reduction+adjustments 4575k,acfr-statistical
,,,,55.6,140.25,22989.685,2020-21,revised,budget-fy2021-22-vol1,55,"Revenue Factors table; Measure 5 adjustment printed in whole dollars, divided by 1000; rate columns on this page print rounded (5.28 operations incl gap, 1.99 local option) - see p.280 rows for precise rates",fy2021-22
4.7743,0.5038,1.99,2.4017,,,,2020-21,actual-budgetary,budget-fy2021-22-vol1,280,"total rate extended 9.6698; permanent+gap = 5.2781 statutory rate (resolution p.373, ED-50 p.378)",fy2021-22
4.7743,0.5038,1.99,2.4017,56.04,140.25,22990,2020-21,actual-budgetary,budget-fy2023-24-vol1,210,,fy2023-24
4.7743,0.5038,1.99,2.45,55.31,138.63,20308,2020-21,adopted,budget-fy2020-21-vol1,238,"2020-21 values projected; AV 55,314,305K estimated p.236; resolution p.319 imposes $5.2781 operations + $1.9900 local option rates and $136,000K bonded debt levy amount",fy2020-21
4.7743,0.5038,1.9900,2.4017,,,,2020-21,actual-budgetary,budget-fy2024-25-vol1,212,"Budget's Effect on Average Homeowner table; permanent shown here EXCLUDES gap (combined authority 5.2781); total rate 9.6698",fy2024-25
4.7743,0.5038,1.9900,2.4017,56.04,140.25,22990,2020-21,actual-budgetary,budget-fy2022-23-vol1,272,,fy2022-23
5.2781,,1.9900,2.4017,56.046,140.249,22990,2020-21,actual-budgetary,tscc-review-fy2024,3,PPS,tscc
5.2781,,1.9900,2.4017,56.046,140.249,22990,2020-21,actual-budgetary,tscc-review-fy2025,3,"PPS; M5 impact printed -22,989,685; operations rate printed is combined permanent+gap ($5.2781); TSCC does not split (permanent 4.7743 + gap 0.5038 per district budget books); compression_loss = 'Measure 5 Impact' (total M5 loss, native whole dollars)",tscc
5.28,,1.99,2.44,56.04,140.25,22990,2020-21,actual-budgetary,budget-fy2024-25-vol1,27,"Revenue Factors table; Operations rate 5.28 INCLUDES the 0.5038 gap component; AV is Total Net Assessed Value; compression is the Less Measure 5 Adjustments line printed in whole dollars (22989685) divided by 1000",fy2024-25
5.2781,,1.99,2.4017,56.0455,,,2021,actual-acfr,acfr-fy2025,132,rates Sch 6 p132; total direct rate 9.6698; av_billions = Total NET Assessed Value (after URA excess/nonprofit housing) Sch 5 p131; gap rate not levied in these years; reduction+adjustments 5578k,acfr-statistical
,,,,57.28,144.46,23000.0,2021-22,adopted,budget-fy2021-22-vol1,55,"Revenue Factors table; Measure 5 adjustment printed in whole dollars, divided by 1000; rate columns on this page print rounded (5.28 operations incl gap, 1.99 local option) - see p.280 rows for precise rates; Measure 5 adjustment flagged projected",fy2021-22
,,1.99,2.33,59.61,147.26,24819,2021-22,actual-budgetary,budget-fy2025-26-vol1,27,"Revenue Factors table; compression = 'Less Measure 5 Adjustments' printed in whole dollars, normalized to K; operations rate printed $5.28 = permanent + gap combined so permanent/gap left blank here",fy2025-26
0.4576,,,,86.733,196.714,412.7,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,79,district: Multnomah ESD; from district General Information table; M5 impact native whole dollars; education service district (not K-12); no local option or bond rate printed,tscc
3.8149,,1.3700,2.2510,0.7819,1.1397,58.4,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,111,"district: Riverdale SD 51J; AV/RMV printed in MILLIONS, converted to billions; local option $1.3700 (renewed Nov 2020, first year 2016-17); M5 -58,392; outstanding debt 6-30-24 $9,286,882",tscc
4.4626,,,1.6150,6.931,13.082,118.5,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,90,"district: Reynolds SD 7; from district General Information table; M5 impact native whole dollars; limited member of TSCC; outstanding debt 6-30-24 $145,531,479",tscc
4.5268,,,2.8889,7.381,12.510,236.6,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,94,"district: Gresham-Barlow SD 10J; from district General Information table; M5 impact native whole dollars; outstanding debt 6-30-24 $270,380,268",tscc
4.5941,,,0.8268,0.4480,0.7821,19.1,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,102,"district: Corbett SD 39; from district General Information table; M5 impact native whole dollars; AV/RMV printed in MILLIONS (448.0/782.1 etc.), converted to billions; outstanding debt 6-30-24 $5,160,465",tscc
4.6394,,,1.3430,3.698,8.235,,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,106,"district: David Douglas SD 40; M5 impact printed '$-27' - appears truncated/garbled in source, omitted; withdrawn from TSCC jurisdiction; outstanding debt 6-30-24 $179,978,097",tscc
4.7448,,,1.5106,3.205,5.763,70.9,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,98,"district: Centennial SD 28J; from district General Information table; M5 impact native whole dollars; 2024-25 M5 impact printed '$-68.927' (period; read as $68,927); ADMw labeled 'Weighted Enrollment Extended-ADMw'; outstanding debt 6-30-24 $63,139,440",tscc
4.7743,0.5038,1.99,2.3335,57.28,147.26,24819,2021-22,actual-budgetary,budget-fy2023-24-vol1,210,,fy2023-24
4.7743,0.5038,1.99,2.489,,,,2021-22,adopted,budget-fy2021-22-vol1,280,"total rate extended 9.7481; permanent+gap = 5.2781 statutory rate (resolution p.373, ED-50 p.378); 2021-22 column labeled Projected - actual levy rate set by county assessors; bond levy certified as $146,000,000 amount (p.373)",fy2021-22
4.7743,0.5038,1.9900,2.3335,,,,2021-22,actual-budgetary,budget-fy2024-25-vol1,212,"total rate 9.6016",fy2024-25
4.7743,0.5038,1.9900,2.3335,,,,2021-22,actual-budgetary,budget-fy2025-26-vol1,222,"rates per $1,000 AV; 'Budget's Effect on Average Homeowner' table; total rate 9.6016",fy2025-26
4.7743,0.5038,1.9900,2.4890,57.28,147.26,24819,2021-22,actual-budgetary,budget-fy2022-23-vol1,272,"p272 2021-22 column (headed Actual) prints bond rate 2.4890 / total 9.7571, identical to 2018-19; p34 prints 2021-22 total rate 9.60 (bond approx 2.33) - p272 column looks erroneous; compression marked projected on p34",fy2022-23
4.8906,,,0.6825,4.673,7.938,1158.9,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,86,"district: Parkrose SD 3; from district General Information table; M5 impact native whole dollars; withdrawn from TSCC jurisdiction; outstanding debt 6-30-24 $87,057,804",tscc
5.2781,,1.9900,2.3335,59.615,147.264,24819,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,83,"PPS; operations rate printed is combined permanent+gap ($5.2781); TSCC does not split (permanent 4.7743 + gap 0.5038 per district budget books); compression_loss = 'Measure 5 Impact' (total M5 loss, native whole dollars)",tscc
5.2781,,1.9900,2.3335,59.615,147.264,24819,2021-22,actual-budgetary,tscc-measure-26-259-review,3,"PPS; operations rate printed is combined permanent+gap ($5.2781); TSCC does not split (permanent 4.7743 + gap 0.5038 per district budget books); compression_loss = 'Measure 5 Impact' (total M5 loss, native whole dollars)",tscc
5.2781,,1.9900,2.3335,59.615,147.264,24819,2021-22,actual-budgetary,tscc-review-fy2024,3,PPS,tscc
5.2781,,1.9900,2.3335,59.615,147.264,24819,2021-22,actual-budgetary,tscc-review-fy2025,3,PPS,tscc
5.2781,,1.9900,2.3335,59.615,147.264,24819,2021-22,actual-budgetary,tscc-review-fy2026,3,"operations rate printed is combined permanent+gap ($5.2781); TSCC does not split (permanent 4.7743 + gap 0.5038 per district budget books); compression_loss = 'Measure 5 Impact' (total M5 loss, native whole dollars); PPS; General Information table",tscc
5.28,,1.99,2.33,59.74,147.26,24819,2021-22,actual-budgetary,budget-fy2024-25-vol1,27,"compression printed 24819007",fy2024-25
5.2781,,1.99,2.3335,59.6146,,,2022,actual-acfr,acfr-fy2025,132,rates Sch 6 p132; total direct rate 9.6016; av_billions = Total NET Assessed Value (after URA excess/nonprofit housing) Sch 5 p131; gap rate not levied in these years; reduction+adjustments 5011k,acfr-statistical
,,1.99,2.30,62.49,157.08,25192,2022-23,actual-budgetary,budget-fy2025-26-vol1,27,,fy2025-26
0.4576,,,,90.678,211.928,442.7,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,79,district: Multnomah ESD,tscc
3.8149,,1.3700,2.4321,0.8063,1.1793,70.0,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,111,"district: Riverdale SD 51J; M5 -70,027",tscc
4.4626,,,1.5433,7.267,14.304,126.5,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,90,district: Reynolds SD 7,tscc
4.5268,,,2.8202,7.755,14.301,239.5,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,94,district: Gresham-Barlow SD 10J,tscc
4.5941,,,0.8618,0.4645,0.9205,20.5,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,102,district: Corbett SD 39,tscc
4.6394,,,1.3515,3.807,9.219,,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,106,"district: David Douglas SD 40; M5 printed '$-32', omitted as garbled",tscc
4.7448,,,0.9373,3.343,6.553,68.7,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,98,district: Centennial SD 28J,tscc
4.7743,0.5038,1.99,2.3,62.49,157.08,25191.648,2022-23,actual-budgetary,budget-fy2026-27-vol1,28;226,"rates from Budget's Effect on Average Homeowner (p.226, printed 219); AV/RMV/compression from Revenue Factors table (p.28, printed 21); rates are per $1,000 AV; compression_loss_k = Measure 5 adjustments in thousands (native unit whole dollars, divided by 1000)",fy2026-27
4.7743,0.5038,1.99,2.3,62.6,152.42,23000,2022-23,actual-budgetary,budget-fy2023-24-vol1,210,compression marked projected on p27,fy2023-24
4.7743,0.5038,1.9900,2.3000,,,,2022-23,actual-budgetary,budget-fy2024-25-vol1,212,"total rate 9.5681",fy2024-25
4.7743,0.5038,1.9900,2.3000,,,,2022-23,actual-budgetary,budget-fy2025-26-vol1,222,total rate 9.5681,fy2025-26
4.7743,0.5038,1.9900,2.5000,62.60,152.42,23000,2022-23,adopted,budget-fy2022-23-vol1,272,"bond rate and compression marked projected; p270 prints 2023 est. AV 62725000 thousand (62.7B) vs 62.60B on p34; Resolution 6520 p356 imposes 5.2781 operations (4.7743 permanent + 0.5038 gap), 1.9900 local option, 151000 thousand exempt bond levy (ED-50 p361)",fy2022-23
4.8906,,,0.7041,4.742,8.373,1116.3,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,86,district: Parkrose SD 3,tscc
5.2781,,1.9900,2.3000,62.494,157.078,25192,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,83,PPS,tscc
5.2781,,1.9900,2.3000,62.494,157.078,25192,2022-23,actual-budgetary,tscc-measure-26-259-review,3,PPS,tscc
5.2781,,1.9900,2.3000,62.494,157.078,25192,2022-23,actual-budgetary,tscc-review-fy2024,3,PPS,tscc
5.2781,,1.9900,2.3000,62.494,157.078,25192,2022-23,actual-budgetary,tscc-review-fy2025,3,PPS,tscc
5.2781,,1.9900,2.3000,62.494,157.078,25192,2022-23,actual-budgetary,tscc-review-fy2026,3,"PPS; M5 impact printed -25,191,648",tscc
5.28,,1.99,2.30,62.49,157.08,25155,2022-23,actual-budgetary,budget-fy2024-25-vol1,27,"compression printed 25154736",fy2024-25
5.2781,,1.99,2.3,62.4936,,,2023,actual-acfr,acfr-fy2025,132,rates Sch 6 p132; total direct rate 9.5681; av_billions = Total NET Assessed Value (after URA excess/nonprofit housing) Sch 5 p131; gap rate not levied in these years; reduction+adjustments 5407k,acfr-statistical
,,1.99,2.38,69.00,156.67,35811,2023-24,revised,budget-fy2025-26-vol1,27,marked latest estimate from ODE/TSCC (fn2),fy2025-26
0.4576,,,,97.948,214.090,719.4,2023-24,actual-budgetary,tscc-annual-report-2024-25-summaries,79,district: Multnomah ESD,tscc
3.8149,,1.3700,2.4227,0.8349,1.2533,58.2,2023-24,actual-budgetary,tscc-annual-report-2024-25-summaries,111,"district: Riverdale SD 51J; M5 -58,172",tscc
4.4626,,,1.4714,7.505,15.293,110.1,2023-24,actual-budgetary,tscc-annual-report-2024-25-summaries,90,district: Reynolds SD 7,tscc
4.5268,,,2.8048,8.009,15.098,263.5,2023-24,actual-budgetary,tscc-annual-report-2024-25-summaries,94,district: Gresham-Barlow SD 10J,tscc
4.5941,,,1.0641,0.4680,0.9199,16.2,2023-24,actual-budgetary,tscc-annual-report-2024-25-summaries,102,district: Corbett SD 39,tscc
4.6394,,,2.1636,3.899,9.318,,2023-24,actual-budgetary,tscc-annual-report-2024-25-summaries,106,"district: David Douglas SD 40; M5 printed '$-34', omitted as garbled",tscc
4.7448,,,1.0841,3.508,6.862,69.5,2023-24,actual-budgetary,tscc-annual-report-2024-25-summaries,98,district: Centennial SD 28J,tscc
4.7743,0.5038,1.99,2.3828,69.0,156.67,35716.191,2023-24,actual-budgetary,budget-fy2026-27-vol1,28;226,,fy2026-27
4.7743,0.5038,1.99,2.5,65.61,158.88,27000,2023-24,adopted,budget-fy2023-24-vol1,210,rates and compression printed as Projected in adopted book,fy2023-24
4.7743,0.5038,1.9900,2.3800,,,,2023-24,actual-budgetary,budget-fy2025-26-vol1,222,total rate 9.6481,fy2025-26
4.7743,0.5038,1.9900,2.5000,,,,2023-24,actual-budgetary,budget-fy2024-25-vol1,212,"total rate 9.7681; conflicts with p27 (bond 2.38, total 9.65)",fy2024-25
4.8906,,,0.7422,4.755,8.678,1133.1,2023-24,actual-budgetary,tscc-annual-report-2024-25-summaries,86,district: Parkrose SD 3,tscc
5.2781,,1.9900,2.3828,69.007,156.668,35716,2023-24,actual-budgetary,tscc-annual-report-2024-25-summaries,83,PPS,tscc
5.2781,,1.9900,2.3828,69.007,156.668,35716,2023-24,actual-budgetary,tscc-measure-26-259-review,3,PPS,tscc
5.2781,,1.9900,2.3828,69.007,156.668,35716,2023-24,actual-budgetary,tscc-review-fy2025,3,PPS,tscc
5.2781,,1.9900,2.3828,69.007,156.668,35716,2023-24,actual-budgetary,tscc-review-fy2026,3,"PPS; M5 impact printed -35,716,191",tscc
5.28,,1.99,2.38,69.01,156.67,35762,2023-24,actual-budgetary,budget-fy2024-25-vol1,27,"compression printed 35762128; p212 table prints 2023-24 bond rate as 2.5000 and total 9.7681 - conflicts with this page (2.38 / 9.65)",fy2024-25
5.2781,,1.99,2.3828,69.0066,,,2024,actual-acfr,acfr-fy2025,132,rates Sch 6 p132; total direct rate 9.6509; av_billions = Total NET Assessed Value (after URA excess/nonprofit housing) Sch 5 p131; gap rate not levied in these years; reduction+adjustments 29979k,acfr-statistical
,,1.3700,,,,29.4,2024-25,actual-budgetary,tscc-annual-report-2024-25-general,50,"district: Riverdale SD 51J; local option compression: extended 1,126,127, loss 29,350 (3%), effective rate 1.3343",tscc
,,1.99,2.34,71.05,151.42,42631,2024-25,revised,budget-fy2025-26-vol1,27,marked latest estimate from ODE/TSCC (fn2),fy2025-26
,,1.9900,,,,34215,2024-25,actual-budgetary,tscc-annual-report-2024-25-general,50,"PPS; LOCAL OPTION LEVY compression only (not total M5 loss): extended 143,107,389, compression loss 34,215,122 (24% reduced), effective rate 1.5142; local-option share of total M5 loss (42,564k) ~80%; tscc-review-fy2024 p.6 says local option bore roughly 88% of compression in FY22-23",tscc
0.4576,,,,101.761,210.143,894.0,2024-25,actual-budgetary,tscc-annual-report-2024-25-summaries,79,district: Multnomah ESD,tscc
3.8149,,1.3700,2.5357,0.8614,1.4028,29.4,2024-25,actual-budgetary,tscc-annual-report-2024-25-summaries,111,"district: Riverdale SD 51J; M5 -29,350",tscc
4.4626,,,1.4152,7.877,15.902,140.9,2024-25,actual-budgetary,tscc-annual-report-2024-25-summaries,90,district: Reynolds SD 7,tscc
4.5268,,,2.7138,8.495,15.500,292.4,2024-25,actual-budgetary,tscc-annual-report-2024-25-summaries,94,district: Gresham-Barlow SD 10J,tscc
4.5941,,,1.4152,0.4853,0.8993,13.6,2024-25,actual-budgetary,tscc-annual-report-2024-25-summaries,102,district: Corbett SD 39,tscc
4.6394,,,2.2271,4.396,9.366,56.1,2024-25,actual-budgetary,tscc-annual-report-2024-25-summaries,106,"district: David Douglas SD 40; M5 impact -56,092",tscc
4.7448,,,1.1138,3.642,7.066,68.9,2024-25,actual-budgetary,tscc-annual-report-2024-25-summaries,98,district: Centennial SD 28J,tscc
4.7743,0.5038,1.99,2.3338,71.05,151.42,42563.967,2024-25,actual-budgetary,budget-fy2026-27-vol1,28;226,,fy2026-27
4.7743,0.5038,1.9900,2.3363,,,,2024-25,actual-budgetary,budget-fy2025-26-vol1,222,total rate 9.6044,fy2025-26
4.7743,0.5038,1.9900,2.5000,,,,2024-25,adopted,budget-fy2024-25-vol1,212,"projected column; total rate 9.7681; actual levy rate determined by county assessors",fy2024-25
4.8906,,,0.7496,4.952,8.587,1246.0,2024-25,actual-budgetary,tscc-annual-report-2024-25-summaries,86,district: Parkrose SD 3,tscc
5.2781,,1.9900,,,,,2024-25,adopted,budget-fy2024-25-vol1,307,"Form OR-ED-50 certified rates; permanent rate limit 5.2781 (includes gap component 0.5038 per Resolution 6920 p302); bonded debt certified as a dollar levy of $166,000,000 not a rate; local option authorized through final tax year 2024-25 (Nov 5 2019 measure)",fy2024-25
5.2781,,1.9900,2.3338,71.052,151.420,42564,2024-25,actual-budgetary,tscc-measure-26-259-review,3,PPS; debt service rate 2.3338,tscc
5.2781,,1.9900,2.3338,71.052,151.420,42564,2024-25,actual-budgetary,tscc-review-fy2026,3,"PPS; M5 impact printed -42,563,967; debt service rate 2.3338 here and in 26-259 review but 2.3838 in annual report summaries p.83",tscc
5.2781,,1.9900,2.3838,71.052,151.420,42564,2024-25,actual-budgetary,tscc-annual-report-2024-25-summaries,83,PPS; debt service rate printed 2.3838 (CONFLICT: 2.3338 in tscc-review-fy2026 p.3 and tscc-measure-26-259 p.3),tscc
5.28,,1.99,2.50,72.46,155.10,40000,2024-25,adopted,budget-fy2024-25-vol1,27,"projected column in adopted book; compression printed 40000000; total rate printed 9.77",fy2024-25
