bond,project,original_budget_k,current_estimate_k,spent_k,as_of,doc_id,page,notes,fragment
2012,2012 BOND PROGRAM TOTAL,482000,594400,,2019-06-19,bond-audit-bond-performance-audit-year-1-phase-2,14,difference 112400 covered by 115800 non-bond funding: premium 56900 + interest 4100 + Concordia 15500 + other 39300; delivered as promised but with unresolved change-order/contractor-invoice issues (p13-14),bonds
2012,2012 Bond TOTAL,482000,601620,577680,2020-01-17,budget-fy2020-21-vol1,221,"current-budget total 611,620K including 10,000K Additional Funding Resource (If/When Needed) line",fy2020-21
2012,2012 Bond TOTAL,482000.0,601819.444,591707.652,2021-03-11,budget-fy2021-22-vol1,262,"current incl. Additional Funding Resource If/When Needed brings current to 611,819,444",fy2021-22
2012,Benson - Master Planning,192,399,399,2019-01-01,budget-fy2019-20-book,159,,fy2019-20
2012,Capital Schools Subtotal,278000,422100,,2019-06-19,bond-audit-bond-performance-audit-year-1-phase-2,14,,bonds
2012,Cleveland - Master Planning,192,0,0,2019-01-01,budget-fy2019-20-book,159,"FY20 budget 60,000",fy2019-20
2012,Debt Repayment,45000,45000,,2017-03,bond-audit-bond-construction-program-audit-4-of-4,37,,bonds
2012,Debt Repayment,45000,45000,,2019-06-19,bond-audit-bond-performance-audit-year-1-phase-2,14,,bonds
2012,Debt Repayment,45000,45000,45000,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,,bonds
2012,Debt Repayment,45000,45000,45000,2015-03,bond-audit-bond-construction-program-audit-2-of-4,13,,bonds
2012,Debt Repayment,45000,45000,45000,2016-03,bond-audit-bond-construction-program-audit-3-of-4,13,,bonds
2012,Debt Repayment,45000,45000,45000,2019-01-01,budget-fy2019-20-book,159,,fy2019-20
2012,Debt Repayment,45000,45000,45000,2020-01-17,budget-fy2020-21-vol1,221,,fy2020-21
2012,Debt Repayment,45000.0,45000.0,45000.0,2021-03-11,budget-fy2021-22-vol1,262,,fy2021-22
2012,Educational Facility + Seismic/Roof Improvements,74500,85300,,2019-06-19,bond-audit-bond-performance-audit-year-1-phase-2,14,orig = 5000 science classrooms + 69500 seismic/roofs/accessibility,bonds
2012,Educational Specification,0,275,275,2019-01-01,budget-fy2019-20-book,159,,fy2019-20
2012,Educational Specifications,0,275,,2017-03,bond-audit-bond-construction-program-audit-4-of-4,37,,bonds
2012,Educational Specifications,0,300,223.85,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,non-bond funded,bonds
2012,Educational Specifications,0,300,271,2015-03,bond-audit-bond-construction-program-audit-2-of-4,13,,bonds
2012,Educational Specifications,0,300,275,2016-03,bond-audit-bond-construction-program-audit-3-of-4,13,,bonds
2012,Faubion PK-8,27000,44700,1100,2015-03,bond-audit-bond-construction-program-audit-2-of-4,13,increase incl Concordia partnership scope,bonds
2012,Faubion PK-8,27000,48900,4100,2016-03,bond-audit-bond-construction-program-audit-3-of-4,13,,bonds
2012,Faubion PK-8,27000,49200,,2017-03,bond-audit-bond-construction-program-audit-4-of-4,37,+82%; original excl 15500 Concordia contribution; budget basis with Concordia = 42500->49200 = +21% (p35),bonds
2012,Faubion PK-8,27035.537,26645.88,818.758,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,EAC 24956.370,bonds
2012,Faubion PK-8,28000,49900,,2019-06-19,bond-audit-bond-performance-audit-year-1-phase-2,14,ORIGINAL BASIS = 2012 Bond Fact Sheet (bond-paid share excl 15500 Concordia); differs from Hirsh-audit basis 27035.537,bonds
2012,Faubion Replacement,27035.537,50119.665,50028.171,2021-03-11,budget-fy2021-22-vol1,262,,fy2021-22
2012,Faubion Replacement,27036,50036,49703,2019-01-01,budget-fy2019-20-book,159,"FY20 budget 100,000",fy2019-20
2012,Faubion Replacement,27036,50036,49802,2020-01-17,budget-fy2020-21-vol1,221,,fy2020-21
2012,Franklin HS Modernization,81585.655,113022.229,112872.628,2021-03-11,budget-fy2021-22-vol1,262,"native unit whole dollars, divided by 1000; spent_k = Actuals Approved column; current_estimate_k = Current Budget (3/11/2021) column",fy2021-22
2012,Franklin HS Modernization,81586,113485,112280,2019-01-01,budget-fy2019-20-book,159,"native unit whole dollars, converted to $1k (rounded); Current Project Budget as of 1/1/2019; Actuals Approved through 1/1/19; FY20 budget column 300,000",fy2019-20
2012,Franklin HS Modernization,81586,113946,112575,2020-01-17,budget-fy2020-21-vol1,221,"source prints whole dollars, converted to thousands; current_estimate_k = Current Budget (1/17/2020); spent_k = Actuals Approved",fy2020-21
2012,Franklin HS,81585.655,91163.158,629.29,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,Appendix B exact $; EAC 82046.842 (forecast 10% under); Fig 3 p17 rounds current to 91.0M,bonds
2012,Franklin HS,81600,104500,3100,2015-03,bond-audit-bond-construction-program-audit-2-of-4,13,FINDING p8-9: HS design/scope changes +41000 (18%) over original HS budgets excl Grant; 45000 escalation reserve fully allocated before all projects funded; FHS+RHS behind baseline schedule,bonds
2012,Franklin HS,81600,106600,21300,2016-03,bond-audit-bond-construction-program-audit-3-of-4,13,FINDING: Apr 2016 PSU EAC 108900 (~2300 over budget); Project Director est final up to 112000 (p22); reporting swung from 4600 under (Jan BAC) to 2300 over (p23); initial CM/GC GMP estimate 109750 vs 81750 GMP budget +28000/+35% (p24),bonds
2012,Franklin HS,81600,112800,,2017-03,bond-audit-bond-construction-program-audit-4-of-4,37,current budget 112800 = est final; +38% incl 14.2% escalation; GMP 81750 (May 2015) raised ~16000; BOE added 6000 contingency incl ~2000 VE add-backs (p34),bonds
2012,Franklin HS,85000,112800,,2019-06-19,bond-audit-bond-performance-audit-year-1-phase-2,14,fact-sheet basis differs from Hirsh 81585.655,bonds
2012,Grant HS Modernization,88336.829,159460.317,158837.342,2021-03-11,budget-fy2021-22-vol1,262,"Budget FY22 2,921,689",fy2021-22
2012,Grant HS Modernization,88337,151938,92260,2019-01-01,budget-fy2019-20-book,159,"FY20 budget 21,152,032",fy2019-20
2012,Grant HS Modernization,88337,159220,153255,2020-01-17,budget-fy2020-21-vol1,221,,fy2020-21
2012,Grant HS,88300,111900,700,2016-03,bond-audit-bond-construction-program-audit-3-of-4,13,FINDING: unresolved budget concerns; contingency insufficient (p8-9),bonds
2012,Grant HS,88300,140000,,2017-03,bond-audit-bond-construction-program-audit-4-of-4,37,FINDING: est final >=140000 vs established budget 116900 (Fig 9; text p35 says 116800) = >=23000 unfunded; CM/GC GMP est ~33000 over at 100% DD; only ~10000 program reserves remain (p35-36),bonds
2012,Grant HS,88300,93500,10,2015-03,bond-audit-bond-construction-program-audit-2-of-4,13,,bonds
2012,Grant HS,88336.829,79107.776,0,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,approved budget changes -9229.053 (early re-baseline); EAC 67241.610,bonds
2012,Grant HS,95000,158700,,2019-06-19,bond-audit-bond-performance-audit-year-1-phase-2,14,fact-sheet basis differs from Hirsh 88336.829; largest 2012 overrun,bonds
2012,HS Master Plans (3),1200,1000,0,2015-03,bond-audit-bond-construction-program-audit-2-of-4,13,original planning budget was 1500,bonds
2012,HS Master Plans (3),1200,1200,,2017-03,bond-audit-bond-construction-program-audit-4-of-4,37,,bonds
2012,HS Master Plans (3),1200,1300,100,2016-03,bond-audit-bond-construction-program-audit-3-of-4,13,,bonds
2012,Improvement Project 2013,9467.471,13062.837,11930.613,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,substantially complete; forecast 8.7% under revised budget; budget +3595.366 for seismic grant + Ockley Green science labs + COO contingency (p29),bonds
2012,Improvement Project 2014,13620.121,15737.734,891.854,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,,bonds
2012,Improvement Project 2015,13521.066,13328.042,0,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,,bonds
2012,Improvement Project 2016,15274.437,7181.967,0,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,,bonds
2012,Improvement Project 2017,6796.707,13227.332,0,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,,bonds
2012,Improvement Project 2018,9062.119,7682.952,0,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,,bonds
2012,Improvement Projects (9; 2013-19),67700,68900,28700,2015-03,bond-audit-bond-construction-program-audit-2-of-4,13,FINDING: 2018+2019 summer project budgets reduced to fund IP2014 bids substantially over budget; IP2014 budget 13600->18100 (p9 p25); ADA/science-lab budget moved out of IP2018 (p26),bonds
2012,Improvement Projects (9; 2013-19),67700,72500,53500,2016-03,bond-audit-bond-construction-program-audit-3-of-4,13,,bonds
2012,Improvement Projects (9; 2013-19),67800,64700,,2017-03,bond-audit-bond-construction-program-audit-4-of-4,37,current budget 73400; est final -3100 vs orig via scope cuts in IP2016-18; unobligated IP escalation redirected to HS budgets in 2014 (p35),bonds
2012,Improvement Projects,67741.921,85863.137,85180.218,2021-03-11,budget-fy2021-22-vol1,262,,fy2021-22
2012,Improvement Projects,67742,105103,82084,2019-01-01,budget-fy2019-20-book,159,,fy2019-20
2012,Improvement Projects,67742,85789,84769,2020-01-17,budget-fy2020-21-vol1,221,,fy2020-21
2012,Jefferson - Master Planning,192,0,0,2019-01-01,budget-fy2019-20-book,159,"FY20 budget 60,000",fy2019-20
2012,Lincoln - Master Planning,192,357,357,2019-01-01,budget-fy2019-20-book,159,,fy2019-20
2012,Madison - Master Planning,192,400,324,2019-01-01,budget-fy2019-20-book,159,,fy2019-20
2012,Marshall Swing Site,0,2500,14.167,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,FINDING: only active project forecast OVER budget; EAC 3567.550 = 42.7% over; OSM to balance from reserves/2nd swing site budget (p29-30),bonds
2012,Marshall Swing Site,0,4000,2200,2015-03,bond-audit-bond-construction-program-audit-2-of-4,13,,bonds
2012,Master Planning - Benson HS,191.667,161.667,0,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,,bonds
2012,Master Planning - Cleveland HS,191.667,161.667,0,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,,bonds
2012,Master Planning - Jefferson HS,191.667,161.667,0,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,,bonds
2012,Master Planning - Lincoln HS,191.667,161.667,0,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,,bonds
2012,Master Planning - Madison HS,191.667,161.667,0,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,,bonds
2012,Master Planning - Wilson HS,191.667,161.667,0,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,,bonds
2012,Roosevelt HS Modernization,68418.695,108503.379,102330.987,2021-03-11,budget-fy2021-22-vol1,262,"Budget FY22 1,835,921",fy2021-22
2012,Roosevelt HS Modernization,68419,102073,97211,2019-01-01,budget-fy2019-20-book,159,"FY20 budget 300,000",fy2019-20
2012,Roosevelt HS Modernization,68419,102073,99493,2020-01-17,budget-fy2020-21-vol1,221,,fy2020-21
2012,Roosevelt HS,68400,102000,,2017-03,bond-audit-bond-construction-program-audit-4-of-4,37,current budget 102800; +49% incl escalation; GMP 69300 (Apr 2015) + >14000; 4000 of increase from 20-yr federal loan repaid by general fund (p34),bonds
2012,Roosevelt HS,68400,92200,2700,2015-03,bond-audit-bond-construction-program-audit-2-of-4,13,FINDING p8-9: HS design/scope changes +41000 (18%) over original HS budgets excl Grant; 45000 escalation reserve fully allocated before all projects funded; FHS+RHS behind baseline schedule,bonds
2012,Roosevelt HS,68400,96600,15200,2016-03,bond-audit-bond-construction-program-audit-3-of-4,13,OSM projects completion within adjusted budget (p8),bonds
2012,Roosevelt HS,68418.695,82242.754,412.879,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,EAC 74026.637,bonds
2012,Roosevelt HS,70000,100700,,2019-06-19,bond-audit-bond-performance-audit-year-1-phase-2,14,fact-sheet basis differs from Hirsh 68418.695,bonds
2012,Swing Sites & Transportation,9550,5235,5235,2019-01-01,budget-fy2019-20-book,159,,fy2019-20
2012,Swing Sites & Transportation,9550,5235,5235,2020-01-17,budget-fy2020-21-vol1,221,,fy2020-21
2012,Swing Sites & Transportation,9550,6430,0,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,,bonds
2012,Swing Sites & Transportation,9550.0,5234.879,5234.879,2021-03-11,budget-fy2021-22-vol1,262,,fy2021-22
2012,Swing Sites & Transportation,9600,4900,0,2015-03,bond-audit-bond-construction-program-audit-2-of-4,13,,bonds
2012,Swing Sites & Transportation,9600,6900,4900,2016-03,bond-audit-bond-construction-program-audit-3-of-4,13,,bonds
2012,Swing Sites,5800,5200,,2017-03,bond-audit-bond-construction-program-audit-4-of-4,37,current budget 5800,bonds
2012,TOTAL 2012 Bond,482000,616483,509673,2019-01-01,budget-fy2019-20-book,159,"current budget rises to 626,482,678 with 10,000,000 'Additional Funding Resource (If/When Needed)'",fy2019-20
2012,Wilson - Master Planning,192,0,0,2019-01-01,budget-fy2019-20-book,159,"FY20 budget 60,000",fy2019-20
2012/2017 GO,Budgetary Contingency,,412397.494,,2017-18 adopted (annual budget),budget-fy2017-18-book,141,amount is FY2017/18 annual project budget,fy2017-18
2012/2017 GO,Subtotal Project Budget,,183881.161,,2017-18 adopted (annual budget),budget-fy2017-18-book,141,amount is FY2017/18 annual project budget,fy2017-18
2012/2017 GO,Swing Sites & Transportation,,500.001,,2017-18 adopted (annual budget),budget-fy2017-18-book,141,amount is FY2017/18 annual project budget,fy2017-18
2012/2017 GO,Total Requirements (Fund 450),,596278.655,,2017-18 adopted (annual budget),budget-fy2017-18-book,141,amount is FY2017/18 annual project budget,fy2017-18
2012+2017,Combined Capital Improvement Bond Program TOTAL,1272000,1436123,731098,2020-01-17,budget-fy2020-21-vol1,221,,fy2020-21
2017 (26-193),Total authorization,790000,,790000,2020-09,tscc-measure-26-215-review,2,"$790M authorized May 2017 (66.0% yes); fully issued (2017A 168,950 + 2017B 179,730 + 2020 441,320); spent_k = par amount fully issued, not project spend",tscc
2017 GO ($790M),Benson Poly Tech Full Modernization,,10991.082,,2017-18 adopted (annual budget),budget-fy2017-18-book,141,amount is FY2017/18 annual project budget,fy2017-18
2017 GO ($790M),Environmental Health Improvement Projects,,4965.873,,2017-18 adopted (annual budget),budget-fy2017-18-book,141,amount is FY2017/18 annual project budget,fy2017-18
2017 GO ($790M),Kellogg Replacement,,2377.567,,2017-18 adopted (annual budget),budget-fy2017-18-book,141,amount is FY2017/18 annual project budget,fy2017-18
2017 GO ($790M),Lincoln High School Full Modernization,,10058.067,,2017-18 adopted (annual budget),budget-fy2017-18-book,141,amount is FY2017/18 annual project budget,fy2017-18
2017 GO ($790M),Madison High School Full Modernization,,7873.107,,2017-18 adopted (annual budget),budget-fy2017-18-book,141,amount is FY2017/18 annual project budget,fy2017-18
2017,2017 Bond Program (program admin),210000.0,180783.633,29387.562,2021-03-11,budget-fy2021-22-vol1,262,"Budget FY22 9,611,857; subtotal with pre-design/pre-bond lines: current 182,984,400, actuals 31,475,556",fy2021-22
2017,2017 Bond Program (program costs),210000,130863,5902,2019-01-01,budget-fy2019-20-book,159,"FY20 budget 11,924,105",fy2019-20
2017,2017 Bond Program (program-level),210000,130401,15128,2020-01-17,budget-fy2020-21-vol1,221,,fy2020-21
2017,2017 BOND PROGRAM TOTAL,790000,,,2017-01,bond-audit-bond-performance-audit-year-1-phase-1,3,FINDING: no independent estimate to support 790000 total; independent support existed for 403.5M of 580M school hard costs and 45M of 150M H&S (p3),bonds
2017,2017 BOND PROGRAM TOTAL,790000,,,2017-05,tscc-measure-26-259-review,7,May 2017; 66% yes (bond history recap),bonds
2017,2017 BOND PROGRAM TOTAL,790000,1063000,,2022-03-31,bond-audit-bond-performance-audit-year-4,12,EXCLUDES Benson MPG (moved to 2020 bond); down from 1098000 at Mar 2021; H&S nearing completion delivering more than 150000 envisioned (p12),bonds
2017,2017 BOND PROGRAM TOTAL,790000,1070000,,2019-06-19,bond-audit-bond-performance-audit-year-1-phase-2,16,FINDING: ~280000 more than voter-approved bond; unlike 2012 few offsetting premiums (348700 of 790000 issued; premiums only 1100),bonds
2017,2017 BOND PROGRAM TOTAL,790000,1080900,,2020-01-14,bond-audit-bond-performance-audit-year-2,12,+8900 (0.8%) vs Jun 2019,bonds
2017,2017 BOND PROGRAM TOTAL,790000,1098000,,2021-03,bond-audit-bond-performance-audit-year-3,4,premiums+state grants provided >79000 additional funding; Kellogg + McDaniel opened on schedule expected on budget; Lincoln on budget (p4 p12); ANOMALY: Exhibit 2 per-project table is an image lost to text extraction,bonds
2017,2017 BOND PROGRAM TOTAL,790000,898337.994,849816.394,2025-02-13,bond-audit-bond-performance-audit-year-6,13,revised budget 941430.379 (bond premium + grants); Benson 2020-funded share excluded here and carried in 2020 bond table,bonds
2017,2017 Bond Program: Pre-Design - Pre-Bond,0,81,81,2019-01-01,budget-fy2019-20-book,159,,fy2019-20
2017,2017 Bond TOTAL,790000,824503,153418,2020-01-17,budget-fy2020-21-vol1,221,includes Environmental Health & Safety categories (no original budgets printed) and pre-bond pre-design lines,fy2020-21
2017,Administration,40000,63050.454,57367.101,2025-02-13,bond-audit-bond-performance-audit-year-6,13,revised budget 64112.941,bonds
2017,Athletics,0,2156.459,1882.549,2025-02-13,bond-audit-bond-performance-audit-year-6,13,revised budget 2147.865,bonds
2017,Benson HS Modernization,202000,67884,1069,2019-01-01,budget-fy2019-20-book,159,"FY20 budget 11,125,000",fy2019-20
2017,Benson HS Modernization,202000,78703,5762,2020-01-17,budget-fy2020-21-vol1,221,current budget reflects only funded phases; future bond planned to complete Benson (p.219),fy2020-21
2017,Benson HS Modernization,202000.0,67322.571,23233.541,2021-03-11,budget-fy2021-22-vol1,262,"Budget FY22 102,798,671; balance of Benson completion funded under 2020 bond",fy2021-22
2017,Benson Main Campus,202000,321000,,2022-03-31,bond-audit-bond-performance-audit-year-4,32,FINDING: revised baseline 282000 (+40%); EAC +14% vs revised; drivers: pandemic escalation +21200 (Main+MPG) + scope changes +17000 + schematic-design budgeting error +14000 (designed to 224000 not 212000) (p14),bonds
2017,Benson Polytechnic HS (2017-funded: Main + swing),202000,175785.098,166127.158,2025-02-13,bond-audit-bond-performance-audit-year-6,13,"revised budget 172889.406; FINDING: EAC exceeds revised budget; unfinished work, missed milestones, delay costs and pending claims may push cost higher (p14); remainder of Benson funded by 2020 bond",bonds
2017,Benson Polytechnic HS (full project incl MPG + swing),,410200,,2022-03-31,bond-audit-bond-performance-audit-year-4,13,+52200 vs 358000 at Mar 2021; includes MPG 76000 paid by 2020 bond; Marshall + Kenton swing sites,bonds
2017,Benson Polytechnic HS (full project: Main + swing + MPG),,421204.511,404095.674,2025-02-13,bond-audit-bond-performance-audit-year-6,14,budget 418308.818 = Main 325587.899 + swing 12205.396 + MPG 80515.523; funded by 2017 AND 2020 bonds; $418M project = 368k sf main + 17k sf MPG + 2 swing sites; FINDING: pending claims heighten risk of further cost growth (p14),bonds
2017,Benson Polytechnic HS (incl MPG + swing),202000,357700,,2021-03,bond-audit-bond-performance-audit-year-3,12,unchanged since Mar 2020; in design; 2020 bond earmarked 64000 for MPG + 152000 for remaining 2017 projects,bonds
2017,Benson Polytechnic HS (incl MPG + swing),202000,357700,7300,2020-01-14,bond-audit-bond-performance-audit-year-2,12,+27700 vs Jun 2019 from MPG addition + swing sites; FINDING: 2017 bond funds for Benson exhausted by Dec 2021; ~290000 funding gap pending Nov 2020 bond (p12-13),bonds
2017,Benson Polytechnic HS,202000,,,2017-01,bond-audit-bond-performance-audit-year-1-phase-1,12,Jan 19 2017 internal OSM model 231000 (hard 128 soft 102; p15); professional hard-cost est 128200 (p13); FINDING: exec leadership cut 4-school total ~100000 without documented rationale (p13-14),bonds
2017,Benson Polytechnic HS,202000,,,2023-05,bond-audit-bond-performance-audit-year-5,12,on schedule for fall 2024; Main 68% and MPG 30% constructed (p13 fn9); 2020 bond provided 164900 to complete Benson main (Exhibit 3 note p12),bonds
2017,Benson Polytechnic HS,202000,330000,,2019-06-19,bond-audit-bond-performance-audit-year-1-phase-2,16,+63.4%; master planning; FINDING: low initial budget + escalation + Board-added MPG building; 2020 bond campaign planned else full-faith-and-credit loan (p16-17),bonds
2017,Capital Schools Subtotal,580000,,,2017-01,bond-audit-bond-performance-audit-year-1-phase-1,12,FINDING: Jan 19 2017 model total 678000 reduced ~100000 (33000 hard + 65000 soft) to 580000 presented to Board Jan 24 2017; no methodology/rationale documented (p13-14); independent estimates supported only 403500 of 580000 hard cost (p13),bonds
2017,Capital Schools Subtotal,580000,839400,,2019-06-19,bond-audit-bond-performance-audit-year-1-phase-2,16,+44.7%,bonds
2017,Capital Schools Subtotal,580000,862500,,2020-01-14,bond-audit-bond-performance-audit-year-2,12,,bonds
2017,Cleveland HS Modernization Pre-Design (Pre-Bond),0,100,0,2019-01-01,budget-fy2019-20-book,159,,fy2019-20
2017,Contingency,0,0,0,2019-01-01,budget-fy2019-20-book,159,"FY20 budget 42,933,432 (matches Capital Projects fund contingency)",fy2019-20
2017,Contingency,20000,0,0,2025-02-13,bond-audit-bond-performance-audit-year-6,13,revised 23766.312 unspent/reallocated,bonds
2017,Environmental Health & Safety - ADA,,,0,2019-01-01,budget-fy2019-20-book,159,"no original/current budget printed; FY20 budget 2,470,530",fy2019-20
2017,Environmental Health & Safety - ADA,,12.855,12.855,2021-03-11,budget-fy2021-22-vol1,262,,fy2021-22
