ssf_total_k,gp_grant_k,local_revenue_offset_k,fy,basis,doc_id,page,notes,fragment
235502.000,,,2017-18,approved,budget-fy2017-18-book,89,,fy2017-18
235502.000,,,2017-18,proposed,budget-fy2017-18-book,89,,fy2017-18
237644.188,,,2017-18,revised,budget-fy2018-19-book,83,,fy2018-19
239804,,,2017-18,actual-budgetary,budget-fy2019-20-book,86,,fy2019-20
239804,,,2017-18,actual-budgetary,budget-fy2020-21-vol1,121,,fy2020-21
239804,,,2017-18,actual-budgetary,budget-fy2021-22-vol1,155,"object 431010 SSF--General Support, General Fund detail; grant is net of local property-tax offset per SSF formula; general purpose grant and local revenue offset components not printed in this book; Common School Fund (431030) printed separately: 5,048 adopted 2021-22",fy2021-22
225135,,,2018-19,actual-budgetary,budget-fy2020-21-vol1,121,,fy2020-21
225135,,,2018-19,actual-budgetary,budget-fy2021-22-vol1,155,,fy2021-22
225135,,,2018-19,actual-budgetary,budget-fy2022-23-vol1,153,"object 431010 SSF--General Support, General Fund resources detail; native unit thousands; 2021-22 column printed as 'Budget', recorded as adopted; gp_grant and local_revenue_offset not printed in this book; Common School Fund (431030) adopted 4875 excluded; budget assumption p32: PPS share of second year of 9.3B biennium approx 243000",fy2022-23
231526.915,,,2018-19,proposed,budget-fy2018-19-book,83,,fy2018-19
233304.795,,,2018-19,adopted,budget-fy2018-19-book,83,,fy2018-19
233304.795,,,2018-19,approved,budget-fy2018-19-book,83,,fy2018-19
233305,,,2018-19,revised,budget-fy2019-20-book,86,,fy2019-20
250106,,,2019-20,proposed,budget-fy2019-20-book,86,,fy2019-20
254228,,,2019-20,adopted,budget-fy2019-20-book,86,,fy2019-20
254228,,,2019-20,approved,budget-fy2019-20-book,86,,fy2019-20
254228,,,2019-20,revised,budget-fy2020-21-vol1,121,,fy2020-21
266607,,,2019-20,actual-budgetary,budget-fy2021-22-vol1,155,,fy2021-22
266607,,,2019-20,actual-budgetary,budget-fy2022-23-vol1,153,,fy2022-23
266607,,,2019-20,actual-budgetary,budget-fy2023-24-vol1,98,"object 431010 SSF--General Support, General Fund resources detail; native unit thousands; 2022-23 column printed as 'Budget'; matches FY2022-23 book adopted total, so basis=adopted; gp_grant and local_revenue_offset not printed in this book; Common School Fund (431030) adopted 6613 excluded",fy2023-24
263622,,,2020-21,actual-budgetary,budget-fy2022-23-vol1,153,,fy2022-23
263622,,,2020-21,actual-budgetary,budget-fy2023-24-vol1,98,,fy2023-24
263622,,,2020-21,actual-budgetary,budget-fy2024-25-vol1,103,"GF revenue object 431010 SSF--General Support; formula General Purpose Grant and local revenue offset are NOT printed in the budget book; Common School Fund (431030) separate: 5628",fy2024-25
267735,,,2020-21,adopted,budget-fy2020-21-vol1,121,,fy2020-21
267735,,,2020-21,revised,budget-fy2021-22-vol1,155,,fy2021-22
256417,,,2021-22,adopted,budget-fy2021-22-vol1,155,"budget assumption p.54: estimated SSF distribution based on $9.3B state K-12 budget at 49/51 split, PPS first-year share $246.35M",fy2021-22
256417,,,2021-22,adopted,budget-fy2022-23-vol1,153,,fy2022-23
256417,,,2021-22,approved,budget-fy2021-22-vol1,155,,fy2021-22
256417,,,2021-22,proposed,budget-fy2021-22-vol1,155,,fy2021-22
259314,,,2021-22,actual-budgetary,budget-fy2023-24-vol1,98,,fy2023-24
259314,,,2021-22,actual-budgetary,budget-fy2024-25-vol1,103,"431030 Common School Fund 5693",fy2024-25
259314,,,2021-22,actual-budgetary,budget-fy2025-26-vol1,102,"account 431010 SSF--General Support, General Fund resources detail; gp_grant and local revenue offset not printed in this book; Common School Fund (431030) separate: 6,138 adopted 2025-26",fy2025-26
242531,,,2022-23,adopted,budget-fy2022-23-vol1,153,,fy2022-23
242531,,,2022-23,adopted,budget-fy2023-24-vol1,98,,fy2023-24
242531,,,2022-23,approved,budget-fy2022-23-vol1,153,,fy2022-23
242531,,,2022-23,proposed,budget-fy2022-23-vol1,153,,fy2022-23
265671,,,2022-23,actual-budgetary,budget-fy2024-25-vol1,103,"431030 Common School Fund 6362",fy2024-25
265671,,,2022-23,actual-budgetary,budget-fy2025-26-vol1,102,,fy2025-26
265671,,,2022-23,actual-budgetary,budget-fy2026-27-vol1,95,"ssf_total_k = object 431010 'SSF--General Support' line, all-funds resources detail; gp_grant and local revenue offset components of the SSF formula are not printed in this book - columns left empty; separate lines: 431020 SSF School Lunch Match ($157K) and 431030 Common School Fund ($6,800K adopted 2026-27)",fy2026-27
253000,,,2023-24,approved,tscc-review-fy2024,7,PPS; SSF assumed at $253M; $9.9B state K-12 budget basis; legislature approved $10.2B on June 7 2023 so actual allotment will exceed budget; narrative rounded figure,tscc
253318,,,2023-24,adopted,budget-fy2023-24-vol1,98,"estimate assumes $9.9B state K-12 budget, 49/51 split, ADMw 52720 (PDF p26)",fy2023-24
253318,,,2023-24,adopted,budget-fy2024-25-vol1,103,"2023-24 Adopted Budget column; 431030 Common School Fund 6613",fy2024-25
253318,,,2023-24,approved,budget-fy2023-24-vol1,98,,fy2023-24
253318,,,2023-24,proposed,budget-fy2023-24-vol1,98,,fy2023-24
274366,,,2023-24,actual-budgetary,budget-fy2025-26-vol1,102,,fy2025-26
274366,,,2023-24,actual-budgetary,budget-fy2026-27-vol1,95,,fy2026-27
265500,,,2024-25,approved,tscc-review-fy2025,6,"PPS; SSF assumed at $265.5M; $10.2B state K-12 budget, 49/51 split, $1.1B SIA; ~$65M Integrated Grant; +$3.4M Early Literacy Grant (p.6); narrative rounded figure",tscc
265522,,,2024-25,adopted,budget-fy2024-25-vol1,103,"431030 Common School Fund 6042; budget assumes $10.2B statewide SSF at 49/51 biennium split with PPS second-year state payment share of $234.7M (p26); total GF 3000 state sources 271565 (p99)",fy2024-25
265522,,,2024-25,approved,budget-fy2024-25-vol1,103,,fy2024-25
265522,,,2024-25,proposed,budget-fy2024-25-vol1,103,"431030 Common School Fund 6042",fy2024-25
265522,,,2024-25,revised,budget-fy2025-26-vol1,102,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book),fy2025-26
268519,,,2024-25,actual-budgetary,budget-fy2026-27-vol1,95,,fy2026-27
291000,,,2025-26,approved,tscc-review-fy2026,8,"PPS; SSF assumed at $291.0M (p.13 narrative: $291.1M, +$25.5M vs FY24-25); basis: $11.36B state K-12 budget, 49/51 biennial split, + $1.4B SIA; ~$63.0M expected from Integrated (Student Success Act) grants; GF State Revenue line 297,191 (p.19) includes SSF plus other state; narrative rounded figure",tscc
291053,,,2025-26,adopted,budget-fy2025-26-vol1,102,based on $11.36B biennial SSF at 49/51 split; PPS first-year share $291.0M (p.26),fy2025-26
291053,,,2025-26,adopted,budget-fy2026-27-vol1,95,,fy2026-27
291053,,,2025-26,approved,budget-fy2025-26-vol1,102,based on $11.36B biennial SSF at 49/51 split; PPS first-year share $291.0M (p.26),fy2025-26
291053,,,2025-26,proposed,budget-fy2025-26-vol1,102,based on $11.36B biennial SSF at 49/51 split; PPS first-year share $291.0M (p.26),fy2025-26
310300,,,2026-27,adopted,budget-fy2026-27-vol1,95,"budget assumptions (p.27): statewide SSF $11.36B for 2025-27 biennium at 49/51 split, PPS share of second year estimated $305.4M; SIA statewide $1.10B",fy2026-27
