imposed_k,collected_k,positions_funded,fy,basis,doc_id,page,notes,fragment
,97400,916,2019-20,actual-budgetary,cbrc-2024-25-cbrc-local-option-levy-review,1,"narrative trend figures: Levy revenue $97.4 million (native unit millions); positions printed as 'over 916 teachers'; average teacher cost $106,000; licensed staff share funded by Levy nearly 27 percent",ode-enrollment
102044,,,2019-20,actual-budgetary,budget-fy2021-22-vol1,278,Local Option Taxes Levied series from Total Taxes Levied chart (in thousands),fy2021-22
104764,97350,,2019-20,adopted,budget-fy2019-20-book,174,imposed is p174 chart '2019-20 EST.'; collected is adopted budgeted current-year local option revenue p82,fy2019-20
106869,,,2019-20,actual-budgetary,budget-fy2022-23-vol1,270,,fy2022-23
106869,,,2019-20,actual-budgetary,budget-fy2023-24-vol1,208,"Local Option Taxes Levied from Total Taxes Levied chart, Assessed Value page; collected amount and positions funded not printed for local option separately in this book",fy2023-24
106869,97350,,2019-20,revised,budget-fy2020-21-vol1,236,,fy2020-21
514918,490715,,2020,actual-acfr,acfr-fy2020,128,Sch 9; collected_k = collected within fiscal year of levy (95.30% of levy); subsequent-year collections 0k; total to date 490715k,acfr-statistical
514918,490715,,2020,actual-acfr,acfr-fy2025,135,Sch 9; collected_k = collected within fiscal year of levy (95.30% of levy); subsequent-year collections 8968k; total to date 499683k,acfr-statistical
,,873,2020-21,actual-budgetary,cbrc-2021-22-cbrc-local-option-review,3,"All PPS row of 2020-21 GF Local Option Levy Staffing By School table: 3,079.00 GF staff of which 873.00 levy-funded (2,206.00 without Levy); FY20-21 audited enrollment 44,186; Measure 26-161 renewed 2019 (26-207) with goal of est. average 825 teaching positions/yr over 5-year window; PDF pages 1-2 of this doc have no text layer",ode-enrollment
,100955,,2020-21,actual-budgetary,tscc-review-fy2024,6,PPS; property tax breakdown table,tscc
105537,,,2020-21,revised,budget-fy2021-22-vol1,278,Local Option Taxes Levied series from Total Taxes Levied chart (in thousands),fy2021-22
110075,100366,,2020-21,adopted,budget-fy2020-21-vol1,236,"imposed marked EST.; levy renewed by voters Nov 2019 for third 5-year term at $1.99/$1,000 (p.49); levy funds teaching positions and classroom supports - position count not printed",fy2020-21
111531,,,2020-21,actual-budgetary,budget-fy2022-23-vol1,270,,fy2022-23
111531,,,2020-21,actual-budgetary,budget-fy2023-24-vol1,208,,fy2023-24
536371,512270,,2021,actual-acfr,acfr-fy2025,135,Sch 9; collected_k = collected within fiscal year of levy (95.51% of levy); subsequent-year collections 7945k; total to date 520215k,acfr-statistical
,,851,2021-22,actual-budgetary,cbrc-2022-23-cbrc-local-option-levy-review,1,"retrospective statement in May 2023 review: 'At the same time last year, the Levy funded 851 teachers'",ode-enrollment
,104719,,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,84,PPS; annual report property tax breakdown,tscc
,104719,,2021-22,actual-budgetary,tscc-review-fy2024,6,PPS,tscc
,104719,,2021-22,actual-budgetary,tscc-review-fy2025,6,PPS; property tax breakdown table,tscc
108703,,,2021-22,adopted,budget-fy2021-22-vol1,278,Local Option Taxes Levied series from Total Taxes Levied chart (in thousands); printed as 2021-22 EST.,fy2021-22
118633,,,2021-22,actual-budgetary,budget-fy2022-23-vol1,270,,fy2022-23
118633,,,2021-22,actual-budgetary,budget-fy2023-24-vol1,208,,fy2023-24
567384,544882,,2022,actual-acfr,acfr-fy2025,135,Sch 9; collected_k = collected within fiscal year of levy (96.03% of levy); subsequent-year collections 6293k; total to date 551175k,acfr-statistical
,,922,2022-23,actual-budgetary,cbrc-2023-24-cbrc-local-option-levy-review,1,"retrospective statement in May 2024 review: 'At the same time last year, the Levy funded 922 teachers' - CONFLICTS with ~851 reported for 2022-23 in the May 2023 review (see anomaly)",ode-enrollment
,106512,851,2022-23,actual-budgetary,cbrc-2022-23-cbrc-local-option-levy-review,1,"receipts $106,511,980 (native unit whole dollars) as of April 1 2023 from Multnomah, Washington, and Clackamas counties - partial-year; positions are within-year projection from receipts at average teacher cost $125,161 (salary, taxes, benefits); review states goal of 'at least the 851 teaching positions initially projected' vs 825 in other vintages",ode-enrollment
,109213,,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,84,PPS,tscc
,109213,,2022-23,actual-budgetary,tscc-review-fy2025,6,PPS,tscc
,109213,,2022-23,actual-budgetary,tscc-review-fy2026,7,"PPS; Local Option Levy Property Taxes row, all-funds property tax breakdown (= collections/revenue, post-compression, incl delinquents as budgeted); native whole dollars",tscc
,109951,,2022-23,revised,tscc-review-fy2024,6,PPS; budgeted collections,tscc
122785,,,2022-23,adopted,budget-fy2023-24-vol1,208,printed 2022-23 EST.,fy2023-24
124362,109213,,2022-23,actual-budgetary,budget-fy2026-27-vol1,224;91,"Local Option Levy only; imposed_k = 'Local Option Taxes Levied' from Total Taxes Levied chart (p.224, printed 217); collected_k = budgeted/actual Current Year Local Option Property Taxes, all funds (p.91); positions_funded not printed - column left empty",fy2026-27
124823,,,2022-23,adopted,budget-fy2022-23-vol1,270,"printed 2022-23 est.; GF budgets current-year local option collections of 109951 (p149 adopted); rate 1.9900 first levied 2020-21, final tax year 2024-25 (ED-50 p361)",fy2022-23
592538,565245,,2023,actual-acfr,acfr-fy2025,135,Sch 9; collected_k = collected within fiscal year of levy (95.39% of levy); subsequent-year collections 5443k; total to date 570688k,acfr-statistical
,106896,,2023-24,actual-budgetary,tscc-review-fy2026,7,PPS,tscc
,108840,802,2023-24,actual-budgetary,cbrc-2023-24-cbrc-local-option-levy-review,1,"receipts $108,840,000 as of April 1 2024 - partial-year; positions approximate, projected from receipts at average teacher cost $135,739; Measure 26-246 renewal noted on May 2024 ballot",ode-enrollment
,114676,,2023-24,approved,tscc-review-fy2024,6,PPS; budgeted collections,tscc
,114676,,2023-24,revised,tscc-annual-report-2024-25-summaries,84,PPS,tscc
,114676,,2023-24,revised,tscc-review-fy2025,6,PPS; budgeted collections,tscc
127083,,,2023-24,adopted,budget-fy2023-24-vol1,208,printed 2023-24 EST.; GF budgets current-year local option collections of 114676 (p94),fy2023-24
137323,106896,,2023-24,actual-budgetary,budget-fy2026-27-vol1,224;91,,fy2026-27
635997,603722,,2024,actual-acfr,acfr-fy2025,135,Sch 9; collected_k = collected within fiscal year of levy (94.93% of levy); subsequent-year collections 4098k; total to date 607820k,acfr-statistical
,104600,744,2024-25,actual-budgetary,cbrc-2024-25-cbrc-local-option-levy-review,1,"receipts $104.6 million as of April 1 2025 - partial-year; positions projected at average teacher cost $141,000; Levy renewed May 2024 via Measure 26-246; Levy funds held in dedicated GF sub-account restricted to teacher salaries and benefits",ode-enrollment
,104608,,2024-25,adopted,budget-fy2024-25-vol1,99,"budgeted GF local option collections (Current Year Local Option Property Taxes); budget assumes ~3 percent decline in local option revenue and 96 percent collection rate (p26); prior-year budgeted/actual collections in gf_revenue.csv",fy2024-25
,104608,,2024-25,adopted,tscc-annual-report-2024-25-summaries,84,PPS,tscc
,104608,,2024-25,approved,tscc-review-fy2025,6,PPS; budgeted collections; May 2024 renewal,tscc
,104608,,2024-25,revised,tscc-review-fy2026,7,PPS; budgeted collections,tscc
1126,,,2024-25,actual-budgetary,tscc-annual-report-2024-25-general,50,"district: Riverdale SD 51J; local option extended 1,126,127; compression loss 29,350 (3%); effective 1.3343",tscc
133220,,,2024-25,adopted,budget-fy2024-25-vol1,210,"Local Option Taxes Levied 2024-25 EST from Total Taxes Levied chart (in thousands); rate 1.9900 per ED-50 (p307); positions funded not quantified in this book - narrative says the levy funds teaching positions and classroom support (p22); levy renewed May 2024 for a fourth five-year term, current authorization final tax year 2024-25 (p307)",fy2024-25
143107,,,2024-25,actual-budgetary,tscc-annual-report-2024-25-general,50,"PPS local option levy EXTENDED (pre-compression) 143,107,389; compression loss 34,215,122 (24%); effective rate 1.5142 vs levied 1.9900; positions_funded not printed (levy purpose 'General Operations')",tscc
144100,104123,,2024-25,actual-budgetary,budget-fy2026-27-vol1,224;91,,fy2026-27
642950,609415,,2025,actual-acfr,acfr-fy2025,135,native unit thousands; Sch 9; collected_k = collected within fiscal year of levy (94.78% of levy); subsequent-year collections 0k; total to date 609415k,acfr-statistical
,109200,718,2025-26,proposed,cbrc-2024-25-cbrc-local-option-levy-review,1,"CBRC trend projection: revenue projected $109.2 million; approximately 718 positions at projected average teacher cost $152,000; Levy projected at 13 percent of General Fund in 2025-26; licensed staff share funded by Levy just under 22 percent",ode-enrollment
,109222,,2025-26,adopted,budget-fy2025-26-vol1,98,"budgeted current-year local option property tax collections, General Fund (also detail p.101: Mult 108,403 + Clack 92 + Wash 726)",fy2025-26
,109222,,2025-26,approved,tscc-review-fy2026,7,PPS; budgeted collections; levy renewals 2011/2014/2019 + May 2024 (rate $1.99),tscc
145635,,,2025-26,adopted,budget-fy2025-26-vol1,220,"Local Option Taxes Levied, 2025-26 EST (Total Taxes Levied chart, in thousands); pre-compression levy; positions_funded not printed (narrative p.22: levy 'funds teaching positions and classroom support', $1.99/$1,000, renewed May 2024)",fy2025-26
146982,109222,,2025-26,adopted,budget-fy2026-27-vol1,224;91,imposed is 2025-26 EST per chart,fy2026-27
149921,103938,,2026-27,adopted,budget-fy2026-27-vol1,224;91,"imposed is 2026-27 EST; budgeted collections assume 95.0% collection rate and reflect Measure 5 compression (Measure 5 adjustments $53.4M across operating levies, p.28); levy renewed May 2024 at $1.99/$1,000 (p.22); positions funded not quantified in this book (levy 'funds teaching positions and classroom support', p.22)",fy2026-27
