bond,project,original_budget_k,current_estimate_k,spent_k,as_of,doc_id,page,notes
2012,Educational Specifications,0,300,271,2015-03,bond-audit-bond-construction-program-audit-2-of-4,13,
2012,Debt Repayment,45000,45000,45000,2015-03,bond-audit-bond-construction-program-audit-2-of-4,13,
2012,2012 Bond Program (mgmt/reserves),93100,63800,8500,2015-03,bond-audit-bond-construction-program-audit-2-of-4,13,
2012,2012 BOND PROGRAM TOTAL,482000,522900,95600,2015-03,bond-audit-bond-construction-program-audit-2-of-4,13,budget grew ~10% in two years (p14); 13800 bond premium reserves allocated to escalation needs (p9)
2012,Franklin HS,81600,106600,21300,2016-03,bond-audit-bond-construction-program-audit-3-of-4,13,FINDING: Apr 2016 PSU EAC 108900 (~2300 over budget); Project Director est final up to 112000 (p22); reporting swung from 4600 under (Jan BAC) to 2300 over (p23); initial CM/GC GMP estimate 109750 vs 81750 GMP budget +28000/+35% (p24)
2012,Grant HS,88300,111900,700,2016-03,bond-audit-bond-construction-program-audit-3-of-4,13,FINDING: unresolved budget concerns; contingency insufficient (p8-9)
2012,Roosevelt HS,68400,96600,15200,2016-03,bond-audit-bond-construction-program-audit-3-of-4,13,OSM projects completion within adjusted budget (p8)
2012,Faubion PK-8,27000,48900,4100,2016-03,bond-audit-bond-construction-program-audit-3-of-4,13,
2012,Improvement Projects (9; 2013-19),67700,72500,53500,2016-03,bond-audit-bond-construction-program-audit-3-of-4,13,
2012,HS Master Plans (3),1200,1300,100,2016-03,bond-audit-bond-construction-program-audit-3-of-4,13,
2012,Swing Sites & Transportation,9600,6900,4900,2016-03,bond-audit-bond-construction-program-audit-3-of-4,13,
2012,Educational Specifications,0,300,275,2016-03,bond-audit-bond-construction-program-audit-3-of-4,13,
2012,Debt Repayment,45000,45000,45000,2016-03,bond-audit-bond-construction-program-audit-3-of-4,13,
2012,2012 Bond Program (mgmt/reserves),93100,60500,13700,2016-03,bond-audit-bond-construction-program-audit-3-of-4,13,
2012,2012 BOND PROGRAM TOTAL,482000,550500,151800,2016-03,bond-audit-bond-construction-program-audit-3-of-4,13,FINDING: FHS to complete substantially over budget (p8); 28% of budget invoiced
2012,Franklin HS,81600,112800,,2017-03,bond-audit-bond-construction-program-audit-4-of-4,37,current budget 112800 = est final; +38% incl 14.2% escalation; GMP 81750 (May 2015) raised ~16000; BOE added 6000 contingency incl ~2000 VE add-backs (p34)
2012,Grant HS,88300,140000,,2017-03,bond-audit-bond-construction-program-audit-4-of-4,37,FINDING: est final >=140000 vs established budget 116900 (Fig 9; text p35 says 116800) = >=23000 unfunded; CM/GC GMP est ~33000 over at 100% DD; only ~10000 program reserves remain (p35-36)
2012,Roosevelt HS,68400,102000,,2017-03,bond-audit-bond-construction-program-audit-4-of-4,37,current budget 102800; +49% incl escalation; GMP 69300 (Apr 2015) + >14000; 4000 of increase from 20-yr federal loan repaid by general fund (p34)
2012,Faubion PK-8,27000,49200,,2017-03,bond-audit-bond-construction-program-audit-4-of-4,37,+82%; original excl 15500 Concordia contribution; budget basis with Concordia = 42500->49200 = +21% (p35)
2012,Improvement Projects (9; 2013-19),67800,64700,,2017-03,bond-audit-bond-construction-program-audit-4-of-4,37,current budget 73400; est final -3100 vs orig via scope cuts in IP2016-18; unobligated IP escalation redirected to HS budgets in 2014 (p35)
2012,HS Master Plans (3),1200,1200,,2017-03,bond-audit-bond-construction-program-audit-4-of-4,37,
2012,Swing Sites,5800,5200,,2017-03,bond-audit-bond-construction-program-audit-4-of-4,37,current budget 5800
2012,Educational Specifications,0,275,,2017-03,bond-audit-bond-construction-program-audit-4-of-4,37,
2012,Debt Repayment,45000,45000,,2017-03,bond-audit-bond-construction-program-audit-4-of-4,37,
2012,2012 Bond Program (mgmt/reserves),93200,39100,,2017-03,bond-audit-bond-construction-program-audit-4-of-4,37,current budget 49900; admin+mgmt cost growth 30700->38400 +25% over 4 yrs (p35)
2012,2012 BOND PROGRAM TOTAL,482000,547000,,2017-03,bond-audit-bond-construction-program-audit-4-of-4,34,FINDING: program AT RISK of completing over budget; OSM est final costs 547000 EXCLUDING significant additional GHS need (p33-34); resources grew 499100 (2014)->500600 (2015)->550500 (2016)->557300 (2017) via premiums 47100 + Concordia 15500 + grants (Fig 8 p33)
2017,Benson Polytechnic HS,202000,,,2017-01,bond-audit-bond-performance-audit-year-1-phase-1,12,Jan 19 2017 internal OSM model 231000 (hard 128 soft 102; p15); professional hard-cost est 128200 (p13); FINDING: exec leadership cut 4-school total ~100000 without documented rationale (p13-14)
2017,Lincoln HS,187000,,,2017-01,bond-audit-bond-performance-audit-year-1-phase-1,12,internal model 210000 (p15)
2017,Madison HS (later McDaniel),146000,,,2017-01,bond-audit-bond-performance-audit-year-1-phase-1,12,internal model 171000 (p15)
2017,Kellogg MS,45000,,,2017-01,bond-audit-bond-performance-audit-year-1-phase-1,12,internal model 68000 (p15)
2017,Capital Schools Subtotal,580000,,,2017-01,bond-audit-bond-performance-audit-year-1-phase-1,12,FINDING: Jan 19 2017 model total 678000 reduced ~100000 (33000 hard + 65000 soft) to 580000 presented to Board Jan 24 2017; no methodology/rationale documented (p13-14); independent estimates supported only 403500 of 580000 hard cost (p13)
2017,Health & Safety Program,150000,,,2017-01,bond-audit-bond-performance-audit-year-1-phase-1,12,estimates seem based on professional estimates but reports unavailable for all categories (p12); districtwide H&S need assessed at 1.6B (Y2 p15)
2017,Program Mgmt & Contingency,60000,,,2017-01,bond-audit-bond-performance-audit-year-1-phase-1,12,FINDING: assumptions low vs other districts and PPS history (p12)
2017,2017 BOND PROGRAM TOTAL,790000,,,2017-01,bond-audit-bond-performance-audit-year-1-phase-1,3,FINDING: no independent estimate to support 790000 total; independent support existed for 403.5M of 580M school hard costs and 45M of 150M H&S (p3)
2012,Faubion PK-8,28000,49900,,2019-06-19,bond-audit-bond-performance-audit-year-1-phase-2,14,ORIGINAL BASIS = 2012 Bond Fact Sheet (bond-paid share excl 15500 Concordia); differs from Hirsh-audit basis 27035.537
2012,Franklin HS,85000,112800,,2019-06-19,bond-audit-bond-performance-audit-year-1-phase-2,14,fact-sheet basis differs from Hirsh 81585.655
2012,Grant HS,95000,158700,,2019-06-19,bond-audit-bond-performance-audit-year-1-phase-2,14,fact-sheet basis differs from Hirsh 88336.829; largest 2012 overrun
2012,Roosevelt HS,70000,100700,,2019-06-19,bond-audit-bond-performance-audit-year-1-phase-2,14,fact-sheet basis differs from Hirsh 68418.695
2012,Capital Schools Subtotal,278000,422100,,2019-06-19,bond-audit-bond-performance-audit-year-1-phase-2,14,
2012,Educational Facility + Seismic/Roof Improvements,74500,85300,,2019-06-19,bond-audit-bond-performance-audit-year-1-phase-2,14,orig = 5000 science classrooms + 69500 seismic/roofs/accessibility
2012,2012 Bond Program Cost,84500,42000,,2019-06-19,bond-audit-bond-performance-audit-year-1-phase-2,14,orig incl 45000 contingency later tracked inside projects; 42000 = program-wide expenses only
2012,Debt Repayment,45000,45000,,2019-06-19,bond-audit-bond-performance-audit-year-1-phase-2,14,
2012,2012 BOND PROGRAM TOTAL,482000,594400,,2019-06-19,bond-audit-bond-performance-audit-year-1-phase-2,14,difference 112400 covered by 115800 non-bond funding: premium 56900 + interest 4100 + Concordia 15500 + other 39300; delivered as promised but with unresolved change-order/contractor-invoice issues (p13-14)
2017,Benson Polytechnic HS,202000,330000,,2019-06-19,bond-audit-bond-performance-audit-year-1-phase-2,16,+63.4%; master planning; FINDING: low initial budget + escalation + Board-added MPG building; 2020 bond campaign planned else full-faith-and-credit loan (p16-17)
2017,Lincoln HS,187000,243100,,2019-06-19,bond-audit-bond-performance-audit-year-1-phase-2,16,+30%; design
2017,Madison HS (later McDaniel),146000,206500,,2019-06-19,bond-audit-bond-performance-audit-year-1-phase-2,16,+41.4%; construction
2017,Kellogg MS,45000,59800,,2019-06-19,bond-audit-bond-performance-audit-year-1-phase-2,16,+32.9%; construction
2017,Capital Schools Subtotal,580000,839400,,2019-06-19,bond-audit-bond-performance-audit-year-1-phase-2,16,+44.7%
2017,Health & Safety Program,150000,158000,32800,2019-06-19,bond-audit-bond-performance-audit-year-1-phase-2,16,cur incl 8000 OSCIM grant = added funding not cost; spent 32800 of 150000 as of Jun 2019 (p17)
2017,Program Mgmt & Contingency,60000,72600,,2019-06-19,bond-audit-bond-performance-audit-year-1-phase-2,16,= 20600 contingency + ~52000 mgmt (auditor-calculated); orig 20000 contingency + 40000 mgmt
2017,2017 BOND PROGRAM TOTAL,790000,1070000,,2019-06-19,bond-audit-bond-performance-audit-year-1-phase-2,16,FINDING: ~280000 more than voter-approved bond; unlike 2012 few offsetting premiums (348700 of 790000 issued; premiums only 1100)
2017,Benson Polytechnic HS (incl MPG + swing),202000,357700,7300,2020-01-14,bond-audit-bond-performance-audit-year-2,12,+27700 vs Jun 2019 from MPG addition + swing sites; FINDING: 2017 bond funds for Benson exhausted by Dec 2021; ~290000 funding gap pending Nov 2020 bond (p12-13)
2017,Lincoln HS,187000,242500,,2020-01-14,bond-audit-bond-performance-audit-year-2,12,-0.2% vs Jun 2019; construction
2017,Madison HS (later McDaniel),146000,202500,,2020-01-14,bond-audit-bond-performance-audit-year-2,12,-1.9%; construction
2017,Kellogg MS,45000,59800,,2020-01-14,bond-audit-bond-performance-audit-year-2,12,stable; construction
2017,Capital Schools Subtotal,580000,862500,,2020-01-14,bond-audit-bond-performance-audit-year-2,12,
2017,Health & Safety Program,150000,160500,60400,2020-01-14,bond-audit-bond-performance-audit-year-2,12,cur = available FUNDING incl 8000 OSCIM + 2500 SRGP grants; spent 60400 = 38% (p15-16)
2017,Program Mgmt & Contingency,60000,57900,,2020-01-14,bond-audit-bond-performance-audit-year-2,12,= 17600 contingency + 40300 mgmt; -25.4% vs Jun 2019
2017,2017 BOND PROGRAM TOTAL,790000,1080900,,2020-01-14,bond-audit-bond-performance-audit-year-2,12,+8900 (0.8%) vs Jun 2019
2017,H&S: ADA,10000,9200,7716.256,2020-01-14,bond-audit-bond-performance-audit-year-2,16,H&S budgets net of 8% mgmt set-aside; 6 schools done 5 upcoming
2017,H&S: Asbestos,12000,10590.806,3468.743,2020-01-14,bond-audit-bond-performance-audit-year-2,16,15 done 10 upcoming
2017,H&S: Fire,25849.99,23781.991,8540.44,2020-01-14,bond-audit-bond-performance-audit-year-2,16,11 done 20 upcoming
2017,H&S: Lead Paint,16623.936,14624.624,873.117,2020-01-14,bond-audit-bond-performance-audit-year-2,16,58 done 72 upcoming
2017,H&S: Radon,1126.125,1036.035,149.812,2020-01-14,bond-audit-bond-performance-audit-year-2,16,16 done; retest 5-10 yrs
2017,H&S: Roof/Seismic,50907.949,49784.507,31114.067,2020-01-14,bond-audit-bond-performance-audit-year-2,16,budget incl 2500 SRGP grant; 7 of 14 schools done
2017,H&S: Security,5000,12600,1138.924,2020-01-14,bond-audit-bond-performance-audit-year-2,16,budget incl 8000 OSCIM grant; expanded beyond 11 planned sites
2017,H&S: Water,28492,26882.032,2235.803,2020-01-14,bond-audit-bond-performance-audit-year-2,16,6 pilots done; 15/month planned
2017,H&S: Management Cost,0,12000,5150.222,2020-01-14,bond-audit-bond-performance-audit-year-2,16,8% set-aside from each H&S category (Sep 2017 e-Builder)
2017,Benson Polytechnic HS (incl MPG + swing),202000,357700,,2021-03,bond-audit-bond-performance-audit-year-3,12,unchanged since Mar 2020; in design; 2020 bond earmarked 64000 for MPG + 152000 for remaining 2017 projects
2017,2017 BOND PROGRAM TOTAL,790000,1098000,,2021-03,bond-audit-bond-performance-audit-year-3,4,premiums+state grants provided >79000 additional funding; Kellogg + McDaniel opened on schedule expected on budget; Lincoln on budget (p4 p12); ANOMALY: Exhibit 2 per-project table is an image lost to text extraction
2017,Kellogg MS,45000,58000,,2022-03-31,bond-audit-bond-performance-audit-year-4,32,revised design-stage baseline 60000 (+33% vs ballot); EAC -3% vs revised; opened Jan 2021 1 month late (p32)
2017,McDaniel HS (formerly Madison),146000,201000,,2022-03-31,bond-audit-bond-performance-audit-year-4,32,revised baseline 199000 (+36%); EAC +2% vs revised; opened Jul 2021 2 months late (p32)
2017,Benson Main Campus,202000,321000,,2022-03-31,bond-audit-bond-performance-audit-year-4,32,FINDING: revised baseline 282000 (+40%); EAC +14% vs revised; drivers: pandemic escalation +21200 (Main+MPG) + scope changes +17000 + schematic-design budgeting error +14000 (designed to 224000 not 212000) (p14)
2017,Lincoln HS,187000,240000,,2022-03-31,bond-audit-bond-performance-audit-year-4,32,revised baseline 243000 (+30%); EAC -1% vs revised
2017,Benson Polytechnic HS (full project incl MPG + swing),,410200,,2022-03-31,bond-audit-bond-performance-audit-year-4,13,+52200 vs 358000 at Mar 2021; includes MPG 76000 paid by 2020 bond; Marshall + Kenton swing sites
2017,2017 BOND PROGRAM TOTAL,790000,1063000,,2022-03-31,bond-audit-bond-performance-audit-year-4,12,EXCLUDES Benson MPG (moved to 2020 bond); down from 1098000 at Mar 2021; H&S nearing completion delivering more than 150000 envisioned (p12)
2020,Capital Construction + Health & Safety,857000,,,2022-03-31,bond-audit-bond-performance-audit-year-4,41,>71% of 2020 bond; modernizations + master planning + roofs/mechanical/security/ADA/seismic
2020,Curriculum,53400,,,2022-03-31,bond-audit-bond-performance-audit-year-4,41,
2020,Technology,128200,,,2022-03-31,bond-audit-bond-performance-audit-year-4,41,core infrastructure + assistive tech + device replacement
2020,Special Education,13400,,,2022-03-31,bond-audit-bond-performance-audit-year-4,41,
2020,Center for Black Student Excellence,60000,,,2022-03-31,bond-audit-bond-performance-audit-year-4,40,FINDING: CBSE higher risk needing prompt action and close monitoring; no director; undefined roles (p40; per Y6 p33 recap)
2017,Lincoln HS,187000,,,2023-05,bond-audit-bond-performance-audit-year-5,12,forecast cost savings 9000-9500 to return to bond program; both phases on schedule (p12-13); ANOMALY: Exhibit 3 EAC table is an image lost to extraction
2017,Benson Polytechnic HS,202000,,,2023-05,bond-audit-bond-performance-audit-year-5,12,on schedule for fall 2024; Main 68% and MPG 30% constructed (p13 fn9); 2020 bond provided 164900 to complete Benson main (Exhibit 3 note p12)
2020,Benson MPG Building,64000,,,2023-05,bond-audit-bond-performance-audit-year-5,14,cost + schedule flags (pandemic effects) (p14)
2020,Jefferson HS,311000,366000,,2023-05,bond-audit-bond-performance-audit-year-5,14,FINDING: +55000 escalation reported to Board Dec 2022 (3rd-party estimates 16-20% higher); to be paid from 2020 program contingency leaving ~38000 of 93300 (p14-15)
2020,Center for Black Student Excellence,60000,,,2023-05,bond-audit-bond-performance-audit-year-5,14,schedule flag (p14)
2020,Capacity Improvements,10000,,,2023-05,bond-audit-bond-performance-audit-year-5,14,scope flag; ~6000 to ACCESS/Terwilliger + ~4400 to Harrison Park (p15-16)
2020,Cleveland HS (planning/design),20000,,,2023-05,bond-audit-bond-performance-audit-year-5,14,
2020,Ida B. Wells HS (planning/design),20000,,,2023-05,bond-audit-bond-performance-audit-year-5,14,formerly Wilson
2020,Roosevelt HS (Phase V),2000,,,2023-05,bond-audit-bond-performance-audit-year-5,14,
2020,Technology,128200,128200,70300,2023-05,bond-audit-bond-performance-audit-year-5,31,spent 70300 as of May 2023; Feb 2023 breakdown p32: bond actuals 64000 + 6000 non-bond; classroom modernization delayed to 2026; devices complete (80000+ devices)
2020,Curriculum,53400,53400,38100,2023-02,bond-audit-bond-performance-audit-year-5,30,spent 38100 (71%) as of Feb 2023; 10500 of Middle School Redesign found non-compensable and redistributed (Ex 10 note 5)
2020,Special Education,13400,,,2023-05,bond-audit-bond-performance-audit-year-5,14,
2020,Roofs,65700,,,2023-05,bond-audit-bond-performance-audit-year-5,14,
2020,Mechanical,75000,,,2023-05,bond-audit-bond-performance-audit-year-5,14,scope flag: 15 full replacements revised to control upgrades at multiple sites (p37 of Y6 recaps)
2020,Security,25900,,,2023-05,bond-audit-bond-performance-audit-year-5,14,
2020,Seismic,17200,,,2023-05,bond-audit-bond-performance-audit-year-5,14,
2020,ADA,33800,,,2023-05,bond-audit-bond-performance-audit-year-5,14,
2020,Harrison Park MS (capacity project),,42700,,2023-07,bond-audit-bond-performance-audit-year-5,16,FINDING: total est 42600-42700 vs 4400 capacity allocation; funded by capacity 4400 + SPED 308 + mechanical 11500 + security 52 + technology 856 + program contingency 25600; scope expansion deemed reasonable (p16)
2020,Program Admin,63100,,,2023-05,bond-audit-bond-performance-audit-year-5,15,Exhibit 5: admin 5.2% of bond
2020,Program Contingency,93300,,,2023-05,bond-audit-bond-performance-audit-year-5,15,59% (55000) committed to Jefferson escalation leaving ~38000 (p14-15)
2020,2020 BOND PROGRAM TOTAL,1208000,,,2023-05,bond-audit-bond-performance-audit-year-5,15,Exhibit 5 total bond amount 1208000; admin+contingency 156400 = 13%
2017,Benson Polytechnic HS (2017-funded: Main + swing),202000,175785.098,166127.158,2025-02-13,bond-audit-bond-performance-audit-year-6,13,"revised budget 172889.406; FINDING: EAC exceeds revised budget; unfinished work, missed milestones, delay costs and pending claims may push cost higher (p14); remainder of Benson funded by 2020 bond"
2017,Lincoln HS,187000,223557.85,223600.784,2025-02-13,bond-audit-bond-performance-audit-year-6,13,revised budget 240469.558; completed on time; 16900 under revised budget (Ex 6 p19: constr 6000 + prof svcs 500 + owner 200 + contingency 10200 savings); BAC Jan 2025 reported 18600 savings; savings not yet reallocated
2017,Kellogg MS,45000,57892.617,57892.035,2025-02-13,bond-audit-bond-performance-audit-year-6,13,revised budget 57941.414; complete
2017,McDaniel HS (formerly Madison),146000,200508.133,200396.979,2025-02-13,bond-audit-bond-performance-audit-year-6,13,revised budget 200717.847; complete
2017,Health & Safety Program,150000,175282.872,142549.788,2025-02-13,bond-audit-bond-performance-audit-year-6,13,revised budget 179280.525 (premium/grants +11000 non-bond); more improvements than envisioned; no stated completion deadline (p13)
2017,Athletics,0,2156.459,1882.549,2025-02-13,bond-audit-bond-performance-audit-year-6,13,revised budget 2147.865
2017,Administration,40000,63050.454,57367.101,2025-02-13,bond-audit-bond-performance-audit-year-6,13,revised budget 64112.941
2017,Contingency,20000,0,0,2025-02-13,bond-audit-bond-performance-audit-year-6,13,revised 23766.312 unspent/reallocated
2017,Unallocated Athletics,0,104.511,0,2025-02-13,bond-audit-bond-performance-audit-year-6,13,
2017,2017 BOND PROGRAM TOTAL,790000,898337.994,849816.394,2025-02-13,bond-audit-bond-performance-audit-year-6,13,revised budget 941430.379 (bond premium + grants); Benson 2020-funded share excluded here and carried in 2020 bond table
2017,Benson Polytechnic HS (full project: Main + swing + MPG),,421204.511,404095.674,2025-02-13,bond-audit-bond-performance-audit-year-6,14,budget 418308.818 = Main 325587.899 + swing 12205.396 + MPG 80515.523; funded by 2017 AND 2020 bonds; $418M project = 368k sf main + 17k sf MPG + 2 swing sites; FINDING: pending claims heighten risk of further cost growth (p14)
2020,Benson 2020 (completion funding for Benson Main),0,164903.89,160893.697,2025-02-13,bond-audit-bond-performance-audit-year-6,21,revised budget 164903.890; absorbs the 152000 '2017 Bond Balance' ballot category (Note D)
2020,Jefferson HS,311000,366007.5,19852.23,2025-02-13,bond-audit-bond-performance-audit-year-6,21,FINDING: eBuilder EAC 366007.5 but Sep 2024 100% schematic design estimate = 491000 (+124800; constr 407000); 2-yr delay to 2028-29 opening; design paused for Superintendent cost-reduction exercise (p22); Jul 2023 CMGC constr-only est 513000 vs 3rd-party 470000 (p24)
2020,Center for Black Student Excellence,60000,60000,0,2025-02-13,bond-audit-bond-performance-audit-year-6,21,FINDING: 4+ yrs post-approval no capital projects identified; $0 of 60000 spent; conceptual schedule (complete by summer 2025) never updated; director only hired Fall 2024 (p33)
2020,Cleveland HS,20000,20000,5608.356,2025-02-13,bond-audit-bond-performance-audit-year-6,21,FINDING: total-project est ~481000 at May 2024 Board (incl 20000 planning); Dec 2024 75% SD constr-only est >462000; Superintendent target -100000 to ~360000 (340000 from proposed 2025 bond); Dec 2024 calendar shows opening slipping to 2030-31 (p27-28)
2020,Ida B. Wells HS,20000,20086.066,6759.831,2025-02-13,bond-audit-bond-performance-audit-year-6,21,FINDING: total-project est ~455000 at May 2024 (constr 367000 -> 376000 at Dec 2024 SD); target 360000 with 340000 from proposed 2025 bond (p28)
2020,Roosevelt HS (Phase V),2000,2000,97.625,2025-02-13,bond-audit-bond-performance-audit-year-6,21,
2020,Benson MPG Building,64000,80515.523,77074.819,2025-02-13,bond-audit-bond-performance-audit-year-6,21,revised budget 80515.523
2020,Curriculum,53444,73369.816,51843.865,2025-02-13,bond-audit-bond-performance-audit-year-6,21,revised budget 70161.233 (incl non-bond); implementation complete + extra mental-health curriculum beyond plan (p32)
2020,Technology,128200,105353.953,89586.686,2025-02-13,bond-audit-bond-performance-audit-year-6,21,revised budget 151681.785; FINDING: cumulative 4-yr schedule delay to 2029 (IDIQ contracting pool shrank to 4 during vaccination mandate; no change possible until IDIQ ended Nov 2024) (p32-33)
2020,Infrastructure,241000,276677.567,200034.283,2025-02-13,bond-audit-bond-performance-audit-year-6,21,revised budget 284533.936
2020,Administration,63098.64,63098.64,20573.855,2025-02-13,bond-audit-bond-performance-audit-year-6,21,
2020,2017 Bond Balance (Benson completion),152000,,,2025-02-13,bond-audit-bond-performance-audit-year-6,21,ballot category; combined into Benson 2020 row per Note D
2020,Contingency,93257.36,0,0,2025-02-13,bond-audit-bond-performance-audit-year-6,21,"revised 59511.241 (source prints '$59,511.241' - thousands-separator typo)"
2020,2020 BOND PROGRAM TOTAL,1208000,1232012.955,632325.247,2025-02-13,bond-audit-bond-performance-audit-year-6,21,revised budget 1342413.748 (premium + grants); several areas expect higher-than-budgeted costs (Jefferson/Cleveland/IBW/tech/CBSE)
2020,Infrastructure: ADA,33800,47600.416,39557.13,2025-01,bond-audit-bond-performance-audit-year-6,38,"revised 47389.284; FINDING: ADA+SPED combined ~5000 (11%) over original; 1-yr delay (backflow permits, asbestos on doors)"
2020,Infrastructure: SPED,13400,4631.452,1759.397,2025-01,bond-audit-bond-performance-audit-year-6,38,revised 4631.452; scope grouped with ADA; SPED furniture exceeded target (84 vs 71 sites p37)
2020,Infrastructure: Roof,65700,65567.017,60273.511,2025-01,bond-audit-bond-performance-audit-year-6,38,revised 68446.243; complete; 13 sites vs 12 planned
2020,Infrastructure: Mechanical,75000,63576.806,33105.181,2025-01,bond-audit-bond-performance-audit-year-6,38,revised 63500; -15% vs original via scope change (15 full replacements -> 4 full + 27 control upgrades); 1-yr delay; 8-12 month equipment lead times; control upgrades run to Fall 2026 (p37)
2020,Infrastructure: Security,25900,22625.9,9601.086,2025-01,bond-audit-bond-performance-audit-year-6,38,revised 27419.107; -13%; 1-yr delay
2020,Infrastructure: Seismic,17200,24760.548,16410.82,2025-01,bond-audit-bond-performance-audit-year-6,38,revised 24757.866 incl 7500 SRGP state grant; +44% vs bond-only original; 1-yr delay
2020,Infrastructure Subtotal,231000,228762.139,160707.125,2025-01,bond-audit-bond-performance-audit-year-6,38,revised 236143.952; on track within original 231000 bond allocation (p37)
2020,Technology: Program Administration,23200,13000,,2024-07,bond-audit-bond-performance-audit-year-6,32,revised amount per Jul 2024 BAC report
2020,Technology: Classroom Modernization,25000,25800,,2024-07,bond-audit-bond-performance-audit-year-6,32,baseline completion 2025 -> revised 2029
2020,Technology: Device Replacement,31000,38700,,2024-07,bond-audit-bond-performance-audit-year-6,32,completed
