"year","geography","geoid","coverage","naics_vintage","code","label","tier","annual_avg_establishments","annual_avg_jobs","annual_payroll_usd","average_annual_pay_usd","employment_location_quotient","disclosure_code","status","doc_id","locator"
"2025","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2022","339910","Jewelry and silverware manufacturing","selected-production","20","127","6773445","53439","1.98","","published","qcew2025","area_fips=41051;own_code=5;industry_code=339910;size_code=0;year=2025;qtr=A"
"2025","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2022","339992","Musical instrument manufacturing","selected-production","8","36","1841635","50921","1.05","","published","qcew2025","area_fips=41051;own_code=5;industry_code=339992;size_code=0;year=2025;qtr=A"
"2025","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2022","332323","Ornamental and architectural metal work manufacturing","mixed-production","22","270","21349576","78926","1.92","","published","qcew2025","area_fips=41051;own_code=5;industry_code=332323;size_code=0;year=2025;qtr=A"
"2025","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2022","337121","Upholstered household furniture manufacturing","mixed-production","1","","","","","N","employment-and-pay-suppressed","qcew2025","area_fips=41051;own_code=5;industry_code=337121;size_code=0;year=2025;qtr=A"
"2025","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2022","323113","Commercial screen printing","mixed-production","22","","","","","N","employment-and-pay-suppressed","qcew2025","area_fips=41051;own_code=5;industry_code=323113;size_code=0;year=2025;qtr=A"
"2025","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2022","315","Apparel manufacturing","mixed-production","34","363","19724707","54338","1.45","","published","qcew2025","area_fips=41051;own_code=5;industry_code=315;size_code=0;year=2025;qtr=A"
"2025","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2022","316","Leather and allied product manufacturing","mixed-production","15","","","","","N","employment-and-pay-suppressed","qcew2025","area_fips=41051;own_code=5;industry_code=316;size_code=0;year=2025;qtr=A"
"2025","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2022","811420","Reupholstery and furniture repair","mixed-production","16","","","","","N","employment-and-pay-suppressed","qcew2025","area_fips=41051;own_code=5;industry_code=811420;size_code=0;year=2025;qtr=A"
"2025","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2022","711510","Independent artists, writers, and performers","mixed-creative","118","217","23535239","108291","1.15","","published","qcew2025","area_fips=41051;own_code=5;industry_code=711510;size_code=0;year=2025;qtr=A"
"2025","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2022","541420","Industrial design services","creative-services","20","68","7211052","105528","1.1","","published","qcew2025","area_fips=41051;own_code=5;industry_code=541420;size_code=0;year=2025;qtr=A"
"2025","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2022","541430","Graphic design services","creative-services","177","566","52218577","92273","3.45","","published","qcew2025","area_fips=41051;own_code=5;industry_code=541430;size_code=0;year=2025;qtr=A"
"2025","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2022","541490","Other specialized design services","creative-services","48","122","12205764","99639","1.92","","published","qcew2025","area_fips=41051;own_code=5;industry_code=541490;size_code=0;year=2025;qtr=A"
"2025","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2022","611610","Fine arts schools","infrastructure","68","589","13221111","22434","1.44","","published","qcew2025","area_fips=41051;own_code=5;industry_code=611610;size_code=0;year=2025;qtr=A"
